ா	a
ஆர்	aː ɾ
ஆள்	aː ɭ
ஆடை	aː ɖ a ɪ̯
ஆணை	aː ɳ a ɪ̯
ஆடி	aː ɖ i
ஆணி	aː ɳ i
ஆளி	aː ɭ i
ஆழி	aː ɻ i
ஆவி	aː ʋ i
ஆகு	aː ɡ u
ஆடு	aː ɖ u
அணை	aɳaj
அவை	aʋaj
அடி	aʈi
அணி	aɳi
ஆம்	aːm
ஆறு	aːru
பலி	b ɐ l i
தயை	d̪ ɐ j a ɪ̯
ஜங்	d͡ʒaŋ
எதி	e d̪ i
எது	e d̪ u
எய்	e j
எலி	e l i
எம்	e m
என்	e n
எறி	e r i
எண்	e ɳ
எள்	e ɭ
எவை	e ʋ a ɪ̯
எரி	e ɾ i
எடு	e ɖ u
எழு	e ɻ u
என்	en
ஏதோ	eː d̪ oː
ஏது	eː d̪ u
ஏல்	eː l
ஏன்	eː n
ஏறு	eː r u
ஏணி	eː ɳ i
ஏரி	eː ɾ i
ஏடு	eː ɖ u
ஏழு	eː ɻ u
ஏய்	eːj
ஏயே	eːjeː
ஏன்	eːn
ஏத்	eːt̪
ஏதோ	eːt̪oː
ஏசி	eːt͡ʃi
ஃப்	f
இது	i d̪ u
இல்	i l
இலை	i l a ɪ̯
இன்	i n
இனி	i n i
இறை	i r a ɪ̯
இசை	i t͡ɕ a ɪ̯
இடை	i ɖ a ɪ̯
இணை	i ɳ a ɪ̯
இரை	i ɾ a ɪ̯
இழை	i ɻ a ɪ̯
இவை	i ʋ a ɪ̯
இடி	i ɖ i
இழி	i ɻ i
இடு	i ɖ u
இரு	i ɾ u
இழு	i ɻ u
இனி	ini
இந்	in̪
இப்	ip
இத்	it̪
இதை	it̪aj
இதய	it̪aja
இதே	it̪eː
இது	it̪u
இச்	it͡ʃ
ஈறு	iː r u
ஈகை	iː ɡ a ɪ̯
ஈளை	iː ɭ a ɪ̯
ஈடு	iː ɖ u
இரு	iɾu
கிட	k i ɖ ɐ
ஃஸ்	k s
கூட	k uː ɖ ɐ
கதை	k ɐ d̪ a ɪ̯
கதி	k ɐ d̪ i
கல்	k ɐ l
கலை	k ɐ l a ɪ̯
கனா	k ɐ n aː
கனி	k ɐ n i
கறி	k ɐ r i
கறு	k ɐ r u
கண்	k ɐ ɳ
கள்	k ɐ ɭ
க்ஷ	k ʂ ɐ
கடை	k ɐ ɖ a ɪ̯
கரை	k ɐ ɾ a ɪ̯
களை	k ɐ ɭ a ɪ̯
கடி	k ɐ ɖ i
கரி	k ɐ ɾ i
கழி	k ɐ ɻ i
கவி	k ɐ ʋ i
கணு	k ɐ ɳ u
கரு	k ɐ ɾ u
கூட	kuːʈa
ஃக்	kʰ
லதை	l ɐ d̪ a ɪ̯
லதி	l ɐ d̪ i
மித	m i d̪ ɐ
மிக	m i ɡ ɐ
மொத	m o d̪ əː
மதி	m ɐ d̪ i
மது	m ɐ d̪ u
மலை	m ɐ l a ɪ̯
மன்	m ɐ n
மனை	m ɐ n a ɪ̯
மறை	m ɐ r a ɪ̯
மறு	m ɐ r u
மண்	m ɐ ɳ
மடை	m ɐ ɖ a ɪ̯
மணை	m ɐ ɳ a ɪ̯
மழை	m ɐ ɻ a ɪ̯
மணி	m ɐ ɳ i
மரி	m ɐ ɾ i
மழு	m ɐ ɻ u
மனு	manu
மறு	maru
மணி	maɳi
மிக	mika
நதி	n̪ ɐ d̪ i
நல்	n̪ ɐ l
நறை	n̪ ɐ r a ɪ̯
நகை	n̪ ɐ ɡ a ɪ̯
நடை	n̪ ɐ ɖ a ɪ̯
நடி	n̪ ɐ ɖ i
நரி	n̪ ɐ ɾ i
நளி	n̪ ɐ ɭ i
நடு	n̪ ɐ ɖ u
நகர	n̪akaɾa
நேய	n̪eːja
ஒலி	o l i
ஒரே	o ɾ eː
ஒடி	o ɖ i
ஒளி	o ɭ i
ஒழி	o ɻ i
ஒரு	o ɾ u
ஓது	oː d̪ u
ஓய்	oː j
ஓலை	oː l a ɪ̯
ஓம்	oː m
ஓசை	oː t͡ɕ a ɪ̯
ஓர்	oː ɾ
ஓடை	oː ɖ a ɪ̯
ஓடு	oː ɖ u
ஒரே	oɾeː
ஒரு	oɾu
பிற	p i r ɐ
போல	p oː l ɐ
போன	p oː n ɐ
பதி	p ɐ d̪ i
பல்	p ɐ l
பலா	p ɐ l aː
பலி	p ɐ l i
பனை	p ɐ n a ɪ̯
பனி	p ɐ n i
பறை	p ɐ r a ɪ̯
பறி	p ɐ r i
பசை	p ɐ t͡ɕ a ɪ̯
பசி	p ɐ t͡ɕ i
பசு	p ɐ t͡ɕ u
பகை	p ɐ ɡ a ɪ̯
படை	p ɐ ɖ a ɪ̯
படி	p ɐ ɖ i
பணி	p ɐ ɳ i
பரி	p ɐ ɾ i
பழி	p ɐ ɻ i
பகு	p ɐ ɡ u
படு	p ɐ ɖ u
பரு	p ɐ ɾ u
பளு	p ɐ ɭ u
பழு	p ɐ ɻ u
பஸ்	pas
பட்	paʈ
படை	paʈaj
படி	paʈi
பணி	paɳi
பெற	pera
போல	poːla
திற	t̪ i r ɐ
தீய	t̪ iː j ɐ
தலை	t̪ ɐ l a ɪ̯
தம்	t̪ ɐ m
தன்	t̪ ɐ n
தனி	t̪ ɐ n i
தறி	t̪ ɐ r i
தசை	t̪ ɐ t͡ɕ a ɪ̯
தண்	t̪ ɐ ɳ
தரை	t̪ ɐ ɾ a ɪ̯
தளை	t̪ ɐ ɭ a ɪ̯
தடி	t̪ ɐ ɖ i
தவி	t̪ ɐ ʋ i
தகு	t̪ ɐ ɡ u
தடு	t̪ ɐ ɖ u
தலா	t̪alaː
தனி	t̪ani
தடை	t̪aʈaj
சில	t͡ɕ i l ɐ
சிற	t͡ɕ i r ɐ
சிவ	t͡ɕ i ʋ ɐ
சபை	t͡ɕ ɐ b a ɪ̯
சபா	t͡ɕ ɐ b aː
சபி	t͡ɕ ɐ b i
சதை	t͡ɕ ɐ d̪ a ɪ̯
சதா	t͡ɕ ɐ d̪ aː
சமை	t͡ɕ ɐ m a ɪ̯
சனி	t͡ɕ ɐ n i
சடை	t͡ɕ ɐ ɖ a ɪ̯
சவை	t͡ɕ ɐ ʋ a ɪ̯
சகி	t͡ɕ ɐ ɡ i
சரி	t͡ɕ ɐ ɾ i
சளி	t͡ɕ ɐ ɭ i
சகோ	t͡ɕ ɐ ɡ oː
சபை	t͡ʃapaj
சர்	t͡ʃaɾ
சில	t͡ʃila
உதை	u d̪ a ɪ̯
உது	u d̪ u
உஃப	u f aː
உஃப	u f ɐ
உய்	u j
உலை	u l a ɪ̯
உம்	u m
உன்	u n
உறை	u r a ɪ̯
உறி	u r i
உறு	u r u
உண்	u ɳ
உள்	u ɭ
உடை	u ɖ a ɪ̯
உரை	u ɾ a ɪ̯
உழை	u ɻ a ɪ̯
உவா	u ʋ aː
உரி	u ɾ i
உளி	u ɭ i
உழி	u ɻ i
உரு	u ɾ u
உழு	u ɻ u
உலக	ulaka
உலா	ulaː
உம்	um
உதய	ut̪aja
உதவ	ut̪aʋa
உள்	uɭ
ஊதா	uː d̪ aː
ஊது	uː d̪ u
ஊன்	uː n
ஊறு	uː r u
ஊசி	uː t͡ɕ i
ஊண்	uː ɳ
ஊர்	uː ɾ
ஊழ்	uː ɻ
ஊவா	uː ʋ aː
ஊழி	uː ɻ i
ஊரு	uː ɾ u
உணர	uɳaɾa
ஃக்	x
ஃஜ்	z
அது	ɐ d̪ u
விட	ʋ i ɖ ɐ
ஐயா	ɐ i̯ j aː
ஐயோ	ɐ i̯ j oː
அல்	ɐ l
அலை	ɐ l a ɪ̯
அலி	ɐ l i
அமை	ɐ m a ɪ̯
அனை	ɐ n a ɪ̯
அறை	ɐ r a ɪ̯
அறி	ɐ r i
அறு	ɐ r u
அசை	ɐ t͡ɕ a ɪ̯
ஔவை	ɐ u̯ ʋ a ɪ̯
அவ்	ɐ ʋ
அகை	ɐ ɡ a ɪ̯
அடை	ɐ ɖ a ɪ̯
அணை	ɐ ɳ a ɪ̯
அரை	ɐ ɾ a ɪ̯
அழை	ɐ ɻ a ɪ̯
அவை	ɐ ʋ a ɪ̯
அவா	ɐ ʋ aː
வதி	ʋ ɐ d̪ i
ரஜா	ɾ ɐ d͡ʑ aː
அடி	ɐ ɖ i
அணி	ɐ ɳ i
அரி	ɐ ɾ i
அளி	ɐ ɭ i
அழி	ɐ ɻ i
அவி	ɐ ʋ i
வல்	ʋ ɐ l
வலை	ʋ ɐ l a ɪ̯
வலி	ʋ ɐ l i
வறு	ʋ ɐ r u
வசி	ʋ ɐ t͡ɕ i
அடு	ɐ ɖ u
அணு	ɐ ɳ u
அழு	ɐ ɻ u
டர்	ɖ ɐ ɾ
ரவை	ɾ ɐ ʋ a ɪ̯
வகை	ʋ ɐ ɡ a ɪ̯
வடை	ʋ ɐ ɖ a ɪ̯
வரை	ʋ ɐ ɾ a ɪ̯
வளை	ʋ ɐ ɭ a ɪ̯
கணி	ɡ ɐ ɳ i
வடி	ʋ ɐ ɖ i
வரி	ʋ ɐ ɾ i
வளி	ʋ ɐ ɭ i
வழி	ʋ ɐ ɻ i
வகு	ʋ ɐ ɡ u
வடு	ʋ ɐ ɖ u
டன்	ʈan
வரை	ʋaɾaj
எமை-17	emaj-17
எம்.பி.க்கள்	em.pi.kkaɭ
எல்.மணி	el.maɳi
எல்.என்.	el.en.
எஸ்.எம்.	es.em.
எஸ்.மாலதி	es.maːlat̪i
எம்.எஸ்ஸி.	em.essi.
எஸ்.மாலதிய்	es.maːlat̪ij
எஸ்.கைகாட்டி	es.kajkaːʈʈi
எஸ்.மாலதியும்	es.maːlat̪ijum
ஐஐடி	ajajʈi
அகதி	akat̪i
அல்ல	alla
அமளி	amaɭi
அந்த	an̪t̪a
அற்ற	arra
ஆயன்	aː j ɐ n
ஆயர்	aː j ɐ ɾ
ஆலம்	aː l ɐ m
ஆச்ச	aː t͡ɕː ɐ
ஆடல்	aː ɖ ɐ l
ஆவல்	aː ʋ ɐ l
ஆவலி	aː ʋ ɐ l i
ஆரம்	aː ɾ ɐ m
ஆழம்	aː ɻ ɐ m
ஆங்க	aː ŋ ɡ ɐ
ஆடவை	aː ɖ ɐ ʋ a ɪ̯
ஆவணி	aː ʋ ɐ ɳ i
அரச்	aɾat͡ʃ
அரசை	aɾat͡ʃaj
அரசு	aɾat͡ʃu
அவர்	aʋaɾ
ஆஜர்	aːd͡ʒaɾ
ஆகக்	aːkak
ஆகப்	aːkap
ஆகத்	aːkat̪
ஆகச்	aːkat͡ʃ
ஆகவ்	aːkaʋ
ஆகிய	aːkija
ஆலன்	aːlan
ஆனது	aːnat̪u
ஆசிய	aːt͡ʃija
ஆவது	aːʋat̪u
ஆவர்	aːʋaɾ
ஆட்ட	aːʈʈa
பாதி	b aː d̪ i
பாசை	b aː t͡ɕ a ɪ̯
பாஷை	b aː ʂ a ɪ̯
பீடி	b iː ɖ i
போகி	b oː ɡ i
பூமி	b uː m i
பலம்	b ɐ l ɐ m
தேவி	d̪ eː ʋ i
திசை	d̪ i t͡ɕ a ɪ̯
தோசை	d̪ oː t͡ɕ a ɪ̯
தூசி	d̪ uː t͡ɕ i
தயவு	d̪ ɐ j ɐ ʋ u
தடவை	d̪ ɐ ɖ ɐ ʋ a ɪ̯
ஜாதி	d͡ʑ aː d̪ i
ஜாநு	d͡ʑ aː n̪ u
ஜெபி	d͡ʑ e b i
ஜெயி	d͡ʑ e j i
ஜோடி	d͡ʑ oː ɖ i
ஜூலை	d͡ʑ uː l a ɪ̯
ஜூன்	d͡ʑ uː n
ஜலதி	d͡ʑ ɐ l ɐ d̪ i
ஜலம்	d͡ʑ ɐ l ɐ m
ஜகம்	d͡ʑ ɐ ɡ ɐ m
ஜகத்	d͡ʑ ɐ ɡ ɐ t̪
ஜாமா	d͡ʒaːmaː
ஜானி	d͡ʒaːni
ஜேடி	d͡ʒeːʈi
ஜீப்	d͡ʒiːp
ஜோடி	d͡ʒoːʈi
ஜூன்	d͡ʒuːn
எமன்	e m ɐ n
எந்த	e n̪ d̪ ɐ
என்ன	e nː ɐ
எஃகு	e x u
எவன்	e ʋ ɐ n
எவண்	e ʋ ɐ ɳ
எவர்	e ʋ ɐ ɾ
எவள்	e ʋ ɐ ɭ
எனக்	enak
எனத்	enat̪
எனது	enat̪u
எனவ்	enaʋ
எனவே	enaʋeː
என்ற	enra
எந்த	en̪t̪a
ஏதடை	eː d̪ ɐ ɖ a ɪ̯
ஏலம்	eː l ɐ m
ஏனம்	eː n ɐ m
ஏற்க	eːrka
ஹாஜ்	h aː d͡ʑ
ஹீனா	hiːnaː
இதலை	i d̪ ɐ l a ɪ̯
இதழ்	i d̪ ɐ ɻ
இயல்	i j ɐ l
இயம்	i j ɐ m
இலயை	i l ɐ j a ɪ̯
இலகு	i l ɐ ɡ u
இமம்	i m ɐ m
இனிய	i n i j ɐ
இனம்	i n ɐ m
இந்த	i n̪ d̪ ɐ
இன்ன	i nː ɐ
இறகு	i r ɐ ɡ u
இடது	i ɖ ɐ d̪ u
இடம்	i ɖ ɐ m
இளம்	i ɭ ɐ m
இளமை	i ɭ ɐ m a ɪ̯
இவன்	i ʋ ɐ n
இணர்	i ɳ ɐ ɾ
இவர்	i ʋ ɐ ɾ
இவள்	i ʋ ɐ ɭ
இரணை	i ɾ ɐ ɳ a ɪ̯
இரவு	i ɾ ɐ ʋ u
இழவு	i ɻ ɐ ʋ u
இந்த	in̪t̪a
இதன்	it̪an
இதழ்	it̪aɻ
ஈயம்	iː j ɐ m
ஈமம்	iː m ɐ m
ஈனம்	iː n ɐ m
ஈசல்	iː t͡ɕ ɐ l
ஈசன்	iː t͡ɕ ɐ n
ஈரல்	iː ɾ ɐ l
ஈரம்	iː ɾ ɐ m
ஈழம்	iː ɻ ɐ m
ஈரர்	iː ɾ ɐ ɾ
இடம்	iʈam
இரவ்	iɾaʋ
இவர்	iʋaɾ
ஈழத்	iːɻat̪
யாது	j aː d̪ u
யாம்	j aː m
யான்	j aː n
யானை	j aː n a ɪ̯
யார்	j aː ɾ
யாழ்	j aː ɻ
யாளி	j aː ɭ i
யாரோ	j aː ɾ oː
யோனி	j oː n i
யோசி	j oː t͡ɕ i
யூகி	j uː ɡ i
யமன்	j ɐ m ɐ n
யார்	jaːɾ
கைது	k a ɪ̯ d̪ u
கைலி	k a ɪ̯ l i
கௌளி	k a ʊ̯ ɭ i
காபி	k aː b i
காதை	k aː d̪ a ɪ̯
காது	k aː d̪ u
காய்	k aː j
கால்	k aː l
காலை	k aː l a ɪ̯
காலி	k aː l i
காசு	k aː t͡ɕ u
காண்	k aː ɳ
கார்	k aː ɾ
காடை	k aː ɖ a ɪ̯
காளை	k aː ɭ a ɪ̯
காணி	k aː ɳ i
காவி	k aː ʋ i
காடு	k aː ɖ u
காவு	k aː ʋ u
கெடா	k e ɖ aː
கெடு	k e ɖ u
கெழு	k e ɻ u
கேள்	k eː ɭ
கேடு	k eː ɖ u
கில்	k i l
கிறி	k i r i
கிடை	k i ɖ a ɪ̯
கிளை	k i ɭ a ɪ̯
கிரி	k i ɾ i
கிளி	k i ɭ i
கிழி	k i ɻ i
கீறு	k iː r u
கீழ்	k iː ɻ
கீரை	k iː ɾ a ɪ̯
கீழே	k iː ɻ eː
கொய்	k o j
கொல்	k o l
கொலை	k o l a ɪ̯
கொறி	k o r i
கொசு	k o t͡ɕ u
கொள்	k o ɭ
கொடை	k o ɖ a ɪ̯
கொடி	k o ɖ i
கொழி	k o ɻ i
கொடு	k o ɖ u
கோபி	k oː b i
கோல்	k oː l
கோமி	k oː m i
கோன்	k oː n
கோள்	k oː ɭ
கோடை	k oː ɖ a ɪ̯
கோரை	k oː ɾ a ɪ̯
கோழை	k oː ɻ a ɪ̯
கோடி	k oː ɖ i
கோழி	k oː ɻ i
கோடு	k oː ɖ u
கோணு	k oː ɳ u
குதி	k u d̪ i
குலை	k u l a ɪ̯
குனி	k u n i
குறை	k u r a ɪ̯
குறி	k u r i
குறு	k u r u
குடை	k u ɖ a ɪ̯
குழை	k u ɻ a ɪ̯
குடி	k u ɖ i
குளி	k u ɭ i
குழி	k u ɻ i
குவி	k u ʋ i
குரு	k u ɾ u
கூலி	k uː l i
கூறை	k uː r a ɪ̯
கூறு	k uː r u
கூசு	k uː t͡ɕ u
கூழ்	k uː ɻ
கூகை	k uː ɡ a ɪ̯
கூடை	k uː ɖ a ɪ̯
கூரை	k uː ɾ a ɪ̯
கூளி	k uː ɭ i
கூடு	k uː ɖ u
க்ஷ்	k ʂ
கதவு	k ɐ d̪ ɐ ʋ u
கயல்	k ɐ j ɐ l
கயம்	k ɐ j ɐ m
கலம்	k ɐ l ɐ m
கலவை	k ɐ l ɐ ʋ a ɪ̯
கலவி	k ɐ l ɐ ʋ i
கனம்	k ɐ n ɐ m
கனடா	k ɐ n ɐ ɖ aː
கனவு	k ɐ n ɐ ʋ u
கறவை	k ɐ r ɐ ʋ a ɪ̯
கறவு	k ɐ r ɐ ʋ u
கடல்	k ɐ ɖ ɐ l
கவல்	k ɐ ʋ ɐ l
கடலை	k ɐ ɖ ɐ l a ɪ̯
கவலை	k ɐ ʋ ɐ l a ɪ̯
கணம்	k ɐ ɳ ɐ m
கரம்	k ɐ ɾ ɐ m
களம்	k ɐ ɭ ɐ m
கடமை	k ɐ ɖ ɐ m a ɪ̯
கடன்	k ɐ ɖ ɐ n
கழனி	k ɐ ɻ ɐ n i
கரடி	k ɐ ɾ ɐ ɖ i
களவு	k ɐ ɭ ɐ ʋ u
கைது	kajt̪u
கனடா	kanaʈaː
கடமை	kaʈamaj
காலை	kaːlaj
கார்	kaːɾ
கட்ட	kaʈʈa
கேல்	keːl
கேலி	keːli
கேட்	keːʈ
கேரள	keːɾaɭa
கீழே	kiːɻeː
கொலை	kolaj
கொடி	koʈi
கோவை	koːʋaj
கோடி	koːʈi
குறை	kuraj
கூறி	kuːri
குழு	kuɻu
லகரி	l ɐ ɡ ɐ ɾ i
மைதா	m a ɪ̯ d̪ aː
மைல்	m a ɪ̯ l
மைனா	m a ɪ̯ n aː
மைனி	m a ɪ̯ n i
மாதா	m aː d̪ aː
மாஜி	m aː d͡ʑ i
மாய்	m aː j
மால்	m aː l
மாலை	m aː l a ɪ̯
மாமா	m aː m aː
மான்	m aː n
மாறு	m aː r u
மாஸ்	m aː s
மாசி	m aː t͡ɕ i
மாண்	m aː ɳ
மார்	m aː ɾ
மாழை	m aː ɻ a ɪ̯
மாடி	m aː ɖ i
மாரி	m aː ɾ i
மாடு	m aː ɖ u
மாவு	m aː ʋ u
மெது	m e d̪ u
மெய்	m e j
மெல்	m e l
மேஜை	m eː d͡ʑ a ɪ̯
மேய்	m eː j
மேல்	m eː l
மேசை	m eː t͡ɕ a ɪ̯
மேரை	m eː ɾ a ɪ̯
மேடு	m eː ɖ u
மின்	m i n
மிறை	m i r a ɪ̯
மிகை	m i ɡ a ɪ̯
மிகு	m i ɡ u
மீன்	m iː n
மீசை	m iː t͡ɕ a ɪ̯
மீசு	m iː t͡ɕ u
மீள்	m iː ɭ
மீகா	m iː ɡ aː
மீளி	m iː ɭ i
மொய்	m o j
மொழி	m o ɻ i
மோது	m oː d̪ u
மோசே	m oː t͡ɕ eː
மோர்	m oː ɾ
மோடு	m oː ɖ u
முலை	m u l a ɪ̯
முன்	m u n
முறை	m u r a ɪ̯
முசு	m u t͡ɕ u
முள்	m u ɭ
முகை	m u ɡ a ɪ̯
முளை	m u ɭ a ɪ̯
முழை	m u ɻ a ɪ̯
முடி	m u ɖ i
முரி	m u ɾ i
முழி	m u ɻ i
முழு	m u ɻ u
மூது	m uː d̪ u
மூஸா	m uː s aː
மூளை	m uː ɭ a ɪ̯
மூடி	m uː ɖ i
மூடு	m uː ɖ u
மூணு	m uː ɳ u
மதிய	m ɐ d̪ i j ɐ
மதம்	m ɐ d̪ ɐ m
மதனி	m ɐ d̪ ɐ n i
மதகு	m ɐ d̪ ɐ ɡ u
மயல்	m ɐ j ɐ l
மலம்	m ɐ l ɐ m
மலர்	m ɐ l ɐ ɾ
மனது	m ɐ n ɐ d̪ u
மனம்	m ɐ n ɐ m
மனசு	m ɐ n ɐ t͡ɕ u
மற்ற	m ɐ rː ɐ
மடல்	m ɐ ɖ ɐ l
மணல்	m ɐ ɳ ɐ l
மழலை	m ɐ ɻ ɐ l a ɪ̯
மணம்	m ɐ ɳ ɐ m
மரம்	m ɐ ɾ ɐ m
மகன்	m ɐ ɡ ɐ n
மவன்	m ɐ ʋ ɐ n
மகள்	m ɐ ɡ ɐ ɭ
மனித	manit̪a
மற்ற	marra
மதம்	mat̪am
மணலி	maɳali
மாலை	maːlaj
மின்	min
மீன்	miːn
மீனவ	miːnaʋa
மீறி	miːri
மீத்	miːt̪
மீது	miːt̪u
மோடி	moːʈi
முன்	mun
முழு	muɻu
நைனா	n̪ a ɪ̯ n aː
நௌகா	n̪ a ʊ̯ ɡ aː
நாய்	n̪ aː j
நால்	n̪ aː l
நாலு	n̪ aː l u
நாம்	n̪ aː m
நான்	n̪ aː n
நாறு	n̪ aː r u
நாசி	n̪ aː t͡ɕ i
நாண்	n̪ aː ɳ
நார்	n̪ aː ɾ
நாள்	n̪ aː ɭ
நாரை	n̪ aː ɾ a ɪ̯
நாளை	n̪ aː ɭ a ɪ̯
நாடா	n̪ aː ɖ aː
நாடி	n̪ aː ɖ i
நாடு	n̪ aː ɖ u
நாவு	n̪ aː ʋ u
நெய்	n̪ e j
நெறி	n̪ e r i
நெளை	n̪ e ɭ a ɪ̯
நேசி	n̪ eː t͡ɕ i
நில்	n̪ i l
நிலை	n̪ i l a ɪ̯
நிலா	n̪ i l aː
நின்	n̪ i n
நினை	n̪ i n a ɪ̯
நிறை	n̪ i r a ɪ̯
நிரை	n̪ i ɾ a ɪ̯
நீதி	n̪ iː d̪ i
நீனு	n̪ iː n u
நீர்	n̪ iː ɾ
நீள்	n̪ iː ɭ
நீடி	n̪ iː ɖ i
நீடு	n̪ iː ɖ u
நொடி	n̪ o ɖ i
நோய்	n̪ oː j
நுன்	n̪ u n
நுழை	n̪ u ɻ a ɪ̯
நூல்	n̪ uː l
நூறு	n̪ uː r u
நபம்	n̪ ɐ b ɐ m
நகம்	n̪ ɐ h ɐ m
நக்க	n̪ ɐ kː ɐ
நல்ல	n̪ ɐ l l ɐ
நலம்	n̪ ɐ l ɐ m
நமன்	n̪ ɐ m ɐ n
நகம்	n̪ ɐ ɡ ɐ m
நகர்	n̪ ɐ ɡ ɐ ɾ
நடவு	n̪ ɐ ɖ ɐ ʋ u
நல்ல	n̪alla
நவீன	n̪aʋiːna
நாம்	n̪aːm
நான்	n̪aːn
நாட்	n̪aːʈ
நாள்	n̪aːɭ
நாளை	n̪aːɭaj
நாடு	n̪aːʈu
நிலை	n̪ilaj
நிதி	n̪it̪i
நீர்	n̪iːɾ
நீரை	n̪iːɾaj
நோய்	n̪oːj
ஒக்க	o kː ɐ
ஓதம்	oː d̪ ɐ m
ஓலம்	oː l ɐ m
ஓமம்	oː m ɐ m
ஓடம்	oː ɖ ɐ m
