ღ,ʁ
ავგაროზაშვილი,avɡaɾozaʃʷili
ავდარი,avdaɾi
ავეჯი,aved͡ʒi
ავზი,avzi
ავზნიანი,avzniani
ავთანდილ,aftʰandil
ავთანდილაშვილი,aftʰandiɫaʃʷili
ავთვისებიანი,aftʰʷisebiani
ავი,avi
ავიაბილეთები,aviabiletʰebi
ავიაბილეთი,aviabiletʰi
ავიაკომპანია,aviakʼompʼania
ავიატორი,aviatʼoɾi
ავიაქარხანა,aviakʰaɾχana
ავიაცია,aviat͡sʰia
ავიახაზი,aviaχazi
ავინიონი,avinioni
ავისმომასწავებლად,avismomast͡sʼavebɫad
ავიწროვებს,avit͡sʼɾovebs
ავკაცი,afkʼat͡sʰi
ავკოფაშვილი,afkʼopʰaʃʷili
ავლაბარი,avɫabaɾi
ავლახაშვილი,avɫaχaʃʷili
ავლებს,avlebs
ავლოხაშვილი,avɫoχaʃʷili
ავოკადო,avokʼado
ავრორა,avɾoɾa
ავრცელებს,avɾt͡sʰelebs
ავრცობს,avɾt͡sʰobs
ავსაჯანაშვილი,afsad͡ʒanaʃʷili
ავსაჯანიშვილი,afsad͡ʒaniʃʷili
ავსებული,afsebuli
ავსტრალია,afstʼɾalia
ავსტრალიური,afstʼɾaliuɾi
ავსტრია,afstʼɾia
ავსტრიელი,afstʼɾieli
ავსტრიული,afstʼɾiuli
ავტობიოგრაფია,aftʼobioɡɾapʰia
ავტობიოგრაფიულად,aftʼobioɡɾapʰiuɫad
ავტობიოგრაფიული,aftʼobioɡɾapʰiuli
ავტობუსი,aftʼobusi
ავტოგრაფი,aftʼoɡɾapʰi
ავტოკალამი,aftʼokʼaɫami
ავტოკოლონა,aftʼokʼoɫona
ავტოკრატი,aftʼokʼɾatʼi
ავტოკრატია,aftʼokʼɾatʼia
ავტოკრატიული,aftʼokʼɾatʼiuli
ავტომატარებელი,aftʼomatʼaɾebeli
ავტომატი,aftʼomatʼi
ავტომატურად,aftʼomatʼuɾad
ავტომატური,aftʼomatʼuɾi
ავტონომია,aftʼonomia
ავტონომიური,aftʼonomiuɾi
ავტორად,aftʼoɾad
ავტორები,aftʼoɾebi
ავტორი,aftʼoɾi
ავტორით,aftʼoɾitʰ
ავტორის,aftʼoɾis
ავტორიტარული,aftʼoɾitʼaɾuli
ავტორიტეტი,aftʼoɾitʼetʼi
ავტორიტეტულად,aftʼoɾitʼetʼuɫad
ავტორიტეტული,aftʼoɾitʼetʼuli
ავტორმა,aftʼoɾma
ავტორო,aftʼoɾo
ავტორობა,aftʼoɾoba
ავტორს,aftʼoɾs
ავტოსადგომი,aftʼosadɡomi
ავტოსტოპად,aftʼostʼopʼad
ავტოსტოპი,aftʼostʼopʼi
ავტოსტოპით,aftʼostʼopʼitʰ
ავტოსტოპის,aftʼostʼopʼis
ავტოსტოპმა,aftʼostʼopʼma
ავტოსტოპს,aftʼostʼopʼs
ავტოსტრადა,aftʼostʼɾada
ავტოფობია,aftʼopʰobia
ავქოფაშვილი,afkʰopʰaʃʷili
ავღანეთი,avʁanetʰi
ავღანელი,avʁaneli
ავღანური,avʁanuɾi
ავყია,afχʼia
ავყიობა,afχʼioba
ავხორცად,afχoɾt͡sʰad
ავხორცი,afχoɾt͡sʰi
ავხორცობა,afχoɾt͡sʰoba
ავხორცულად,afχoɾt͡sʰuɫad
აზალაძე,azaɫad͡ze
აზარიაშვილი,azaɾiaʃʷili
აზარტული,azaɾtʼuli
აზაურაშვილი,azauɾaʃʷili
აზბესტი,azbestʼi
აზერბაიჯანი,azeɾbaid͡ʒani
აზვიადებს,azʷiadebs
აზვირთებული,azʷiɾtʰebuli
აზია,azia
აზიმუტი,azimutʼi
აზირაშვილი,aziɾaʃʷili
აზიური,aziuɾi
აზმაიფარაშვილი,azmaipʰaɾaʃʷili
აზნაური,aznauɾi
აზოტი,azotʼi
აზოტური,azotʼuɾi
აზრად,azɾad
აზრი,azɾi
აზრიანად,azɾianad
აზრიანი,azɾiani
აზრით,azɾitʰ
აზრის,azɾis
აზრმა,azɾma
აზროვნება,azɾovneba
აზრს,azɾs
აზრუმელაშვილი,azɾumeɫaʃʷili
აზღუდი,azʁudi
ათავისუფლებს,atʰavisupʰlebs
ათარიღებს,atʰaɾiʁebs
ათასი,atʰasi
ათასწლეული,atʰast͡sʼleuli
ათასწლოვანი,atʰast͡sʼɫovani
ათაშანგი,atʰaʃanɡi
ათბობს,atʰbobs
ათეიზმი,atʰeizmi
ათეისტი,atʰeistʼi
ათეისტური,atʰeistʼuɾi
ათენი,atʰeni
ათენური,atʰenuɾi
ათესვა,atʰesʷa
ათესვინებს,atʰesʷinebs
ათეული,atʰeuli
ათვალიერებს,atʰʷalieɾebs
ათი,atʰi
ათიანები,atʰianebi
ათკუთხა,atʰkʼutʰχa
ათკუთხედი,atʰkʼutʰχedi
ათლეტი,atʰletʼi
ათლეტიკა,atʰletʼikʼa
ათლეტის,atʰletʼis
ათლეტური,atʰletʼuɾi
ათმარცვლიანი,atʰmaɾt͡sʰʷliani
ათობითი,atʰobitʰi
ათრევს,atʰɾefs
ათქვეფილი,atʰkʰʷepʰili
ათწლეული,atʰt͡sʼleuli
ათხოვებს,atʰχovebs
ათჯერადი,atʰd͡ʒeɾadi
აი,ai
აიაფებს,aiapʰebs
აიდა,aida
აივანი,aivani
აივნიანი,aivniani
აინტერესებს,aintʼeɾesebs
აინშტაინიუმი,ainʃtʼainiumi
აირადი,aiɾadi
აირი,aiɾi
აირღუმელი,aiɾʁumeli
აირწინაღი,aiɾt͡sʼinaʁi
აისბერგი,aisbeɾɡi
აისი,aisi
აკადემია,akʼademia
აკადემიად,akʼademiad
აკადემიამ,akʼademiam
აკადემიას,akʼademias
აკადემიით,akʼademiitʰ
აკადემიის,akʼademiis
აკადემიკოსი,akʼademikʼosi
აკადემიურად,akʼademiuɾad
აკადემიური,akʼademiuɾi
აკაზმულობა,akʼazmuɫoba
აკაკი,akʼakʼi
აკაკუნებს,akʼakʼunebs
აკანკალებული,akʼankʼalebuli
აკაჟუ,akʼaʒu
აკაცია,akʼat͡sʰia
აკეთებს,akʼetʰebs
აკერებს,akʼeɾebs
აკვალანგი,akʼʷaɫanɡi
აკვამარინი,akʼʷamaɾini
აკვანთა,akʼʷantʰa
აკვანი,akʼʷani
აკვანმა,akʼʷanma
აკვანნი,akʼʷanni
აკვანნო,akʼʷanno
აკვანო,akʼʷano
აკვანს,akʼʷans
აკვარელი,akʼʷaɾeli
აკვარელისტი,akʼʷaɾelistʼi
აკვარიუმი,akʼʷaɾiumi
აკვდება,akʼʷdeba
აკვედუკი,akʼʷedukʼi
აკვიატება,akʼʷiatʼeba
აკვიატებულად,akʼʷiatʼebuɫad
აკვიატებული,akʼʷiatʼebuli
აკვირვებს,akʼʷiɾʷebs
აკვიტანია,akʼʷitʼania
აკვნად,akʼʷnad
აკვნებად,akʼʷnebad
აკვნები,akʼʷnebi
აკვნებით,akʼʷnebitʰ
აკვნების,akʼʷnebis
აკვნებმა,akʼʷnebma
აკვნებო,akʼʷnebo
აკვნებს,akʼʷnebs
აკვნით,akʼʷnitʰ
აკვნის,akʼʷnis
აკვრევინებს,akʼʷɾevinebs
აკლდამა,akʼldama
აკლებს,akʼlebs
აკლია,akʼlia
აკობაშვილი,akʼobaʃʷili
აკოლაშვილი,akʼoɫaʃʷili
აკომპანირება,akʼompʼaniɾeba
აკორდეონი,akʼoɾdeoni
აკოფაშვილი,akʼopʰaʃʷili
აკრავს,akʼɾafs
აკრი,akʼɾi
აკრისტალებს,akʼɾistʼalebs
აკრიფეთ,akʼɾipʰetʰ
აკრობატი,akʼɾobatʼi
აკრობატიკა,akʼɾobatʼikʼa
აკროპოლისი,akʼɾopʼolisi
აკროსტიქი,akʼɾostʼikʰi
აკროფობია,akʼɾopʰobia
აკრძალვა,akʼɾd͡zalʷa
აკრძალვითად,akʼɾd͡zalʷitʰad
აკრძალვითი,akʼɾd͡zalʷitʰi
აკრძალული,akʼɾd͡zaɫuli
აკუთა,akʼutʰa
აკულაშვილი,akʼuɫaʃʷili
აკუმულატორი,akʼumuɫatʼoɾi
აკურატულად,akʼuɾatʼuɫad
აკურატული,akʼuɾatʼuli
აკურატულობა,akʼuɾatʼuɫoba
აკურთხებს,akʼuɾtʰχebs
აკუსტიკა,akʼustʼikʼa
აკუსტიკური,akʼustʼikʼuɾi
ალაგარდაშვილი,aɫaɡaɾdaʃʷili
ალაგებს,aɫaɡebs
ალაგი,aɫaɡi
ალადასტური,aɫadastʼuɾi
ალადინი,aɫadini
ალავერდაშვილი,aɫaveɾdaʃʷili
ალავერდი,aɫaveɾdi
ალავი,aɫavi
ალაზანი,aɫazani
ალალბედზე,aɫalbedze
ალალი,aɫali
ალალმართლად,aɫalmaɾtʰɫad
ალალმართლობა,aɫalmaɾtʰɫoba
ალამი,aɫami
ალაო,aɫao
ალასანია,aɫasania
ალაფი,aɫapʰi
ალაჰი,aɫahi
ალბათ,albatʰ
ალბათობა,albatʰoba
ალბანეთი,albanetʰi
ალბანური,albanuɾi
ალბატროსი,albatʼɾosi
ალბერტა,albeɾtʼa
ალბერტი,albeɾtʼi
ალბინოსი,albinosi
ალბომად,albomad
ალბომი,albomi
ალბომით,albomitʰ
ალბომის,albomis
ალბომმა,albomma
ალბომს,alboms
ალბორაშვილი,alboɾaʃʷili
ალბუთაშვილი,albutʰaʃʷili
ალგებრა,alɡebɾa
ალგებრულად,alɡebɾuɫad
ალგებრული,alɡebɾuli
ალგორითმი,alɡoɾitʰmi
ალდატი,aldatʼi
ალებასტრი,alebastʼɾi
ალეგორია,aleɡoɾia
ალეგორიული,aleɡoɾiuli
ალელიშვილი,aleliʃʷili
ალეპო,alepʼo
ალერგია,aleɾɡia
ალერგიული,aleɾɡiuli
ალერსად,aleɾsad
ალერსი,aleɾsi
ალერსიანი,aleɾsiani
ალერსით,aleɾsitʰ
ალერსის,aleɾsis
ალერსმა,aleɾsma
ალერსო,aleɾso
ალერსს,aleɾss
ალექსანდრა,alekʰsandɾa
ალექსანდრე,alekʰsandɾe
ალექსანდრია,alekʰsandɾia
ალექსიძე,alekʰsid͡ze
ალვა,alʷa
ალვეოლური,alʷeoɫuɾi
ალთუნაშვილი,altʰunaʃʷili
ალი,ali
ალიაქოთი,aliakʰotʰi
ალიბეგაშვილი,alibeɡaʃʷili
ალიბი,alibi
ალიგატორი,aliɡatʼoɾi
ალიზი,alizi
ალიკაპი,alikʼapʼi
ალიმბარაშვილი,alimbaɾaʃʷili
ალიმბერაშვილი,alimbeɾaʃʷili
ალიონი,alioni
ალისფერი,alispʰeɾi
ალიტერაცია,alitʼeɾat͡sʰia
ალიტერაციული,alitʼeɾat͡sʰiuli
ალიხანაშვილი,aliχanaʃʷili
ალკოჰოლი,alkʼoholi
ალკოჰოლიანი,alkʼoholiani
ალკოჰოლიზმი,alkʼoholizmi
ალკოჰოლური,alkʼohoɫuɾi
ალკუნი,alkʼuni
ალმანახი,almanaχi
ალმასი,almasi
ალმატი,almatʼi
ალმოდებული,almodebuli
ალმური,almuɾi
ალო,aɫo
ალოე,aɫoe
ალპინიზმი,alpʼinizmi
ალპინისტი,alpʼinistʼi
ალპური,alpʼuɾi
ალჟირი,alʒiɾi
ალტერნატივა,altʼeɾnatʼiva
ალტერნატიულად,altʼeɾnatʼiuɫad
ალტერნატიული,altʼeɾnatʼiuli
ალტი,altʼi
ალტიმეტრი,altʼimetʼɾi
ალტრუიზმი,altʼɾuizmi
ალტრუისტი,altʼɾuistʼi
ალტრუისტულად,altʼɾuistʼuɫad
ალტრუისტული,altʼɾuistʼuli
ალუაშვილი,aɫuaʃʷili
ალუბალი,aɫubali
ალუდა,aɫuda
ალუვიური,aɫuviuɾi
ალუმინი,aɫumini
ალუჩა,aɫut͡ʃʰa
ალფა,alpʰa
ალქატი,alkʰatʼi
ალქიმია,alkʰimia
ალქიმიკოსი,alkʰimikʼosi
ალღო,alʁo
ალყა,alχʼa
ალხაზიშვილი,alχaziʃʷili
ამ,am
ამაგი,amaɡi
ამაზაშვილი,amazaʃʷili
ამაზე,amaze
ამალა,amaɫa
ამალგამა,amalɡama
ამანათაშვილი,amanatʰaʃʷili
ამანათი,amanatʰi
ამაო,amao
ამაოდ,amaod
ამაოება,amaoeba
ამართლებს,amaɾtʰlebs
ამარილისი,amaɾilisi
ამას,amas
ამასთან,amastʰan
ამატებს,amatʼebs
ამაღელვებელი,amaʁelʷebeli
ამაღელვებლად,amaʁelʷebɫad
ამაღლებულად,amaʁlebuɫad
ამაღლებული,amaʁlebuli
ამაღლებულობა,amaʁlebuɫoba
ამაყად,amaχʼad
ამაყი,amaχʼi
ამაში,amaʃi
ამახინჯებს,amaχind͡ʒebs
ამბავი,ambavi
ამბარდნიშვილი,ambaɾdniʃʷili
ამბიცია,ambit͡sʰia
ამბობს,ambobs
ამბორი,amboɾi
ამბოხება,amboχeba
ამბოხებული,amboχebuli
ამბოხი,amboχi
ამბრაზურა,ambɾazuɾa
ამბრიაშვილი,ambɾiaʃʷili
ამბროსაშვილი,ambɾosaʃʷili
ამბროსიშვილი,ambɾosiʃʷili
ამდენად,amdenad
ამეთვისტო,ametʰʷistʼo
ამეთვისტოსფერი,ametʰʷistʼospʰeɾi
ამერიკა,ameɾikʼa
ამერიკად,ameɾikʼad
ამერიკამ,ameɾikʼam
ამერიკანიზმი,ameɾikʼanizmi
ამერიკას,ameɾikʼas
ამერიკელი,ameɾikʼeli
ამერიკით,ameɾikʼitʰ
ამერიკის,ameɾikʼis
ამერიკული,ameɾikʼuli
ამზადებს,amzadebs
ამთავრებს,amtʰavɾebs
ამთვისებელი,amtʰʷisebeli
ამთქნარებს,amtʰkʰnaɾebs
ამიაკი,amiakʼi
ამიერიდან,amieɾidan
ამიერკავკასია,amieɾkʼafkʼasia
ამით,amitʰ
ამინ,amin
ამინაშვილი,aminaʃʷili
ამინდი,amindi
ამინომჟავა,aminomʒava
ამირა,amiɾa
ამირანი,amiɾani
ამირაშვილი,amiɾaʃʷili
ამირეზაშვილი,amiɾezaʃʷili
ამირი,amiɾi
ამირხანაშვილი,amiɾχanaʃʷili
ამისულაშვილი,amisuɫaʃʷili
ამიტომ,amitʼom
ამიტომაც,amitʼomat͡sʰ
ამკობს,amkʼobs
ამლევი,amlevi
ამნეზია,amnezia
ამნიაშვილი,amniaʃʷili
ამნისტია,amnistʼia
ამობურცული,amobuɾt͡sʰuli
ამოდის,amodis
ამოზნექილად,amoznekʰiɫad
ამოზნექილი,amoznekʰili
ამოზნექილობა,amoznekʰiɫoba
ამოთითხნილი,amotʰitʰχnili
ამოიდო,amoido
ამოკლებს,amokʼlebs
ამომრჩეველი,amomɾt͡ʃʰeveli
ამომწურავად,amomt͡sʼuɾavad
ამომწურავი,amomt͡sʼuɾavi
ამომჭმელი,amomt͡ʃʼmeli
ამორალური,amoɾaɫuɾi
ამორტიზაცია,amoɾtʼizat͡sʰia
ამორფული,amoɾpʰuli
ამორჩეული,amoɾt͡ʃʰeuli
ამორძალი,amoɾd͡zali
ამოურჩეველი,amouɾt͡ʃʰeveli
ამოუწურავი,amout͡sʼuɾavi
ამოყვანილი,amoχʼʷanili
ამოშვერილი,amoʃʷeɾili
ამოცანა,amot͡sʰana
ამოცნობა,amot͡sʰnoba
ამოძირკვავს,amod͡ziɾkʼʷafs
ამოხველება,amoχʷeleba
ამპარტავანი,ampʼaɾtʼavani
ამპარტავნულად,ampʼaɾtʼavnuɫad
ამპერი,ampʼeɾi
ამპერმეტრი,ampʼeɾmetʼɾi
ამპლიტუდა,ampʼlitʼuda
ამპულა,ampʼuɫa
ამპუტაცია,ampʼutʼat͡sʰia
ამჟამად,amʒamad
ამრავლებს,amɾavlebs
ამრაზიშვილი,amɾaziʃʷili
ამრგვალებს,amɾɡʷalebs
ამრეკლავად,amɾekʼɫavad
ამრეკლავი,amɾekʼɫavi
ამრიგად,amɾiɡad
ამსგავსებს,amsɡafsebs
ამსტერდამი,amstʼeɾdami
ამტანი,amtʼani
ამტანობა,amtʼanoba
ამტვირთავი,amtʼʷiɾtʰavi
ამტვრევს,amtʼʷɾefs
ამუზია,amuzia
ამულეტი,amuletʼi
ამურველაშვილი,amuɾʷeɫaʃʷili
ამუშავებს,amuʃavebs
ამუხრუჭებს,amuχɾut͡ʃʼebs
ამფიბია,ampʰibia
ამფითეატრი,ampʰitʰeatʼɾi
ამფორა,ampʰoɾa
ამღერებს,amʁeɾebs
ამღვრეულობა,amʁʷɾeuɫoba
ამშვიდებს,amʃʷidebs
ამჩნევს,amt͡ʃʰnefs
ამძვრალი,amd͡zʷɾali
ამძიმებს,amd͡zimebs
ამწარებს,amt͡sʼaɾebs
ამწე,amt͡sʼe
ამწიფებს,amt͡sʼipʰebs
ამწნილებს,amt͡sʼnilebs
ამხანაგი,amχanaɡi
ამხანაგობა,amχanaɡoba
ამხედრებული,amχedɾebuli
ამჯობინებს,amd͡ʒobinebs
ან,an
ანა,ana
ანაბარი,anabaɾi
ანაბეჭდი,anabet͡ʃʼdi
ანაგვიანებს,anaɡʷianebs
ანათემა,anatʰema
ანაკონდა,anakʼonda
ანალიზი,analizi
ანალიზური,analizuɾi
ანალიტიკა,analitʼikʼa
ანალიტიკოსი,analitʼikʼosi
ანალოგი,anaɫoɡi
ანალოგია,anaɫoɡia
ანალოგიურად,anaɫoɡiuɾad
ანალოგიური,anaɫoɡiuɾi
ანალური,anaɫuɾi
ანანასი,ananasi
ანანიაშვილი,ananiaʃʷili
ანანიძე,ananid͡ze
ანაოჭებს,anaot͡ʃʼebs
ანარქია,anaɾkʰia
ანარქიზმი,anaɾkʰizmi
ანარქისტი,anaɾkʰistʼi
ანარქიულად,anaɾkʰiuɫad
ანარქიული,anaɾkʰiuli
ანატოლი,anatʼoli
ანატოლია,anatʼolia
ანატომი,anatʼomi
ანატომიურად,anatʼomiuɾad
ანატომიური,anatʼomiuɾi
ანაფილაქსია,anapʰiɫakʰsia
ანაფორა,anapʰoɾa
ანაქრონიზმი,anakʰɾonizmi
ანაღდებს,anaʁdebs
ანახებს,anaχebs
ანახვებს,anaχʷebs
ანახშირებს,anaχʃiɾebs
ანბანი,anbani
ანბანურად,anbanuɾad
ანბანური,anbanuɾi
ანგარება,anɡaɾeba
ანგარები,anɡaɾebi
ანგარებიანი,anɡaɾebiani
ანგარი,anɡaɾi
ანგარიშვალდებულება,anɡaɾiʃʷaldebuleba
ანგარიშვალდებული,anɡaɾiʃʷaldebuli
ანგარიში,anɡaɾiʃi
ანგარიშიანი,anɡaɾiʃiani
ანგარიშმიუცემლად,anɡaɾiʃmiut͡sʰemɫad
ანგელოზა,anɡeɫoza
ანგელოზი,anɡeɫozi
ანგელოზივით,anɡeɫozivitʰ
ანგია,anɡia
ანგინა,anɡina
ანგლიკანური,anɡlikʼanuɾi
ანგლიციზმი,anɡlit͡sʰizmi
ანგლოსაქსური,anɡɫosakʰsuɾi
ანგლოფობი,anɡɫopʰobi
ანგოლა,anɡoɫa
ანგორა,anɡoɾa
ანგრევს,anɡɾefs
ანდაზა,andaza
ანდალუსია,andaɫusia
ანდამატი,andamatʼi
ანდიაშვილი,andiaʃʷili
ანდობს,andobs
ანდომებდა,andomebda
ანდომებს,andomebs
ანდორა,andoɾa
ანდრაზაშვილი,andɾazaʃʷili
ანდრია,andɾia
ანდრიაშვილი,andɾiaʃʷili
ანეკდოტური,anekʼdotʼuɾi
ანემია,anemia
ანემიურად,anemiuɾad
ანესაშვილი,anesaʃʷili
ანესთეზია,anestʰezia
ანექსია,anekʰsia
ანთება,antʰeba
ანთებითი,antʰebitʰi
ანთებს,antʰebs
ანთებული,antʰebuli
ანთოლოგია,antʰoɫoɡia
ანთრაციტი,antʰɾat͡sʰitʼi
ანთროპოიდი,antʰɾopʼoidi
ანთროპოიდული,antʰɾopʼoiduli
ანთროპოლოგი,antʰɾopʼoɫoɡi
ანიაშვილი,aniaʃʷili
ანიკაშვილი,anikʼaʃʷili
ანიმაციური,animat͡sʰiuɾi
ანიმიზმი,animizmi
ანისი,anisi
ანისული,anisuli
ანკესი,ankʼesi
ანკეტა,ankʼetʼa
ანომალია,anomalia
ანომალიური,anomaliuɾi
ანომალურად,anomaɫuɾad
ანონიმურად,anonimuɾad
ანონიმური,anonimuɾi
ანონიმურობა,anonimuɾoba
ანონსი,anonsi
ანოტაცია,anotʼat͡sʰia
ანტაგონიზმი,antʼaɡonizmi
ანტაგონისტურად,antʼaɡonistʼuɾad
ანტარქტიდა,antʼaɾkʰtʼida
ანტარქტიკული,antʼaɾkʰtʼikʼuli
ანტიბიოტიკი,antʼibiotʼikʼi
ანტიგმირი,antʼiɡmiɾi
ანტივირუსი,antʼiviɾusi
ანტიიმპერიალიზმი,antʼiimpʼeɾializmi
ანტიკვარი,antʼikʼʷaɾi
ანტიკვარული,antʼikʼʷaɾuli
ანტიკომუნისტი,antʼikʼomunistʼi
ანტიკომუნისტური,antʼikʼomunistʼuɾi
ანტიკური,antʼikʼuɾi
ანტიკურობა,antʼikʼuɾoba
ანტილოპა,antʼiɫopʼa
ანტიპათია,antʼipʼatʰia
ანტიპათიური,antʼipʼatʰiuɾi
ანტისხეული,antʼisχeuli
