はっ	h a̠ ʔ
あいどくしゃ	a̠ i d o̞ k ɯ̟ᵝ ɕ a̠
アイドル	a̠ i d o̞ ɾ ɯ̟ᵝ
あいな	a̠ i n a̠
アイナメ	a̠ i n a̠ m e̞
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
アイヌ	a̠ i n ɯ̟ᵝ
あいのこ	a̠ i n o̞ k o̞
あいのて	a̠ i n o̞ t e̞
あいば	a̠ i b a̠
アイピーアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨᵝ
あいびき	a̠ i bʲ i kʲ i
あいびょう	a̠ i bʲ o̞ː
あいぶ	a̠ i b ɯ̟ᵝ
あいふく	a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
アイブロウ	a̠ i b ɯ̟ᵝ ɾ o̞ː
あいべや	a̠ i b e̞ j a̠
あいぼ	a̠ i b o̞
あいぼう	a̠ i b o̞ː
アイホール	a̠ i h o̞ː ɾ ɯ̟ᵝ
あいま	a̠ i m a̠
あいまい	a̠ i m a̠ i
あいまいもこ	a̠ i m a̠ i m o̞ k o̞
アイマスク	a̠ i m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
あいまって	a̠ i m a̠ t̚ t e̞
あいや	a̠ i j a̠
あいよ	a̠ i j o̞
あいよう	a̠ i j o̞ː
あいよめ	a̠ i j o̞ m e̞
アイライナー	a̠ i ɾ a̠ i n a̠ː
アイライン	a̠ i ɾ a̠ ĩ ɴ
あいらく	a̠ i ɾ a̠ k ɯ̟ᵝ
アイルランド	a̠ i ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アイロンがけ	a̠ i ɾ õ̞ ŋ ɡ a̠ k e̞
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ᵝ t a̠ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
アウグストゥス	a̠ ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨ̥ᵝ t ɯ̟ᵝ s ɨᵝ
アウトサイダー	a̠ ɯ̟ᵝ t o̞ s a̠ i d a̠ː
アウトプット	a̠ ɯ̟ᵝ t o̞ p ɯ̟ᵝ t̚ t o̞
アウトロー	a̠ ɯ̟ᵝ t o̞ ɾ o̞ː
アウフヘーベン	a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ h e̞ː b ẽ̞ ɴ
アウローラ	a̠ ɯ̟ᵝ ɾ o̞ː ɾ a̠
あうん	a̠ ɯ̟̃ᵝ ɴ
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
あえて	a̠ e̞ t e̞
あえる	a̠ e̞ ɾ ɯ̟ᵝ
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ᵝ ɾ o̞ː t o̞
あえん	a̠ ẽ̞ ɴ
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
あおうみがめ	a̠ o̞ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あおい	a̠ o̞ i
アオイか	a̠ o̞ i k a̠
あおいきといき	a̠ o̞ i kʲ i t o̞ i kʲ i
アオイもく	a̠ o̞ i m o̞ k ɯ̟ᵝ
あおいろ	a̠ o̞ i ɾ o̞
あおがしま	a̠ o̞ ɡ a̠ ɕ i m a̠
あおかん	a̠ o̞ k ã̠ ɴ
あおき	a̠ o̞ kʲ i
あか	a̠ k a̠
あおぎみる	a̠ o̞ ɡʲ i mʲ i ɾ ɯ̟ᵝ
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおくさい	a̠ o̞ k ɯ̟ᵝ s a̠ i
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおさ	a̠ o̞ s a̠
アオザイ	a̠ o̞ z a̠ i
あおざめ	a̠ o̞ z a̠ m e̞
アオザメぞく	a̠ o̞ z a̠ m e̞ z o̞ k ɯ̟ᵝ
あおし	a̠ o̞ ɕ i
あおじゃしん	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
あおじろい	a̠ o̞ ʑ i ɾ o̞ i
あおず	a̠ o̞ z ɨᵝ
あおすじ	a̠ o̞ s ɨᵝ ʑ i
あおせん	a̠ o̞ s ẽ̞ ɴ
あおぞら	a̠ o̞ z o̞ ɾ a̠
あおた	a̠ o̞ t a̠
あおだいしょう	a̠ o̞ d a̠ i ɕ o̞ː
あおてんじょう	a̠ o̞ t ẽ̞ ɲ̟ d͡ʑ o̞ː
あおな	a̠ o̞ n a̠
あおば	a̠ o̞ b a̠
あおひげ	a̠ o̞ ç i ɡ e̞
あおみどり	a̠ o̞ mʲ i d o̞ ɾʲ i
あおむけ	a̠ o̞ m ɯ̟ᵝ k e̞
あおめ	a̠ o̞ m e̞
あおもじ	a̠ o̞ m o̞ ʑ i
あおもじけい	a̠ o̞ m o̞ ʑ i k e̞ː
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおやぎ	a̠ o̞ j a̠ ɡʲ i
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あおんそく	a̠ õ̞ ɰ̃ s o̞ k ɯ̟ᵝ
あか	a̠ k a̠
どう	d o̞ː
あかい	a̠ k a̠ i
あかうみがめ	a̠ k a̠ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
アカウント	a̠ k a̠ ɯ̟̃ᵝ n t o̞
あかがね	赤 金
あかかぶ	a̠ k a̠ k a̠ b ɯ̟ᵝ
あかがみ	a̠ k a̠ ɡ a̠ mʲ i
あかがり	a̠ k a̠ ɡ a̠ ɾʲ i
あかぎつね	a̠ k a̠ ɡʲ i t͡s ɨᵝ n e̞
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかげ	a̠ k a̠ ɡ e̞
あかげざる	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ
あかご	a̠ k a̠ ɡ o̞
あかざ	a̠ k a̠ z a̠
しゅろ	ɕ ɨᵝ ɾ o̞
あかし	a̠ k a̠ ɕ i
あかじ	a̠ k a̠ ʑ i
アカシア	a̠ k a̠ ɕ i a̠
あかしか	a̠ k a̠ ɕ i̥ k a̠
あかじるし	a̠ k a̠ ʑ i ɾ ɯ̟ᵝ ɕ i
あかす	a̠ k a̠ s ɨᵝ
あかずきん	a̠ k a̠ z ɨᵝ kʲ ĩ ɴ
あかせ	a̠ k a̠ s e̞
あかせん	a̠ k a̠ s ẽ̞ ɴ
あがた	a̠ ɡ a̠ t a̠
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あずま	a̠ ɡ a̠ t͡s ɨᵝ m a̠
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
アカデミー	a̠ k a̠ d e̞ mʲ iː
あかてん	a̠ k a̠ t ẽ̞ ɴ
あかとんぼ	a̠ k a̠ t õ̞ m b o̞
あがない	a̠ ɡ a̠ n a̠ i
あがなう	a̠ ɡ a̠ n a̠ ɯ̟ᵝ
あがう	a̠ ɡ a̠ n a̠ ɯ̟ᵝ
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかぬけ	a̠ k a̠ n ɯ̟ᵝ k e̞
あかぬける	a̠ k a̠ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
あかね	a̠ k a̠ n e̞
あかねいろ	a̠ k a̠ n e̞ i ɾ o̞
あかねずみ	a̠ k a̠ n e̞ z ɨᵝ mʲ i
あかはい	a̠ k a̠ h a̠ i
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかひげ	a̠ k a̠ ç i ɡ e̞
あかふじ	a̠ k a̠ ɸ ɯ̟ᵝ ʑ i
あかふち	a̠ k a̠ ɸ ɯ̟ᵝ t͡ɕ i
あかぶどうしゅ	a̠ k a̠ b ɯ̟ᵝ d o̞ː ɕ ɨᵝ
あかべこ	a̠ k a̠ b e̞ k o̞
アカペラ	a̠ k a̠ p e̞ ɾ a̠
あかぼうくじら	a̠ k a̠ b o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
せきはん	s e̞ kʲ i h ã̠ ɴ
あかみ	a̠ k a̠ mʲ i
あかむし	a̠ k a̠ m ɯ̟ᵝ ɕ i
あかむつ	a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ
あかめ	a̠ k a̠ m e̞
アガメムノーン	a̠ ɡ a̠ m e̞ m ɯ̟ᵝ n õ̞ː ɴ
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あかもじけい	a̠ k a̠ m o̞ ʑ i k e̞ː
あからがお	a̠ k a̠ ɾ a̠ ɡ a̠ o̞
あからさま	a̠ k a̠ ɾ a̠ s a̠ m a̠
あからむ	a̠ k a̠ ɾ a̠ m ɯ̟ᵝ
あからめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あかり	a̠ k a̠ ɾʲ i
ホーラ	h o̞ː ɾ a̠
あがりさがり	a̠ ɡ a̠ ɾʲ i s a̠ ɡ a̠ ɾʲ i
あがりしょう	a̠ ɡ a̠ ɾʲ i ɕ o̞ː
ちる	t͡ɕ i ɾ ɯ̟ᵝ
アガる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
あかるむ	a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかれんが	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
あかワイン	a̠ k a̠ ɰᵝ a̠ ĩ ɴ
あかん	a̠ k ã̠ ɴ
あかんべえ	a̠ k ã̠ m b e̞ː
あかんぼう	a̠ k ã̠ m b o̞ː
あき	a̠ kʲ i
あき	a̠ kʲ i
あきあき	a̠ kʲ i a̠ kʲ i
あきや	a̠ kʲ i j a̠
あきかん	a̠ kʲ i k ã̠ ɴ
あきぐち	a̠ kʲ i ɡ ɯ̟ᵝ t͡ɕ i
あきさめ	a̠ kʲ i s a̠ m e̞
あきす	a̠ kʲ i̥ s ɨᵝ
あきすねらい	a̠ kʲ i̥ s ɨᵝ n e̞ ɾ a̠ i
あきぞら	a̠ kʲ i z o̞ ɾ a̠
あきた	a̠ kʲ i t a̠
あきたいぬ	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i t a̠ k ẽ̞ ɴ
あきち	a̠ kʲ i t͡ɕ i
あぎとう	a̠ ɡʲ i t o̞ː
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきはばら	a̠ kʲ i h a̠ b a̠ ɾ a̠
あきびん	a̠ kʲ i bʲ ĩ ɴ
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あぎゃん	a̠ ɡʲ ã̠ ɴ
あきやま	a̠ kʲ i j a̠ m a̠
あぎょう	a̠ ɡʲ o̞ː
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
アギラレス	a̠ ɡʲ i ɾ a̠ ɾ e̞ s ɨᵝ
あきる	a̠ kʲ i ɾ ɯ̟ᵝ
アキレウス	a̠ kʲ i ɾ e̞ ɯ̟ᵝ s ɨᵝ
あきれがお	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
アキレスけん	a̠ kʲ i ɾ e̞ s ɨ̥ᵝ k ẽ̞ ɴ
あく	a̠ k ɯ̟ᵝ
アクアウオーキング	a̠ k ɯ̟ᵝ a̠ ɯ̟ᵝ o̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
アクアサイズ	a̠ k ɯ̟ᵝ a̠ s a̠ i z ɨᵝ
アグアスカリエンテス	a̠ ɡ ɯ̟ᵝ a̠ s ɨᵝ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨᵝ
アクアビクス	a̠ k ɯ̟ᵝ a̠ bʲ i k ɯ̟ᵝ s ɨᵝ
アクアマリン	a̠ k ɯ̟ᵝ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ᵝ a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
あくい	a̠ k ɯ̟ᵝ i
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくえいきょう	a̠ k ɯ̟ᵝ e̞ː kʲ o̞ː
あくおち	a̠ k ɯ̟ᵝ o̞ t͡ɕ i
いたずら	i t a̠ z ɨᵝ ɾ a̠
アクきん	a̠ k ɯ̟ᵝ kʲ ĩ ɴ
あくごう	a̠ k ɯ̟ᵝ ɡ o̞ː
アクサン	a̠ k ɯ̟ᵝ s ã̠ ɴ
アクサンテギュ	a̠ k ɯ̟ᵝ s ã̠ n t e̞ ɡʲ ɨᵝ
アクシス	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ
アクシスジカ	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ʑ i k a̠
アクシデント	a̠ k ɯ̟̊ᵝ ɕ i d ẽ̞ n t o̞
あくしゅ	a̠ k ɯ̟ᵝ ɕ ɨᵝ
あくしゅう	a̠ k ɯ̟̊ᵝ ɕ ɨᵝː
あくしゅう	a̠ k ɯ̟̊ᵝ ɕ ɨᵝː
あくしゅかい	a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i
あくしゅけん	a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i
あくじゅんかん	a̠ k ɯ̟ᵝ ʑ ɨ̃ᵝ ŋ k ã̠ ɴ
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
アクション	a̠ k ɯ̟̊ᵝ ɕ õ̞ ɴ
アクスタ	a̠ k ɯ̟ᵝ s ɨᵝ t a̠
アクセ	a̠ k ɯ̟ᵝ s e̞
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
アクセサリー	a̠ k ɯ̟̊ᵝ s e̞ s a̠ ɾʲ iː
アクセシビリティ	a̠ k ɯ̟ᵝ s e̞ ɕ i bʲ i ɾʲ i tʲ i
アクセシビリティー	a̠ k ɯ̟ᵝ s e̞ ɕ i bʲ i ɾʲ i tʲ iː
アクセス	a̠ k ɯ̟̊ᵝ s e̞ s ɨᵝ
あくせん	a̠ k ɯ̟̊ᵝ s ẽ̞ ɴ
アクセント	a̠ k ɯ̟̊ᵝ s ẽ̞ n t o̞
アクセントかく	a̠ k ɯ̟̊ᵝ s ẽ̞ n t o̞ k a̠ k ɯ̟ᵝ
あくた	a̠ k ɯ̟ᵝ t a̠
あくたい	a̠ k ɯ̟ᵝ t a̠ i
あくたがわ	a̠ k ɯ̟̊ᵝ t a̠ ɡ a̠ ɰᵝ a̠
アクチニウム	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アクチニド	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ᵝ t͡ɕ i n o̞ i d o̞
かかと	k a̠ k a̠ t o̞
あくどい	a̠ k ɯ̟ᵝ d o̞ i
あくとう	a̠ k ɯ̟ᵝ t o̞ː
あくとく	a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ
あくば	a̠ k ɯ̟ᵝ b a̠
あくび	a̠ k ɯ̟ᵝ bʲ i
あくにち	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あくひつ	a̠ k ɯ̟ᵝ ç i t͡s ɨᵝ
あくへき	a̠ k ɯ̟ᵝ h e̞ kʲ i
あくま	a̠ k ɯ̟ᵝ m a̠
あくみょうだかい	a̠ k ɯ̟ᵝ mʲ o̞ː d a̠ k a̠ i
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
アクメ	a̠ k ɯ̟ᵝ m e̞
あくめ	a̠ k ɯ̟ᵝ m e̞
あくもん	a̠ k ɯ̟ᵝ m õ̞ ɴ
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
あくゆう	a̠ k ɯ̟ᵝ j ɯ̟ᵝː
アクラ	a̠ k ɯ̟ᵝ ɾ a̠
あくらつ	a̠ k ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
アグリコン	a̠ ɡ ɯ̟ᵝ ɾʲ i k õ̞ ɴ
アクリジン	a̠ k ɯ̟ᵝ ɾʲ i ʑ ĩ ɴ
アクリル	a̠ k ɯ̟ᵝ ɾʲ i ɾ ɯ̟ᵝ
あくる	a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ
あくりょう	a̠ k ɯ̟ᵝ ɾʲ o̞ː
アグレット	a̠ ɡ ɯ̟ᵝ ɾ e̞ t̚ t o̞
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
アクロバット	a̠ k ɯ̟ᵝ ɾ o̞ b a̠ t̚ t o̞
アグワスカリエンテス	a̠ ɡ ɯ̟ᵝ ɰᵝ a̠ s ɨᵝ k a̠ ɾʲ i ẽ̞ n t e̞ s ɨᵝ
あけ	a̠ k e̞
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あけがた	a̠ k e̞ ɡ a̠ t a̠
あげく	a̠ ɡ e̞ k ɯ̟ᵝ
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけすけ	a̠ k e̞ s ɨᵝ k e̞
あけっぱ	a̠ k e̞ p̚ p a̠
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あげつらい	a̠ ɡ e̞ t͡s ɨᵝ ɾ a̠ i
あげつらう	a̠ ɡ e̞ t͡s ɨᵝ ɾ a̠ ɯ̟ᵝ
あげは	a̠ ɡ e̞ h a̠
