ya	ja
msingi	msinɡi
maarufu	maaɾufu
mkurugenzi	mkuɾuɠenzi
jumamosi	ʄumamosi
miongoni	mionɡoni
vyombo	vjombo
kilimanjaro	kilimanɟaɾo
utawala	utawala
kabisa	kaɓisa
basi	ɓasi
amani	amani
pekee	pekee
wana	wana
makubwa	makuɓwa
msaada	msaaɗa
safari	safaɾi
kuu	kuu
mashariki	maʃaɾiki
shirika	ʃiɾika
yetu	jetu
yoyote	jojote
licha	lit͡ʃa
kuona	kuona
mbali	mbali
waliokuwa	waliokuwa
mbaya	mbaja
mwanza	mwanza
kuchukua	kut͡ʃukua
nao	nao
kutokea	kutokea
ambacho	ambat͡ʃo
mwenyekiti	mweɲekiti
chakula	t͡ʃakula
dakika	ɗakika
mchezo	mt͡ʃezo
bei	ɓei
kuweka	kuweka
muziki	muziki
wanachama	wanat͡ʃama
jamhuri	ʄamhuɾi
maendeleo	maendeleo
profesa	pɾofesa
tatizo	tatizo
mdogo	mɗoɠo
baraza	ɓaɾaza
fursa	fuɾsa
ziara	ziaɾa
kama	kama
mrema	mɾema
januari	ʄanuaɾi
tuzo	tuzo
ina	ina
kufikia	kufikia
wazi	wazi
ushindi	uʃindi
vile	vile
wakazi	wakazi
ujenzi	uʄenzi
asubuhi	asuɓuhi
mataifa	mataifa
gharama	ɣaɾama
kaskazini	kaskazini
kikao	kikao
kuliko	kuliko
suluhu	suluhu
mimi	mimi
rasmi	ɾasmi
baba	ɓaɓa
ila	ila
makundi	makundi
februari	feɓɾuaɾi
kile	kile
ulikuwa	ulikuwa
vifo	vifo
kuna	kuna
kuongeza	kuonɡeza
nyuma	ɲuma
machi	mat͡ʃi
chanjo	t͡ʃanɟo
kiwango	kiwanɡo
makazi	makazi
risasi	ɾisasi
mashariki	maʃaɾiki
haraka	haɾaka
ambako	ambako
kijiji	kiʄiʄi
mfumo	mfumo
drc	ɗɾc
kosa	kosa
mradi	mɾaɗi
wale	wale
marehemu	maɾehemu
ulinzi	ulinzi
shirika	ʃiɾika
madai	maɗai
mikoa	mikoa
congo	conɡo
ufaransa	ufaɾansa
hizi	hizi
lengo	lenɡo
miwili	miwili
mamlaka	mamlaka
mkazi	mkazi
wimbo	wimbo
dola	ɗola
haya	haja
kata	kata
matumizi	matumizi
ndugu	nduɠu
ugonjwa	uɠonɟwa
kamati	kamati
kina	kina
wanajeshi	wanaʄeʃi
kusini	kusini
mapema	mapema
matukio	matukio
wasanii	wasanii
magufuli	maɠufuli
ulaya	ulaja
wajumbe	waʄumbe
wala	wala
mataifa	mataifa
kusababisha	kusaɓaɓiʃa
hii	hii
badala	ɓaɗala
abiria	aɓiɾia
madarakani	maɗaɾakani
mafanikio	mafanikio
anasema	anasema
nigeria	niɠeɾia
huru	huɾu
ndipo	ndipo
askofu	askofu
mgombea	mɠombea
utaratibu	utaɾatiɓu
mkataba	mkataɓa
akizungumza	akizunɡumza
pesa	pesa
mungu	munɡu
maafisa	maafisa
hoja	hoʄa
mbeya	mbeja
ushirikiano	uʃiɾikiano
barabara	ɓaɾaɓaɾa
siyo	sijo
amekuwa	amekuwa
juzi	ʄuzi
ndiye	ndije
moshi	moʃi
watanzania	watanzania
kauli	kauli
mashabiki	maʃaɓiki
masuala	masuala
urais	uɾais
wamekuwa	wamekuwa
wangu	wanɡu
kwao	kwao
mwanamke	mwanamke
sahihi	sahihi
kuondoka	kuondoka
tano	tano
wapo	wapo
kuelekea	kuelekea
mashambulizi	maʃambulizi
mwaka	mwaka
juni	ʄuni
mbunge	mbunɡe
kikosi	kikosi
mawili	mawili
waasi	waasi
bali	ɓali
kushindwa	kuʃindwa
magari	maɠaɾi
kulingana	kulinɡana
msanii	msanii
nzuri	nzuɾi
takriban	takɾiɓan
imesema	imesema
diamond	ɗiamond
binafsi	ɓinafsi
kampeni	kampeni
kuomba	kuomba
wagombea	waɠombea
yako	jako
dawa	ɗawa
video	viɗeo
kujua	kuʄua
uhusiano	uhusiano
kujenga	kuʄenɡa
ujumbe	uʄumbe
kumaliza	kumaliza
chanzo	t͡ʃanzo
wateja	wateʄa
kali	kali
kufika	kufika
wako	wako
mafuta	mafuta
ripoti	ɾipoti
kamati	kamati
kupiga	kupiɠa
mazungumzo	mazunɡumzo
washtakiwa	waʃtakiwa
uchaguzi	ut͡ʃaɠuzi
bao	ɓao
kufuatia	kufuatia
tuhuma	tuhuma
jinsi	ʄinsi
kushinda	kuʃinda
umma	umma
kutaka	kutaka
soka	soka
taasisi	taasisi
mei	mei
kijamii	kiʄamii
kikubwa	kikuɓwa
chuo	t͡ʃuo
uliopita	uliopita
imekuwa	imekuwa
mpango	mpanɡo
mshtakiwa	mʃtakiwa
mbunge	mbunɡe
wizara	wizaɾa
mabao	maɓao
uhuru	uhuɾu
umeme	umeme
shahidi	ʃahiɗi
kucheza	kut͡ʃeza
kukabiliana	kukaɓiliana
hospitali	hospitali
ambavyo	ambavjo
tarehe	taɾehe
uhalifu	uhalifu
wazazi	wazazi
korea	koɾea
ardhi	aɾði
ile	ile
mchakato	mt͡ʃakato
wenyewe	weɲewe
ligi	liɠi
klabu	klaɓu
maalumu	maalumu
wakili	wakili
wanne	wanne
vitendo	vitendo
putin	putin
makosa	makosa
ruto	ɾuto
mali	mali
katiba	katiɓa
kuwepo	kuwepo
hawa	hawa
maoni	maoni
kasi	kasi
picha	pit͡ʃa
askari	askaɾi
sisi	sisi
madini	maɗini
juhudi	ʄuhuɗi
wanasema	wanasema
chache	t͡ʃat͡ʃe
mke	mke
wakulima	wakulima
rwanda	ɾwanda
anaweza	anaweza
huwa	huwa
mgogoro	mɠoɠoɾo
mtandao	mtandao
mwalimu	mwalimu
bidhaa	ɓiðaa
salama	salama
kiuchumi	kiut͡ʃumi
fomu	fomu
kitaifa	kitaifa
mapinduzi	mapinduzi
kodi	koɗi
vitu	vitu
baadhi	ɓaaði
halmashauri	halmaʃauɾi
spika	spika
kote	kote
shahidi	ʃahiɗi
jioni	ʄioni
mwanafunzi	mwanafunzi
ndoa	ndoa
binadamu	ɓinaɗamu
jirani	ʄiɾani
wafanyakazi	wafaɲakazi
israel	isɾael
kiongozi	kionɡozi
mara	maɾa
filamu	filamu
mchezaji	mt͡ʃezaʄi
kufanyika	kufaɲika
ngazi	nɡazi
wadau	waɗau
ndogo	ndoɠo
makamu	makamu
heshima	heʃima
ilisema	ilisema
taarifa	taaɾifa
mfano	mfano
george	ɠeoɾɠe
naye	naje
itakuwa	itakuwa
wowote	wowote
ethiopia	eθiopia
mambo	mambo
lenye	leɲe
michezo	mit͡ʃezo
pointi	pointi
vifaa	vifaa
kata	kata
huenda	huenda
ubunge	uɓunɡe
thamani	θamani
barua	ɓaɾua
vikosi	vikosi
elizabeth	elizaɓeθ
sasa	sasa
nyerere	ɲeɾeɾe
gazeti	ɠazeti
hewa	hewa
kidogo	kiɗoɠo
kulikuwa	kulikuwa
kisheria	kiʃeɾia
nia	nia
kaskazini	kaskazini
majina	maʄina
vituo	vituo
walisema	walisema
siku	siku
vodacom	voɗacom
kuleta	kuleta
kanisa	kanisa
kikuu	kikuu
taratibu	taɾatiɓu
wamesema	wamesema
konde	konde
mitatu	mitatu
nyimbo	ɲimbo
ukweli	ukweli
benki	ɓenki
mtwara	mtwaɾa
huyu	huju
miradi	miɾaɗi
mwenyewe	mweɲewe
aprili	apɾili
naibu	naiɓu
kupambana	kupambana
mitandao	mitandao
afghanistan	afɣanistan
malkia	malkia
historia	histoɾia
lilikuwa	lilikuwa
nane	nane
mbali	mbali
jiji	ʄiʄi
mkali	mkali
bukoba	ɓukoɓa
hatari	hataɾi
hukumu	hukumu
ingawa	inɡawa
kupunguza	kupunɡuza
makubaliano	makuɓaliano
sekta	sekta
mzuri	mzuɾi
malipo	malipo
joe	ʄoe
mapigano	mapiɠano
mpira	mpiɾa
mvua	mvua
soko	soko
tisa	tisa
wewe	wewe
mamlaka	mamlaka
ndege	ndeɠe
bunge	ɓunɡe
iwapo	iwapo
kanisa	kanisa
utetezi	utetezi
kanda	kanda
katikati	katikati
kesho	keʃo
kupokea	kupokea
kushirikiana	kuʃiɾikiana
watano	watano
mohamed	mohameɗ
taliban	taliɓan
masomo	masomo
shauri	ʃauɾi
upelelezi	upelelezi
seif	seif
kufunga	kufunɡa
uvamizi	uvamizi
wakuu	wakuu
dunia	ɗunia
kagera	kaɠeɾa
uwanja	uwanɟa
jumla	ʄumla
kujiunga	kuʄiunɡa
kuzungumza	kuzunɡumza
mfupi	mfupi
hiki	hiki
kocha	kot͡ʃa
kutosha	kutoʃa
mahitaji	mahitaʄi
nayo	najo
sensa	sensa
wapi	wapi
zetu	zetu
francis	fɾancis
matatizo	matatizo
tani	tani
maalum	maalum
majukumu	maʄukumu
jimbo	ʄimbo
joseph	ʄoseph
kifungo	kifunɡo
kukosa	kukosa
lugha	luɣa
makao	makao
wafuasi	wafuasi
alipokuwa	alipokuwa
barani	ɓaɾani
chuo	t͡ʃuo
jengo	ʄenɡo
kugombea	kuɠombea
kutafuta	kutafuta
magharibi	maɣaɾiɓi
kampuni	kampuni
magharibi	maɣaɾiɓi
alitoa	alitoa
jela	ʄela
kambi	kambi
maombi	maombi
tabia	taɓia
tanga	tanɡa
benki	ɓenki
kike	kike
mahojiano	mahoʄiano
mawaziri	mawaziɾi
juma	ʄuma
kibatala	kiɓatala
kutokana	kutokana
hawana	hawana
mitano	mitano
unaweza	unaweza
afya	afja
ofisi	ofisi
mafunzo	mafunzo
mapinduzi	mapinduzi
halmashauri	halmaʃauɾi
mashindano	maʃindano
maswali	maswali
ngumu	nɡumu
wito	wito
maalim	maalim
dhamana	ðamana
nusu	nusu
ikiwamo	ikiwamo
shida	ʃiɗa
wanaume	wanaume
kilimo	kilimo
kinyume	kiɲume
kushiriki	kuʃiɾiki
demokrasia	ɗemokɾasia
kukaa	kukaa
mwandishi	mwandiʃi
m	m
kuonyesha	kuoɲeʃa
shambulizi	ʃambulizi
iliyopo	ilijopo
kupinga	kupinɡa
majeruhi	maʄeɾuhi
akili	akili
kulipa	kulipa
mawakili	mawakili
cameroon	cameɾoon
alipata	alipata
baraza	ɓaɾaza
kuacha	kuat͡ʃa
kupanda	kupanda
kupewa	kupewa
miili	miili
mteja	mteʄa
wanaweza	wanaweza
je	ʄe
kombe	kombe
gesi	ɠesi
iliyokuwa	ilijokuwa
kurudi	kuɾuɗi
maandamano	maandamano
umoja	umoʄa
sabaya	saɓaja
chochote	t͡ʃot͡ʃote
fainali	fainali
kuzuia	kuzuia
nani	nani
pande	pande
rufaa	ɾufaa
makuu	makuu
geita	ɠeita
kuhusu	kuhusu
new	new
usafiri	usafiɾi
wagonjwa	waɠonɟwa
cuf	cuf
majaliwa	maʄaliwa
bungeni	ɓunɡeni
damu	ɗamu
alidai	aliɗai
ametoa	ametoa
inaweza	inaweza
mingi	minɡi
wasiwasi	wasiwasi
mshindi	mʃindi
wizara	wizaɾa
charles	t͡ʃaɾles
albamu	alɓamu
hana	hana
kusaidia	kusaiɗia
mahali	mahali
sauti	sauti
wafanyabiashara	wafaɲaɓiaʃaɾa
ujerumani	uʄeɾumani
ajira	aʄiɾa
faida	faiɗa
msimamo	msimamo
wasichana	wasit͡ʃana
shule	ʃule
daraja	ɗaɾaʄa
kijana	kiʄana
magonjwa	maɠonɟwa
rekodi	ɾekoɗi
husika	husika
kukutana	kukutana
kuwania	kuwania
operesheni	opeɾeʃeni
vingi	vinɡi
awali	awali
kurejea	kuɾeʄea
yalikuwa	jalikuwa
kilomita	kilomita
kutengeneza	kutenɡeneza
mipango	mipanɡo
mjini	mʄini
morocco	moɾocco
fulani	fulani
imani	imani
rahisi	ɾahisi
sudan	suɗan
the	θe
william	william
mazishi	maziʃi
mwishoni	mwiʃoni
cha	t͡ʃa
kulia	kulia
akizungumzia	akizunɡumzia
sheria	ʃeɾia
kuhusiana	kuhusiana
moyo	mojo
yupo	jupo
kijiji	kiʄiʄi
peter	peteɾ
janga	ʄanɡa
kueleza	kueleza
kutolewa	kutolewa
maamuzi	maamuzi
mawasiliano	mawasiliano
michuano	mit͡ʃuano
zilikuwa	zilikuwa
darasa	ɗaɾasa
sifa	sifa
kuishi	kuiʃi
kuondoa	kuondoa
mazoezi	mazoezi
mchana	mt͡ʃana
ule	ule
harmonize	haɾmonize
ilivyo	ilivjo
katiba	katiɓa
kuimarisha	kuimaɾiʃa
siri	siɾi
hofu	hofu
ibada	iɓaɗa
ipo	ipo
kitendo	kitendo
wakimbizi	wakimbizi
yeyote	jejote
adhabu	aðaɓu
mifugo	mifuɠo
migogoro	miɠoɠoɾo
rafiki	ɾafiki
sera	seɾa
jukumu	ʄukumu
kujiuzulu	kuʄiuzulu
kuongoza	kuonɡoza
lolote	lolote
uliofanyika	uliofaɲika
leo	leo
malengo	malenɡo
mtuhumiwa	mtuhumiwa
dini	ɗini
kuangalia	kuanɡalia
kujibu	kuʄiɓu
kununua	kununua
kutekeleza	kutekeleza
mzazi	mzazi
johnson	ʄohnson
kabla	kaɓla
kati	kati
kundi	kundi
kuuza	kuuza
miundombinu	miundombinu
mzozo	mzozo
rushwa	ɾuʃwa
wapinzani	wapinzani
zenye	zeɲe
misri	misɾi
asili	asili
morogoro	moɾoɠoɾo
wananchi	wanant͡ʃi
zambia	zambia
mapato	mapato
usajili	usaʄili
pamoja	pamoʄa
uhuru	uhuɾu
hotuba	hotuɓa
malalamiko	malalamiko
matumaini	matumaini
emmanuel	emmanuel
odinga	oɗinɡa
awamu	awamu
iliyotolewa	ilijotolewa
korosho	koɾoʃo
ubora	uɓoɾa
wanasiasa	wanasiasa
hali	hali
kikwete	kikwete
kikuu	kikuu
kuwapa	kuwapa
maneno	maneno
mfululizo	mfululizo
nyakati	ɲakati
walimu	walimu
mkutano	mkutano
hati	hati
mikutano	mikutano
nishati	niʃati
virusi	viɾusi
ali	ali
papa	papa
alifariki	alifaɾiki
kanuni	kanuni
uhakika	uhakika
vyema	vjema
majibu	maʄiɓu
mtaa	mtaa
vijiji	viʄiʄi
balozi	ɓalozi
maafisa	maafisa
maendeleo	maendeleo
dereva	ɗeɾeva
mkewe	mkewe
ugaidi	uɠaiɗi
jiji	ʄiʄi
binti	ɓinti
kula	kula
kutangaza	kutanɡaza
majimbo	maʄimbo
angola	anɡola
bara	ɓaɾa
hakuna	hakuna
licha	lit͡ʃa
alianza	alianza
kukamatwa	kukamatwa
kusikiliza	kusikiliza
ligi	liɠi
uwekezaji	uwekezaʄi
jumuiya	ʄumuija
mazuri	mazuɾi
nzima	nzima
uzalishaji	uzaliʃaʄi
kenyatta	keɲatta
kiti	kiti
maandalizi	maandalizi
ndoto	ndoto
utekelezaji	utekelezaʄi
wataalamu	wataalamu
muungano	muunɡano
paul	paul
viongozi	vionɡozi
hakuwa	hakuwa
iwe	iwe
kuja	kuʄa
kuongezeka	kuonɡezeka
nilikuwa	nilikuwa
walio	walio
alikuwa	alikuwa
james	ʄames
music	music
bandari	ɓandaɾi
chumba	t͡ʃumba
masharti	maʃaɾti
ombi	ombi
uteuzi	uteuzi
vingine	vinɡine
amewataka	amewataka
atakuwa	atakuwa
katibu	katiɓu
kuanzisha	kuanziʃa
kupoteza	kupoteza
matatu	matatu
msemaji	msemaʄi
mwinyi	mwiɲi
mzee	mzee
nchi	nt͡ʃi
tume	tume
hafla	hafla
kusoma	kusoma
makombora	makomboɾa
of	of
shambulio	ʃambulio
ujao	uʄao
ukatili	ukatili
vikao	vikao
city	citj
ikulu	ikulu
moscow	moscow
mstaafu	mstaafu
ongezeko	onɡezeko
ukiwa	ukiwa
watuhumiwa	watuhumiwa
aidha	aiða
nairobi	naiɾoɓi
gerezani	ɠeɾezani
jumuiya	ʄumuija
maofisa	maofisa
mume	mume
uwezekano	uwezekano
dayosisi	ɗajosisi
habari	haɓaɾi
hivi	hivi
iringa	iɾinɡa
nje	nɟe
madaraka	maɗaɾaka
miji	miʄi
msemaji	msemaʄi
umuhimu	umuhimu
viti	viti
wengine	wenɡine
bahati	ɓahati
majeraha	maʄeɾaha
marufuku	maɾufuku
mtihani	mtihani
mwenzake	mwenzake
ofisini	ofisini
uokoaji	uokoaʄi
wakiwemo	wakiwemo
trump	tɾump
alifanya	alifaɲa
hatia	hatia
mchango	mt͡ʃanɡo
misaada	misaaɗa
mimi	mimi
mtendaji	mtendaʄi
taasisi	taasisi
zaidi	zaiɗi
jitihada	ʄitihaɗa
madhara	maðaɾa
makarani	makaɾani
takwimu	takwimu
ukumbi	ukumbi
ushindani	uʃindani
vikwazo	vikwazo
vyao	vjao
timu	timu
vijana	viʄana
kupigwa	kupiɠwa
sherehe	ʃeɾehe
kaimu	kaimu
kinondoni	kinondoni
amefariki	amefaɾiki
minne	minne
manispaa	manispaa
ndugai	nduɠai
somalia	somalia
kuandika	kuandika
kushoto	kuʃoto
majengo	maʄenɡo
nguo	nɡuo
yuko	juko
fedha	feða
uturuki	utuɾuki
bara	ɓaɾa
hasara	hasaɾa
maambukizi	maambukizi
daniel	ɗaniel
mfalme	mfalme
miongoni	mionɡoni
akiwemo	akiwemo
alieleza	alieleza
kidato	kiɗato
lao	lao
viwanja	viwanɟa
wanaendelea	wanaendelea
yale	jale
al	al
kyiv	kjiv
wageni	waɠeni
yule	jule
mpango	mpanɡo
furaha	fuɾaha
upasuaji	upasuaʄi
amedai	ameɗai
ijayo	iʄajo
kudai	kuɗai
maelfu	maelfu
vibaya	viɓaja
meneja	meneʄa
ziwa	ziwa
akaunti	akaunti
athari	aθaɾi
corona	coɾona
mikopo	mikopo
shaka	ʃaka
wadogo	waɗoɠo
yaani	jaani
zile	zile
ally	allj
kila	kila
kituo	kituo
macho	mat͡ʃo
majeshi	maʄeʃi
una	una
air	aiɾ
jenerali	ʄeneɾali
pwani	pwani
barabarani	ɓaɾaɓaɾani
ghasia	ɣasia
kudhibiti	kuðiɓiti
lebo	leɓo
nyaraka	ɲaɾaka
tawala	tawala
hivyo	hivjo
senegal	seneɠal
washington	waʃinɡton
kuua	kuua
tume	tume
upya	upja
kwanza	kwanza
london	london
precision	pɾecision
anataka	anataka
kuboresha	kuɓoɾeʃa
kufuata	kufuata
uhujumu	uhuʄumu
wahamiaji	wahamiaʄi
washirika	waʃiɾika
zangu	zanɡu
freeman	fɾeeman
ofisa	ofisa
aliwahi	aliwahi
harakati	haɾakati
kulinda	kulinda
uanachama	uanat͡ʃama
kidemokrasia	kiɗemokɾasia
sensa	sensa
victoria	victoɾia
bunduki	ɓunduki
dalili	ɗalili
kibinadamu	kiɓinaɗamu
kiwanda	kiwanda
kumi	kumi
kusimamia	kusimamia
maslahi	maslahi
shtaka	ʃtaka
swali	swali
alitangaza	alitanɡaza
dharura	ðaɾuɾa
hawezi	hawezi
kimoja	kimoʄa
kutetea	kutetea
mwanzo	mwanzo
uwanjani	uwanɟani
wazee	wazee
mali	mali
mmoja	mmoʄa
twitter	twitteɾ
awe	awe
kamili	kamili
kutokuwa	kutokuwa
kuvunja	kuvunɟa
mikono	mikono
vyanzo	vjanzo
boy	ɓoj
bodaboda	ɓoɗaɓoɗa
haja	haʄa
kichwa	kit͡ʃwa
kumpa	kumpa
kuzingatia	kuzinɡatia
mashirika	maʃiɾika
azam	azam
simon	simon
haina	haina
mitaa	mitaa
mkopo	mkopo
sare	saɾe
shuleni	ʃuleni
uharibifu	uhaɾiɓifu
ukame	ukame
ukosefu	ukosefu
uliopo	uliopo
vurugu	vuɾuɠu
waliofariki	waliofaɾiki
david	ɗaviɗ
huduma	huɗuma
lissu	lissu
shinyanga	ʃiɲanɡa
urusi	uɾusi
amri	amɾi
halafu	halafu
kimataifa	kimataifa
kupeleka	kupeleka
mapenzi	mapenzi
mkurugenzi	mkuɾuɠenzi
mlango	mlanɡo
rangi	ɾanɡi
utafiti	utafiti
ii	ii
iko	iko
kigeni	kiɠeni
mzima	mzima
ngoma	nɡoma
wanakabiliwa	wanakaɓiliwa
dhahabu	ðahaɓu
inasema	inasema
kujadili	kuʄaɗili
kumbukumbu	kumbukumbu
makali	makali
mbinu	mbinu
muungano	muunɡano
sekondari	sekondaɾi
uwepo	uwepo
hayo	hajo
hussein	hussein
said	saiɗ
kiapo	kiapo
kisasa	kisasa
kufa	kufa
kufungua	kufunɡua
kufungwa	kufunɡwa
utamaduni	utamaɗuni
afp	afp
manyara	maɲaɾa
mfanyabiashara	mfaɲaɓiaʃaɾa
reli	ɾeli
robo	ɾoɓo
wachache	wat͡ʃat͡ʃe
wingi	winɡi
kesi	kesi
tangu	tanɡu
anga	anɡa
baina	ɓaina
bajaji	ɓaʄaʄi
kukamilisha	kukamiliʃa
vyote	vjote
