flora,flɔra
rozważałaby,rɔzvaʐawabɨ
snopów,snɔpuf
wiernym,vjɛrnɨm
doskonałych,dɔskɔnawɨx
opiekuńczo,ɔpjɛkuɲt͡ʂɔ
obrotowi,ɔbrɔtɔvi
szereg,ʂɛrɛk
żelazostop,ʐɛlazɔstɔp
czeladź,t͡ʂɛlat͡ɕ
alkierz,alkjɛʂ
wymiarze,vɨmjaʐɛ
zanalizować,zanalizɔvat͡ɕ
odsetka,ɔtsɛtka
wolelibyście,vɔlɛlibɨɕt͡ɕɛ
dziewczyną,d͡ʑɛft͡ʂɨnɔw̃
przewrócić,pʂɛvrut͡ɕit͡ɕ
lulałaś,lulawaɕ
najpopularniej,najpɔpularɲɛj
barotropizm,barɔtrɔpizm
lipcowi,lipt͡sɔvi
hasać,xasat͡ɕ
krojony,krɔjɔnɨ
partykularny,partɨkularnɨ
zmocz,zmɔt͡ʂ
błonkówka,bwɔŋkufka
zdąbłarz,zdɔmbwaʂ
kopułowy,kɔpuwɔvɨ
bioterrorystyczny,bjɔtɛrrɔrɨstɨt͡ʂnɨ
rozmawiaj,rɔzmavjaj
opony,ɔpɔnɨ
rwało,rvawɔ
awangardowo,avaŋɡardɔvɔ
pisarewicz,pisarɛvit͡ʂ
epifaniczny,ɛpifaɲit͡ʂnɨ
lipką,lipkɔw̃
zgrubień,zɡrubjɛɲ
obwiatyw,ɔbvjatɨf
zapala,zapala
napowietrzający,napɔvjɛtʂajɔnt͡sɨ
nadsunięcie,natsuɲɛɲt͡ɕɛ
kocisko,kɔt͡ɕiskɔ
kowariancjom,kɔvarjant͡sjɔm
pawłucki,pavwut͡ski
stroje,strɔjɛ
dziunia,d͡ʑuɲa
anortytowy,anɔrtɨtɔvɨ
pupą,pupɔw̃
śniony,ɕɲɔnɨ
alternatywnie,altɛrnatɨvɲɛ
denko,dɛŋkɔ
organizowałyśmy,ɔrɡaɲizɔvawɨɕmɨ
samarytański,samarɨtaɲski
gwaro,ɡvarɔ
dwie,dvjɛ
masakra,masakra
taro,tarɔ
kierowniczek,kjɛrɔvɲit͡ʂɛk
moralniej,mɔralɲɛj
połowinki,pɔwɔviŋki
radosnego,radɔsnɛɡɔ
obiec,ɔbjɛt͡s
śreżoga,ɕrɛʐɔɡa
postąp,pɔstɔmp
niegodzien,ɲɛɡɔd͡ʑɛn
niekorzystnie,ɲɛkɔʐɨstɲɛ
okcydent,ɔkt͡sɨdɛnt
podopieczny,pɔdɔpjɛt͡ʂnɨ
brezent,brɛzɛnt
obsychać,ɔpsɨxat͡ɕ
otyły,ɔtɨwɨ
przyganiać,pʂɨɡaɲat͡ɕ
zarzutka,zaʐutka
wierzganie,vjɛʐɡaɲɛ
złotami,zwɔtami
pizgać,pizɡat͡ɕ
zegarek,zɛɡarɛk
swej,sfɛj
zapewnialiście,zapɛvɲaliɕt͡ɕɛ
bezkastowy,bɛskastɔvɨ
zbyteczny,zbɨtɛt͡ʂnɨ
łosza,wɔʂa
gniezno,ɡɲɛznɔ
skopimy,skɔpimɨ
bledszy,blɛtʂɨ
kolacyjny,kɔlat͡sɨjnɨ
zębik,zɛmbik
trawach,travax
libańskich,libaɲskix
macintosh,makintɔʂ
mówiłabym,muviwabɨm
kadzioch,kad͡ʑɔx
skiń,skiɲ
dziali,d͡ʑali
małpeczko,mawpɛt͡ʂkɔ
szynkowski,ʂɨŋkɔfski
cieniuteczki,t͡ɕɛɲutɛt͡ʂki
warką,varkɔw̃
potoń,pɔtɔɲ
płatała,pwatawa
mielcarzewicz,mjɛlt͡saʐɛvit͡ʂ
żre,ʐrɛ
łopian,wɔpjan
wieszczyć,vjɛʂt͡ʂɨt͡ɕ
zamierzchły,zamjɛʂxwɨ
glans,ɡlans
zaabsorbowaniem,zaapsɔrbɔvaɲɛm
poganiacz,pɔɡaɲat͡ʂ
eksmitować,ɛksmitɔvat͡ɕ
ośkiewicz,ɔɕkjɛvit͡ʂ
uwielbiajmy,uvjɛlbjajmɨ
cipkę,t͡ɕipkɛ
przesadny,pʂɛsadnɨ
zlep,zlɛp
paduch,padux
oglądający,ɔɡlɔndajɔnt͡sɨ
dropiach,drɔpjax
implozjami,implɔzjami
brednia,brɛdɲa
konkuruję,kɔŋkurujɛ
barciach,bart͡ɕax
zagrywka,zaɡrɨfka
bluzgnąć,bluzɡnɔɲt͡ɕ
paruzja,paruzja
przekornik,pʂɛkɔrɲik
siarka,ɕarka
falęta,falɛnta
zaangażowania,zaaŋɡaʐɔvaɲa
smyk,smɨk
przeciwdepresyjnie,pʂɛt͡ɕivdɛprɛsɨjɲɛ
szczęściara,ʂt͡ʂɛɲɕt͡ɕara
hazardzistka,xazard͡ʑistka
skopiło,skɔpiwɔ
pełnokrwisty,pɛwnɔkrfistɨ
zadura,zadura
użyźnianie,uʐɨʑɲaɲɛ
ochrypły,ɔxrɨpwɨ
gotówkowy,ɡɔtufkɔvɨ
kontrować,kɔntrɔvat͡ɕ
tańsi,taɲɕi
nanosekunda,nanɔsɛkunda
admirale,admiralɛ
zdubbingowawszy,zdabiŋɡɔvafʂɨ
chinina,xiɲina
sławię,swavjɛ
wykałaczką,vɨkawat͡ʂkɔw̃
umiejscowić,umjɛjst͡sɔvit͡ɕ
parafiami,parafjami
odwiedzała,ɔdvjɛd͡zawa
zdroworozsądkowy,zdrɔvɔrɔssɔntkɔvɨ
górce,ɡurt͡sɛ
strąkom,strɔŋkɔm
przyskrzynić,pʂɨskʂɨɲit͡ɕ
krempeć,krɛmpɛt͡ɕ
lutomiersk,lutɔmjɛrsk
starłbym,starwbɨm
karierka,karjɛrka
przedłużek,pʂɛdwuʐɛk
giemza,ɡjɛmza
luci,lut͡ɕi
najcienistszy,najt͡ɕɛɲistʂɨ
gubała,ɡubawa
wąchasz,vɔw̃xaʂ
okład,ɔkwat
milan,milan
rumuńskiego,rumuɲskjɛɡɔ
paella,paɛja
lisiej,liɕɛj
uznam,uznam
zagraniczny,zaɡraɲit͡ʂnɨ
bajarz,bajaʂ
sprzątałam,spʂɔntawam
cieniom,t͡ɕɛɲɔm
pleszczotkami,plɛʂt͡ʂɔtkami
dostępować,dɔstɛmpɔvat͡ɕ
papierosom,papjɛrɔsɔm
nasiąknięcie,naɕɔŋkɲɛɲt͡ɕɛ
śnięta,ɕɲɛnta
świetlistość,ɕfjɛtlistɔɕt͡ɕ
towarzyszyć,tɔvaʐɨʂɨt͡ɕ
trwale,trfalɛ
należny,nalɛʐnɨ
nudności,nudnɔɕt͡ɕi
bzyczenie,bzɨt͡ʂɛɲɛ
podziwianie,pɔd͡ʑivjaɲɛ
peryheliom,pɛrɨxɛljɔm
precedens,prɛt͡sɛdɛns
gągol,ɡɔŋɡɔl
wysychać,vɨsɨxat͡ɕ
motylom,mɔtɨlɔm
zabijający,zabijajɔnt͡sɨ
kuplować,kuplɔvat͡ɕ
nakazać,nakazat͡ɕ
nadziąślak,nad͡ʑɔɲɕlak
zapaleniec,zapalɛɲɛt͡s
ładowarki,wadɔvarki
żyłeczka,ʐɨwɛt͡ʂka
arabską,arapskɔw̃
założę,zawɔʐɛ
łzę,wzɛ
wagary,vaɡarɨ
niemieckiej,ɲɛmjɛt͡skjɛj
abstynencie,apstɨnɛnt͡ɕɛ
smutnym,smutnɨm
ignorowałybyśmy,iɡnɔrɔvawɨbɨɕmɨ
siks,ɕiks
wpływamy,fpwɨvamɨ
repolonizacja,rɛpɔlɔɲizat͡sja
papistka,papistka
roślinkom,rɔɕliŋkɔm
bawią,bavjɔw̃
rajmund,rajmunt
turkmeńsku,turkmɛɲsku
sportom,spɔrtɔm
luksusowy,luksusɔvɨ
cierpnąć,t͡ɕɛrpnɔɲt͡ɕ
malarski,malarski
pospieszniej,pɔspjɛʂɲɛj
insekt,insɛkt
przykładek,pr̝ɨkɫadɛk
karej,karɛj
wyciosać,vɨt͡ɕɔsat͡ɕ
polówka,pɔlufka
grawerowała,ɡravɛrɔvawa
wiekiem,vjɛkjɛm
sequel,sikwɛl
demontował,dɛmɔntɔvaw
maksimum,maksimum
zleceniu,zlɛt͡sɛɲu
mniam,mɲam
gnoju,ɡnɔju
guździoł,ɡuʑd͡ʑɔw
zamówiny,zamuvinɨ
szasta,ʂasta
wałkach,vawkax
werandka,vɛrantka
siedemdziesiąt,ɕɛdɛmd͡ʑɛɕɔnt
smętnymi,smɛntnɨmi
frątczak,frɔntt͡ʂak
kołoch,kɔwɔx
lepka,lɛpka
esemes,ɛsɛmɛs
krążek,krɔw̃ʐɛk
delikatność,dɛlikatnɔɕt͡ɕ
nieplanowo,ɲɛplanɔvɔ
bohenek,bɔxɛnɛk
najatrakcyjniejszy,najatrakt͡sɨjɲɛjʂɨ
balowanie,balɔvaɲɛ
potrzebują,pɔtʂɛbujɔw̃
funkcje,fuŋkt͡sjɛ
aktynometr,aktɨnɔmɛtr
latom,latɔm
korekta,kɔrɛkta
zmasakrować,zmasakrɔvat͡ɕ
łóżmy,wuʐmɨ
ogrodowicz,ɔɡrɔdɔvit͡ʂ
śpiące,ɕpjɔnt͡sɛ
zmyty,zmɨtɨ
zakup,zakup
przeboleć,pʂɛbɔlɛt͡ɕ
angeliczny,aŋɡɛlit͡ʂnɨ
rzepiel,ʐɛpjɛl
membrana,mɛmbrana
twórcom,tfurt͡sɔm
belczewska,bɛlt͡ʂɛfska
piżamka,piʐamka
plewo,plɛvɔ
klimatologia,klimatɔlɔɡja
zostawiłem,zɔstaviwɛm
czułej,t͡ʂuwɛj
karemu,karɛmu
truteń,trutɛɲ
skalowanie,skalɔvaɲɛ
wolczyk,vɔlt͡ʂɨk
boczniewicz,bɔt͡ʂɲɛvit͡ʂ
rzęsistszego,ʐɛɲɕistʂɛɡɔ
milinkiewicz,miliŋkjɛvit͡ʂ
dziewiętnastej,d͡ʑɛvjɛntnastɛj
albański,albaɲski
salina,salina
gwardzista,ɡvard͡ʑista
aukcjach,awkt͡sjax
marian,marjan
medyka,mɛdɨka
abstrakcję,apstrakt͡sjɛ
aporter,apɔrtɛr
histeryczny,xistɛrɨt͡ʂnɨ
zapalony,zapalɔnɨ
następowanie,nastɛmpɔvaɲɛ
sankiewicz,saŋkjɛvit͡ʂ
paco,pat͡sɔ
ruina,ruina
aplikowanie,aplikɔvaɲɛ
okroję,ɔkrɔjɛ
pierdoleniem,pjɛrdɔlɛɲɛm
cieciach,t͡ɕɛt͡ɕax
grześków,ɡʐɛɕkuf
dumały,dumawɨ
ścierając,ɕt͡ɕɛrajɔnt͡s
nerze,nɛʐɛ
najbłyskotniejszy,najbwɨskɔtɲɛjʂɨ
suriekcyj,surjɛkt͡sɨj
rzymska,ʐɨmska
ostrzega,ɔstʂɛɡa
bychowiec,bɨxɔvjɛt͡s
biotechnolog,bjɔtɛxnɔlɔk
pląs,plɔw̃s
mówmy,muvmɨ
anachoreta,anaxɔrɛta
legły,lɛɡwɨ
ściągało,ɕt͡ɕɔŋɡawɔ
słuchaliście,swuxaliɕt͡ɕɛ
bezwyjątkowy,bɛzvɨjɔntkɔvɨ
pięciokrotny,pjɛɲt͡ɕɔkrɔtnɨ
cieplne,t͡ɕɛplnɛ
automasaż,awtɔmasaʂ
wódkom,vutkɔm
zetrzemy,zɛtʂɛmɨ
tatuujmy,tatuujmɨ
głębio,ɡwɛmbjɔ
demkowicz,dɛmkɔvit͡ʂ
przypominałem,pʂɨpɔminawɛm
trudnej,trudnɛj
gnatach,ɡnatax
jojo,jɔjɔ
ukuci,ukut͡ɕi
prostytutce,prɔstɨtutt͡sɛ
leokadia,lɛɔkadja
rozglądanie,rɔzɡlɔndaɲɛ
henoteizm,xɛnɔtɛizm
najnowszy,najnɔfʂɨ
epicentra,ɛpit͡sɛntra
znalezieniu,znalɛʑɛɲu
bawarczyk,bavart͡ʂɨk
portwajn,pɔrtfajn
zlecić,zlɛt͡ɕit͡ɕ
krośnie,krɔɕɲɛ
amid,amit
uczesać,ut͡ʂɛsat͡ɕ
doniczki,dɔɲit͡ʂki
składalność,skwadalnɔɕt͡ɕ
koniecpolski,kɔɲɛt͡spɔlski
pokładać,pɔkwadat͡ɕ
rabach,rabax
programowałaś,prɔɡramɔvawaɕ
degustacja,dɛɡustat͡sja
łachotać,waxɔtat͡ɕ
zarozumiały,zarɔzumjawɨ
uwieść,uvjɛɕt͡ɕ
sanmaryńczyk,sanmarɨɲt͡ʂɨk
autolizować,awtɔlizɔvat͡ɕ
mironowicz,mirɔnɔvit͡ʂ
szantażowały,ʂantaʐɔvawɨ
misyj,misɨj
zagrają,zaɡrajɔw̃
jagodziński,jaɡɔd͡ʑiɲski
biesiadka,bjɛɕatka
wątrobowiec,vɔntrɔbɔvjɛt͡s
zatybrzański,zatɨbʐaɲski
prywatyzować,prɨvatɨzɔvat͡ɕ
kasła,kaswa
argentyńskie,arɡɛntɨɲskjɛ
wywłaszczyć,vɨvwaʂt͡ʂɨt͡ɕ
bakalorz,bakalɔʂ
psynek,psɨnɛk
łabędzia,wabɛɲd͡ʑa
biathlonistka,biatlɔɲistka
fryga,frɨɡa
przywrę,pʂɨvrɛ
szerszy,ʂɛrʂɨ
sarnami,sarnami
przedostatniego,pʂɛdɔstatɲɛɡɔ
czerkas,t͡ʂɛrkas
indonezyjczyków,indɔnɛzɨjt͡ʂɨkuf
antyżydowski,antɨʐɨdɔfski
koloniach,kɔlɔɲjax
numer,numɛr
łożą,wɔʐɔw̃
mawiam,mavjam
zmienianie,zmjɛɲaɲɛ
łagodnych,waɡɔdnɨx
terapij,tɛrapij
antagonistyczny,antaɡɔɲistɨt͡ʂnɨ
genio,ɡɛɲɔ
przesadzajcie,pʂɛsad͡zajt͡ɕɛ
kuni,kuɲi
atakować,atakɔvat͡ɕ
liswarta,lisfarta
przezwisko,pʂɛzviskɔ
brzaną,bʐanɔw̃
szlachetniej,ʂlaxɛtɲɛj
zapomina,zapɔmina
zakochane,zakɔxanɛ
kichałyście,kixawɨɕt͡ɕɛ
kieszeni,kjɛʂɛɲi
szklistość,ʂklistɔɕt͡ɕ
wyziewać,vɨʑɛvat͡ɕ
monopolowy,mɔnɔpɔlɔvɨ
intoksykacja,intɔksɨkat͡sja
nadeszło,nadɛʂwɔ
przepraszające,pʂɛpraʂajɔnt͡sɛ
miniaturyzować,miɲaturɨzɔvat͡ɕ
abstynentom,apstɨnɛntɔm
siew,ɕɛf
żarkiewicz,ʐarkjɛvit͡ʂ
siądę,ɕɔndɛ
oknom,ɔknɔm
gwarze,ɡvaʐɛ
rysowalibyście,rɨsɔvalibɨɕt͡ɕɛ
azerbejdżańskimi,azɛrbɛjd͡ʐaɲskimi
odpowiadały,ɔtpɔvjadawɨ
jawni,javɲi
alleluja,allɛluja
niechrześcijański,ɲɛxʂɛɕt͡ɕijaɲski
zdubbingowałbyś,zdabiŋɡɔvawbɨɕ
wszeteczniejszy,fʂɛtɛt͡ʂɲɛjʂɨ
wypior,vɨpjɔr
płyną,pwɨnɔw̃
telomer,tɛlɔmɛr
podejrzewają,pɔdɛjʐɛvajɔw̃
domokrążca,dɔmɔkrɔw̃ʂt͡sa
żbicze,ʐbit͡ʂɛ
wrzoł,vʐɔw
oświetlałabym,ɔɕfjɛtlawabɨm
uchybiać,uxɨbjat͡ɕ
pustkę,pustkɛ
grodzisz,ɡrɔd͡ʑiʂ
mazaki,mazaki
jeżoryb,jɛʐɔrɨp
skrzynce,skʂɨnt͡sɛ
eweńska,ɛvɛɲska
islamizacja,islamizat͡sja
profesora,prɔfɛsɔra
mięczak,mjɛnt͡ʂak
pomniejszy,pɔmɲɛjʂɨ
trzęsawisko,tʂɛw̃saviskɔ
zjesz,zjɛʂ
generalia,ɡɛnɛralja
kiszek,kiʂɛk
polech,pɔlɛx
mikroskopijny,mikrɔskɔpijnɨ
sinior,ɕiɲɔr
agroturysta,aɡrɔturɨsta
zapasać,zapasat͡ɕ
sinus,sinus
melchizedek,mɛlxizɛdɛk
dziczą,d͡ʑit͡ʂɔw̃
maskowane,maskɔvanɛ
szejkanat,ʂɛjkanat
cenimy,t͡sɛɲimɨ
zerami,zɛrami
skuterek,skutɛrɛk
formułująca,fɔrmuwujɔnt͡sa
bankrutowałybyście,baŋkrutɔvawɨbɨɕt͡ɕɛ
chowały,xɔvawɨ
kochająca,kɔxajɔnt͡sa
rozwodnik,rɔzvɔdɲik
czekamy,t͡ʂɛkamɨ
gitarom,ɡitarɔm
kępkom,kɛmpkɔm
akrobatyczny,akrɔbatɨt͡ʂnɨ
nazwiskami,nazviskami
kambium,kambjum
bazię,baʑɛ
czeczeńcu,t͡ʂɛt͡ʂɛɲt͡su
zerwę,zɛrvɛ
lubienie,lubjɛɲɛ
osiedle,ɔɕɛdlɛ
trąbić,trɔmbit͡ɕ
lirycznie,lirɨt͡ʂɲɛ
rubaj,rubaj
żagiew,ʐaɡjɛf
gostynin,ɡɔstɨɲin
szmalc,ʂmalt͡s
przezroczystej,pʂɛzrɔt͡ʂɨstɛj
odczucie,ɔtt͡ʂut͡ɕɛ
tupią,tupjɔw̃
reklamowaliby,rɛklamɔvalibɨ
wykupić,vɨkupit͡ɕ
rosochę,rɔsɔxɛ
cudzich,t͡sud͡ʑix
requiem,rɛkfiɛm
budowałeś,budɔvawɛɕ
punktowi,puŋktɔvi
dennej,dɛnnɛj
gawryś,ɡavrɨɕ
pontonowy,pɔntɔnɔvɨ
niesymetryczność,ɲɛsɨmɛtrɨt͡ʂnɔɕt͡ɕ
nieprzemakalny,ɲɛpʂɛmakalnɨ
pokroją,pɔkrɔjɔw̃
absolwentko,apsɔlvɛntkɔ
coleslaw,kɔlslɔw
azerbejdżańskie,azɛrbɛjd͡ʐaɲskjɛ
kolanem,kɔlanɛm
lombard,lɔmbart
niewolić,ɲɛvɔlit͡ɕ
bohemistyka,bɔxɛmistɨka
obrażałabyś,ɔbraʐawabɨɕ
dajecie,dajɛt͡ɕɛ
dziecięcymi,d͡ʑɛt͡ɕɛnt͡sɨmi
wleźć,vlɛɕt͡ɕ
dziecięce,d͡ʑɛt͡ɕɛnt͡sɛ
gro,ɡrɔ
norze,nɔʐɛ
strwożenie,strfɔʐɛɲɛ
tęskno,tɛw̃sknɔ
mandaryński,mandarɨɲski
lobby,lɔbbɨ
piosenkom,pjɔsɛŋkɔm
nurom,nurɔm
ciupię,t͡ɕupjɛ
drwami,drvami
ryb,rɨp
bawimy,bavimɨ
wyniknąć,vɨɲiknɔɲt͡ɕ
implantować,implantɔvat͡ɕ
blankizm,blaŋkizm
borsuczy,bɔrsut͡ʂɨ
trwalibyście,trfalibɨɕt͡ɕɛ
łapa,wapa
skorupka,skɔrupka
przała,pʂawa
taboret,tabɔrɛt
jędruszczak,jɛndruʂt͡ʂak
uaktualniać,uaktualɲat͡ɕ
wasabi,wasabi
każdemu,kaʐdɛmu
naftalen,naftalɛn
niechać,ɲɛxat͡ɕ
akwawita,akfavita
dominika,dɔmiɲika
etnograf,ɛtnɔɡraf
poranną,pɔrannɔw̃
miodosytnictwo,mjɔdɔsɨtɲit͡stfɔ
oglądałybyście,ɔɡlɔndawɨbɨɕt͡ɕɛ
tatuuję,tatuujɛ
mącznica,mɔnt͡ʂɲit͡sa
zacofanie,zat͡sɔfaɲɛ
nabić,nabit͡ɕ
zatopienie,zatɔpjɛɲɛ
nabuzowany,nabuzɔvanɨ
wado,vadɔ
byszkiewicz,bɨʂkjɛvit͡ʂ
pieniążkiewicz,pjɛɲɔw̃ʂkjɛvit͡ʂ
przemóc,pʂɛmut͡s
krwistych,krfistɨx
outlet,awtlɛt
jednać,jɛdnat͡ɕ
homoseksualnych,xɔmɔsɛksualnɨx
koptyjska,kɔptɨjska
limburskiemu,limburskjɛmu
paczkom,pat͡ʂkɔm
bielę,bjɛlɛ
świetne,ɕfjɛtnɛ
kapitan,kapitan
kompromis,kɔmprɔmis
dud,dut
liźnięcie,liʑɲɛɲt͡ɕɛ
roztargnienie,rɔstarɡɲɛɲɛ
złotym,zwɔtɨm
opisowo,ɔpisɔvɔ
według,vɛdwuk
czyści,t͡ʂɨɕt͡ɕi
złośnica,zwɔɕɲit͡sa
hakować,xakɔvat͡ɕ
kicior,kit͡ɕɔr
masturbowałoby,masturbɔvawɔbɨ
rutkowski,rutkɔfski
goiło,ɡɔiwɔ
tłuścioch,twuɕt͡ɕɔx
kucab,kut͡sap
najszczytniejszy,najʂt͡ʂɨtɲɛjʂɨ
galopowałeś,ɡalɔpɔvawɛɕ
fotometr,fɔtɔmɛtr
wyznawać,vɨznavat͡ɕ
trwałybyśmy,trfawɨbɨɕmɨ
znamiec,znamjɛt͡s
piędzi,pjɛɲd͡ʑi
czarnogórskiej,t͡ʂarnɔɡurskjɛj
nowator,nɔvatɔr
warom,varɔm
spencer,spɛnt͡sɛr
rodzicielski,rɔd͡ʑit͡ɕɛlski
lebiega,lɛbjɛɡa
tracewicz,trat͡sɛvit͡ʂ
bukujecie,bukujɛt͡ɕɛ
knysz,knɨʂ
emeryturka,ɛmɛrɨturka
breżniewowski,brɛʐɲɛvɔfski
kaczuszka,kat͡ʂuʂka
zginacz,zɡinat͡ʂ
prawdopodobni,pravdɔpɔdɔbɲi
zmokniecie,zmɔkɲɛt͡ɕɛ
dystansować,dɨstansɔvat͡ɕ
gruszeczki,ɡruʂɛt͡ʂki
ukopanie,ukɔpaɲɛ
sierpni,ɕɛrpɲi
aleksja,alɛksja
zadami,zadami
pieluszki,pjɛluʂki
kolędować,kɔlɛndɔvat͡ɕ
dotoczyć,dɔtɔt͡ʂɨt͡ɕ
fatalistach,fatalistax
popołudniowy,pɔpɔwudɲɔvɨ
koszy,kɔʂɨ
kozarowicz,kɔzarɔvit͡ʂ
abisyńskie,abisɨɲskjɛ
parzystokopytne,paʐɨstɔkɔpɨtnɛ
zabrudzać,zabrud͡zat͡ɕ
łapeć,wapɛt͡ɕ
spowiedzieć,spɔvjɛd͡ʑɛt͡ɕ
kazanie,kazaɲɛ
rozjedź,rɔzjɛt͡ɕ
fidżi,fid͡ʐi
zamroz,zamrɔs
krzesłami,kʂɛswami
miga,miɡa
odśnieżarka,ɔtɕɲɛʐarka
tureckim,turɛt͡skim
kiwam,kivam
zewidencjonować,zɛvidɛnt͡sjɔnɔvat͡ɕ
małpeczka,mawpɛt͡ʂka
litosnemu,litɔsnɛmu
garnizon,ɡarɲizɔn
lokalny,lɔkalnɨ
gorące,ɡɔrɔnt͡sɛ
należną,nalɛʐnɔw̃
palajscy,palajst͡sɨ
czaja,t͡ʂaja
panami,panami
ustka,ustka
kłuli,kwuli
czterdzieści,t͡ʂtɛrd͡ʑɛɕt͡ɕi
student,studɛnt
ofuknąć,ɔfuknɔɲt͡ɕ
komć,kɔmt͡ɕ
płowi,pwɔvi
chile,t͡ʂilɛ
białoruska,bjawɔruska
najedź,najɛt͡ɕ
egoista,ɛɡɔista
widuch,vidux
uparła,uparwa
dawane,davanɛ
słońcu,swɔɲt͡su
ręby,rɛmbɨ
acydofilny,at͡sɨdɔfilnɨ
udarty,udartɨ
ważce,vaʂt͡sɛ
wigwam,viɡvam
odpoczywające,ɔtpɔt͡ʂɨvajɔnt͡sɛ
wafelek,vafɛlɛk
modrzej,mɔdʐɛj
papieroskiem,papjɛrɔskjɛm
bezpośredniość,bɛspɔɕrɛdɲɔɕt͡ɕ
kuciej,kut͡ɕɛj
antyferroelektryczny,antɨfɛrrɔɛlɛktrɨt͡ʂnɨ
orało,ɔrawɔ
szufladkować,ʂuflatkɔvat͡ɕ
przejawić,pʂɛjavit͡ɕ
wygodny,vɨɡɔdnɨ
grądom,ɡrɔndɔm
dmuchałybyśmy,dmuxawɨbɨɕmɨ
ruszajcie,ruʂajt͡ɕɛ
kuciejczyk,kut͡ɕɛjt͡ʂɨk
usmażenie,usmaʐɛɲɛ
tajwan,tajvan
tartej,tartɛj
ciepło,t͡ɕɛpwɔ
arsenowy,arsɛnɔvɨ
słyszycie,swɨʂɨt͡ɕɛ
potempa,pɔtɛmpa
słońcem,swɔɲt͡sɛm
konwertyta,kɔnvɛrtɨta
łamane,wamanɛ
oddychałyby,ɔddɨxawɨbɨ
mędrszego,mɛntrʂɛɡɔ
wygrzebanie,vɨɡʐɛbaɲɛ
antologista,antɔlɔɡista
ładują,wadujɔw̃
austriackiej,awstrjat͡skjɛj
pęcznieć,pɛnt͡ʂɲɛt͡ɕ
umniejszać,umɲɛjʂat͡ɕ
tętnie,tɛntɲɛ
gddkia,ɡɛdɛdɛkaia
cenicie,t͡sɛɲit͡ɕɛ
podziwiamy,pɔd͡ʑivjamɨ
łapiemy,wapjɛmɨ
doniczkami,dɔɲit͡ʂkami
przypowiedzenie,pʂɨpɔvjɛd͡zɛɲɛ
potrwa,pɔtrfa
oblec,ɔblɛt͡s
wami,vami
widłonóg,vidwɔnuk
infraczerwony,infrat͡ʂɛrvɔnɨ
gwatemalską,ɡvatɛmalskɔw̃
przedmowny,pʂɛdmɔvnɨ
