くろかみ,kɯ̟ᵝɾo̞ka̠mʲi
あけくれる,a̠ke̞kɯ̟ᵝɾe̞ɾɯ̟ᵝ
げんじゅう,ɡẽ̞ɲ̟d͡ʑɨᵝː
ざぞう,d͡za̠zo̞ː
かばん,ka̠bã̠ɴ
えんちょう,ẽ̞ɲ̟t͡ɕo̞ː
しのだ,ɕino̞da̠
ざる,d͡za̠ɾɯ̟ᵝ
こくたい,ko̞kɯ̟̊ᵝta̠i
じろう,d͡ʑiɾo̞ː
おいはらう,o̞iha̠ɾa̠ɯ̟ᵝ
かんせん,kã̠ɰ̃sẽ̞ɴ
うるち,ɯ̟ᵝɾɯ̟ᵝt͡ɕi
あのひとたち,a̠no̞çi̥to̞ta̠t͡ɕi
しんごう,ɕĩŋɡo̞ː
こうげん,ko̞ːɡẽ̞ɴ
かみころす,ka̠mʲiko̞ɾo̞sɨᵝ
こがら,ko̞ɡa̠ɾa̠
しさ,ɕisa̠
せいぎょう,se̞ːɡʲo̞ː
かたかな,ka̠ta̠ka̠na̠
はるご,ha̠ɾɯ̟ᵝɡo̞
しょうぶ,ɕo̞ːbɯ̟ᵝ
じょうたい,d͡ʑo̞ːta̠i
かかん,ka̠kã̠ɴ
あしゅう,a̠ɕɨᵝː
かなくそ,ka̠na̠kɯ̟ᵝso̞
あちゃあ,a̠t͡ɕa̠ː
あらめ,a̠ɾa̠me̞
えんじる,ẽ̞ɲ̟d͡ʑiɾɯ̟ᵝ
あんないしょ,ã̠nːa̠iɕo̞
いっていすう,it̚te̞ːsɨᵝː
こうが,ko̞ːɡa̠
こくはく,ko̞kɯ̟̊ᵝha̠kɯ̟ᵝ
きんき,kʲĩŋʲkʲi
じんば,d͡ʑĩmba̠
さんだつ,sã̠nda̠t͡sɨᵝ
うえはら,ɯ̟ᵝe̞ha̠ɾa̠
しゅうしけい,ɕɨᵝːɕi̥ke̞ː
かきゅうてき,ka̠kʲɨᵝːte̞kʲi
さるかん,sa̠ɾɯ̟ᵝkã̠ɴ
きりとる,kʲiɾʲito̞ɾɯ̟ᵝ
したしゃ,ɕita̠ɕa̠
いんせき,ĩɰ̃se̞kʲi
くじら,kɯ̟ᵝʑiɾa̠
しょくべに,ɕo̞kɯ̟ᵝbe̞ɲ̟i
ごしんじゅつ,ɡo̞ɕĩɲ̟d͡ʑɨᵝt͡sɨᵝ
しゃしゅつ,ɕa̠ɕɨᵝt͡sɨᵝ
きんしょう,kʲĩɰ̃ɕo̞ː
こくりつ,ko̞kɯ̟ᵝɾʲit͡sɨᵝ
あっさつ,a̠sːa̠t͡sɨᵝ
よごれる,jo̞ɡo̞ɾe̞ɾɯ̟ᵝ
くちどめりょう,kɯ̟ᵝt͡ɕido̞me̞ɾʲo̞ː
うとましい,ɯ̟ᵝto̞ma̠ɕiː
しゅうぞう,ɕɨᵝːzo̞ː
くまねずみ,kɯ̟ᵝma̠ne̞zɨᵝmʲi
かち,ka̠t͡ɕi
さけぶ,sa̠ke̞bɯ̟ᵝ
しゅくしゅく,ɕɨᵝkɯ̟ᵝɕɨᵝkɯ̟ᵝ
こうこう,ko̞ːko̞ː
しえんかたんそ,ɕiẽ̞ŋka̠tã̠ɰ̃so̞
くちる,kɯ̟ᵝt͡ɕiɾɯ̟ᵝ
げんば,ɡẽ̞mba̠
こうごう,ko̞ːɡo̞ː
いちくら,ɕi
かん,kã̠ɴ
さんぜん,sã̠nd͡zẽ̞ɴ
こうさい,ko̞ːsa̠i
しこむ,ɕi̥ko̞mɯ̟ᵝ
じしょう,d͡ʑiɕo̞ː
うらがえす,ɯ̟ᵝɾa̠ɡa̠e̞sɨᵝ
あしゅ,a̠ɕɨᵝ
ぎょうぎょうしい,ɡʲo̞ːɡʲo̞ːɕiː
いきぬき,ikʲinɯ̟ᵝkʲi
いしょく,iɕo̞kɯ̟ᵝ
さいかい,sa̠ika̠i
きら,kʲiɾa̠
うちくび,ɯ̟ᵝt͡ɕikɯ̟ᵝbʲi
かま,ka̠ma̠
かさい,ka̠sa̠i
かまい,ka̠ma̠i
しめきり,ɕime̞kʲiɾʲi
うわづみ,ɯ̟ᵝɰᵝa̠zɨᵝmʲi
じょうせい,d͡ʑo̞ːse̞ː
あき,a̠kʲi
あふ,a̠ɸɯ̟ᵝ
しょうしゅうへい,ɕo̞ːɕɨᵝːhe̞ː
いたす,ita̠sɨᵝ
かいこう,ka̠iko̞ː
しんちょう,ɕĩɲ̟t͡ɕo̞ː
しはい,ɕiha̠i
きねんぶつ,kʲinẽ̞mbɯ̟ᵝt͡sɨᵝ
こうえん,ko̞ːẽ̞ɴ
かい,ka̠i
しつ,ɕit͡sɨᵝ
しろまめ,ɕiɾo̞ma̠me̞
がいようらん,ɡa̠ijo̞ːɾã̠ɴ
おちんちん,o̞t͡ɕĩɲ̟t͡ɕĩɴ
きょうちょう,kʲo̞ːt͡ɕo̞ː
あいこう,a̠iko̞ː
きょぜつ,kʲo̞ze̞t͡sɨᵝ
じゅんじょ,d͡ʑɨ̃ᵝɲ̟d͡ʑo̞
じょきょく,d͡ʑo̞kʲo̞kɯ̟ᵝ
とんぼ,tõ̞mbo̞
ごねどく,ɡo̞ne̞do̞kɯ̟ᵝ
じぎ,d͡ʑiɡʲi
しろあり,ɕiɾo̞a̠ɾʲi
みみあか,mʲimʲia̠ka̠
こない,ko̞na̠i
かんたん,kã̠ntã̠ɴ
うかれる,ɯ̟ᵝka̠ɾe̞ɾɯ̟ᵝ
きち,kʲit͡ɕi
おさななじみ,o̞sa̠na̠na̠ʑimʲi
しょうこ,ɕo̞ːko̞
おなべ,o̞na̠be̞
がいしゅつ,ɡa̠iɕɨᵝt͡sɨᵝ
こうけつ,ko̞ːke̞t͡sɨᵝ
くうかん,kɯ̟ᵝːkã̠ɴ
ざっとう,d͡za̠t̚to̞ː
けいご,ke̞ːɡo̞
くさかべ,kɯ̟ᵝsa̠ka̠be̞
くまきち,kɯ̟ᵝma̠kʲit͡ɕi
さいたまけん,sa̠ita̠ma̠kẽ̞ɴ
うし,ɯ̟ᵝɕi
じっすう,d͡ʑisːɯ̟ᵝː
あらて,a̠ɾa̠te̞
おおしけ,o̞ːɕike̞
しゅくえん,ɕɨᵝkɯ̟ᵝẽ̞ɴ
きとく,kʲito̞kɯ̟ᵝ
じげん,d͡ʑiɡẽ̞ɴ
えんだん,ẽ̞ndã̠ɴ
じんどる,d͡ʑĩndo̞ɾɯ̟ᵝ
かんしょう,kã̠ɰ̃ɕo̞ː
かかる,ka̠ka̠ɾɯ̟ᵝ
しょうさん,ɕo̞ːsã̠ɴ
きちじ,kʲit͡ɕiʑi
さくぶん,sa̠kɯ̟ᵝbɯ̟̃ᵝɴ
しゅうどうし,ɕɨᵝːdo̞ːɕi
かちこみ,ka̠t͡ɕiko̞mʲi
がいあく,ɡa̠ia̠kɯ̟ᵝ
あまみや,a̠ma̠mʲija̠
しゅっぱんぶつ,ɕɨᵝp̚pã̠mbɯ̟ᵝt͡sɨᵝ
げっこう,ɡe̞k̚ko̞ː
けり,ke̞ɾʲi
ごぼごぼ,ɡo̞bo̞ɡo̞bo̞
かじばどろぼう,ka̠ʑiba̠do̞ɾo̞bo̞ː
かんめい,kã̠mːe̞ː
ごしんよう,ɡo̞ɕĩɰ̃jo̞ː
きしゅつ,kʲiɕɨᵝt͡sɨᵝ
ぎょじん,ɡʲo̞ʑĩɴ
じょもう,d͡ʑo̞mo̞ː
いま,ima̠
こうりょう,ko̞ːɾʲo̞ː
きんるい,kʲĩnɾɯ̟ᵝi
かぶしき,ka̠bɯ̟ᵝɕikʲi
あんぶん,ã̠mbɯ̟̃ᵝɴ
くが,kɯ̟ᵝɡa̠
しとね,ɕito̞ne̞
えもと,e̞mo̞to̞
がらくた,ɡa̠ɾa̠kɯ̟̊ᵝta̠
かくとうぎ,ka̠kɯ̟ᵝto̞ːɡʲi
きょうさ,kʲo̞ːsa̠
しんぶん,ɕĩmbɯ̟̃ᵝɴ
しきん,ɕikʲĩɴ
こうそ,ko̞ːso̞
えきたい,e̞kʲita̠i
おぐら,o̞ɡɯ̟ᵝɾa̠
こうぜん,ko̞ːzẽ̞ɴ
ごうりか,ɡo̞ːɾʲika̠
きょうおん,kʲo̞ːõ̞ɴ
くいちがい,kɯ̟ᵝit͡ɕiɡa̠i
かんぷ,kã̠mpɯ̟ᵝ
しんかんせん,ɕĩŋkã̠ɰ̃sẽ̞ɴ
さんえつ,sã̠ɰ̃e̞t͡sɨᵝ
かわらもの,ka̠ɰᵝa̠ɾa̠mo̞no̞
じっき,d͡ʑik̚ʲkʲi
せきたん,se̞kʲitã̠ɴ
うんげん,ɯ̟̃ᵝŋɡẽ̞ɴ
きんせい,kʲĩɰ̃se̞ː
こよぎ,ko̞jo̞ɡʲi
きき,kʲi̥kʲi
しゅび,ɕɨᵝbʲi
かわりだね,ka̠ɰᵝa̠ɾʲida̠ne̞
くつした,kɯ̟̊ᵝt͡sɨᵝɕi̥ta̠
おもてぐち,o̞mo̞te̞ɡɯ̟ᵝt͡ɕi
うつ,ɯ̟ᵝt͡sɨᵝ
しえき,ɕie̞kʲi
おやつ,o̞ja̠t͡sɨᵝ
じたん,d͡ʑitã̠ɴ
こうし,ko̞ːɕi
うつろう,ɯ̟ᵝt͡sɨᵝɾo̞ː
かせきさい,ka̠se̞kʲisa̠i
かたりて,ka̠ta̠ɾʲite̞
けたたましい,ke̞ta̠ta̠ma̠ɕiː
かじきざ,ka̠ʑikʲiza̠
くねる,kɯ̟ᵝne̞ɾɯ̟ᵝ
ささおか,sa̠sa̠o̞ka̠
おりがみつき,o̞ɾʲiɡa̠mʲit͡sɨᵝkʲi
じょうふう,d͡ʑo̞ːɸɯ̟ᵝː
じょうか,d͡ʑo̞ːka̠
くろっぽい,kɯ̟ᵝɾo̞p̚po̞i
えんがい,ẽ̞ŋɡa̠i
しょりょう,ɕo̞ɾʲo̞ː
ごねる,ɡo̞ne̞ɾɯ̟ᵝ
きゅうしんしゅぎ,kʲɨᵝːɕĩɰ̃ɕɨᵝɡʲi
こうせいちゅう,ko̞ːse̞ːt͡ɕɨᵝː
へんしょ,hẽ̞ɰ̃ɕo̞
ぎそう,ɡʲiso̞ː
ぎゅうどん,ɡʲɨᵝːdõ̞ɴ
いってきます,it̚te̞kʲima̠sɨᵝ
しんぐ,ɕĩŋɡɯ̟ᵝ
きめい,kʲime̞ː
えんきり,ẽ̞ŋʲkʲiɾʲi
しほんしゅぎ,ɕihõ̞ɰ̃ɕɨᵝɡʲi
かのじょら,ka̠no̞ʑo̞ɾa̠
きょだく,kʲo̞da̠kɯ̟ᵝ
い,i
うちだす,ɯ̟ᵝt͡ɕida̠sɨᵝ
おしぼり,o̞ɕibo̞ɾʲi
あまからい,a̠ma̠ka̠ɾa̠i
しょくぶつ,ɕo̞kɯ̟ᵝbɯ̟ᵝt͡sɨᵝ
ありくい,a̠ɾʲikɯ̟ᵝi
あつさしのぎ,a̠t͡sɨᵝsa̠ɕino̞ɡʲi
じさつ,d͡ʑisa̠t͡sɨᵝ
しょうけん,ɕo̞ːkẽ̞ɴ
こたま,ko̞da̠ma̠
あでやか,a̠de̞ja̠ka̠
しんがお,ɕĩŋɡa̠o̞
こすい,ko̞sɨᵝi
じ,d͡ʑi
ちょうせき,t͡ɕo̞ːse̞kʲi
かい,ka̠i
いし,iɕi
あなたがた,a̠na̠ta̠ɡa̠ta̠
いとおしい,ito̞ːɕii
こころない,ko̞ko̞ɾo̞na̠i
けんじ,kẽ̞ɲ̟d͡ʑi
かじゅ,ka̠ʑɨᵝ
さてつ,sa̠te̞t͡sɨᵝ
いかれる,ika̠ɾe̞ɾɯ̟ᵝ
がいこく,ɡa̠iko̞kɯ̟ᵝ
しくみ,ɕi̥kɯ̟ᵝmɯ̟ᵝ
あいこ,a̠iko̞
きょくちょう,kʲo̞kɯ̟ᵝt͡ɕo̞ː
かんふく,kã̠ɰ̃ɸɯ̟ᵝkɯ̟ᵝ
いっしんきょう,iɕːĩŋʲkʲo̞ː
きむら,kʲimɯ̟ᵝɾa̠
おおむかし,o̞ːmɯ̟ᵝka̠ɕi
きょうおう,kʲo̞ːo̞ː
あげる,a̠ɡe̞ɾɯ̟ᵝ
えんしょ,ẽ̞ɰ̃ɕo̞
くすりや,kɯ̟̊ᵝsɨᵝɾʲija̠
あじ,a̠ʑi
かんか,kã̠ŋka̠
こせいぶつがく,ko̞se̞ːbɯ̟ᵝt͡sɨᵝɡa̠kɯ̟ᵝ
ししつ,ɕiɕi̥t͡sɨᵝ
いっそう,isːo̞ː
きずつく,kʲizɨᵝt͡sɨ̥ᵝkɯ̟ᵝ
おろ,o̞ɾo̞
うりさばく,ɯ̟ᵝɾʲisa̠ba̠kɯ̟ᵝ
じゆうりつ,d͡ʑijɯ̟ᵝːɾʲit͡sɨᵝ
しゅひ,ɕɨᵝçi
およぐ,o̞jo̞ɡɯ̟ᵝ
あべ,a̠be̞
きゃいきゃい,kʲa̠ikʲa̠i
しんと,ɕiɴto
げんしょく,ɡẽ̞ɰ̃ɕo̞kɯ̟ᵝ
がいして,ɡa̠iɕite̞
かげき,ka̠ɡe̞kʲi
かれは,ka̠ɾe̞ha̠
かがりかご,ka̠ɡa̠ɾʲika̠ɡo̞
かいけん,ka̠ikẽ̞ɴ
しょくわん,ɕo̞kɯ̟ᵝɰᵝã̠ɴ
いってらー,it̚te̞ɾa̠ː
くご,kɯ̟ᵝɡo̞
あおぐ,a̠o̞ɡɯ̟ᵝ
じゅんや,d͡ʑɨ̃ᵝɰ̃ja̠
かとうせい,ka̠to̞ːse̞ː
こうにゅう,ko̞ːɲ̟ɯ̟ᵝː
あおてんじょう,a̠o̞tẽ̞ɲ̟d͡ʑo̞ː
かたまる,ka̠ta̠ma̠ɾɯ̟ᵝ
しれいとう,ɕiɾe̞ːto̞ː
しょうさっし,ɕo̞ːsa̠ɕːi
いちじ,it͡ɕiʑi
うれしい,ɯ̟ᵝɾe̞ɕiː
いびく,ibʲikɯ̟ᵝ
うつりが,ɯ̟ᵝt͡sɨᵝɾʲiɡa̠
すうき,sɨᵝːkʲi
いつしか,it͡sɨᵝɕika̠
げんじつ,ɡẽ̞ɲ̟d͡ʑit͡sɨᵝ
かいおうせい,ka̠io̞ːse̞ː
じょうちょう,d͡ʑo̞ːt͡ɕo̞ː
かわくだり,ka̠ɰᵝa̠kɯ̟ᵝda̠ɾʲi
おおいかぶさる,o̞ːika̠bɯ̟ᵝsa̠ɾɯ̟ᵝ
かぼそい,ka̠bo̞so̞i
かたづけ,ka̠ta̠zɨᵝke̞
さほど,sa̠ho̞do̞
いちじきん,it͡ɕiʑikʲĩɴ
こうさい,ko̞ːsa̠i
さっさと,sa̠sːa̠to̞
きち,kʲi̥t͡ɕi
げてん,ɡe̞tẽ̞ɴ
げっきん,ɡe̞k̚ʲkʲĩɴ
かんじょういにゅう,kã̠ɲ̟d͡ʑo̞ːiɲ̟ɯ̟ᵝː
あいか,a̠ika̠
しいる,ɕiiɾɯ̟ᵝ
ごうん,ɡo̞ɯ̟̃ᵝɴ
しする,ɕisɨᵝɾɯ̟ᵝ
しゅんげん,ɕɨ̃ᵝŋɡẽ̞ɴ
かふちょうせい,ka̠ɸɯ̟̊ᵝt͡ɕo̞ːse̞ː
えいこくじん,e̞ːko̞kɯ̟ᵝʑĩɴ
しよう,ɕijo̞ː
がくゆう,ɡa̠kɯ̟ᵝjɯ̟ᵝː
きとう,kʲito̞ː
いんぎんぶれい,ĩŋʲɡʲĩmbɯ̟ᵝɾe̞ː
ぐしゃぐしゃ,ɡɯ̟ᵝɕa̠ɡɯ̟ᵝɕa̠
こどく,ko̞do̞kɯ̟ᵝ
えんえん,ẽ̞ɰ̃ẽ̞ɴ
あかひげ,a̠ka̠çiɡe̞
しいれる,ɕiːɾe̞ɾɯ̟ᵝ
あされん,a̠sa̠ɾẽ̞ɴ
えつ,e̞t͡sɨᵝ
あやつ,a̠ja̠t͡sɨᵝ
ぎゅうば,ɡʲɨᵝːba̠
じょうしゃひっすい,d͡ʑo̞ːɕa̠çisːɯ̟ᵝi
じょうじ,d͡ʑo̞ːʑi
こうい,ko̞ːi
おんせん,õ̞ɰ̃sẽ̞ɴ
しつどけい,ɕi̥t͡sɨᵝdo̞ke̞ː
かえりてん,kaeriteɴ
しょく,ɕo̞kɯ̟ᵝ
じょれつ,d͡ʑo̞ɾe̞t͡sɨᵝ
かきあげる,ka̠kʲia̠ɡe̞ɾɯ̟ᵝ
あめもよう,a̠me̞mo̞jo̞ː
おさひと,o̞sa̠çito̞
さばく,sa̠ba̠kɯ̟ᵝ
こくれん,ko̞kɯ̟ᵝɾẽ̞ɴ
しにぞこない,ɕiɲ̟izo̞ko̞na̠i
じょじ,d͡ʑo̞ʑi
こえぶた,ko̞e̞bɯ̟ᵝta̠
しんぞう,ɕĩnd͡zo̞ː
ごひゃく,ɡo̞ça̠kɯ̟ᵝ
う,ɯ̟ᵝ
ごうか,ɡo̞ːka̠
あせくさい,a̠se̞kɯ̟̊ᵝsa̠i
いちるいしゅ,it͡ɕiɾɯ̟ᵝiɕɨᵝ
うちほろぼす,ɯ̟ᵝt͡ɕiho̞ɾo̞bo̞sɨᵝ
きぞく,kʲizo̞kɯ̟ᵝ
かんちょう,kã̠ɲ̟t͡ɕo̞ː
うそまつ,ɯ̟ᵝso̞ma̠t͡sɨᵝ
こうどうたい,ko̞ːdo̞ːta̠i
かみそり,ka̠mʲiso̞ɾʲi
がくし,ɡa̠kɯ̟̊ᵝɕi
しわしわ,ɕiɰᵝa̠ɕiɰᵝa̠
いわかん,iɰᵝa̠kã̠ɴ
あれこれ,a̠ɾe̞ko̞ɾe̞
ごげんがく,ɡo̞ɡẽ̞ŋɡa̠kɯ̟ᵝ
おんなぶげいしゃ,õ̞nːa̠bɯ̟ᵝɡe̞ːɕa̠
こうだい,ko̞ːda̠i
あらかじめ,a̠ɾa̠ka̠ʑime̞
こけい,ko̞ke̞ː
かりしゃくほう,ka̠ɾʲiɕa̠kɯ̟̊ᵝho̞ː
うんてんせき,ɯ̟̃ᵝntẽ̞ɰ̃se̞kʲi
げい,ɡe̞ː
こじ,ko̞ʑi
しょくにん,ɕo̞kɯ̟ᵝɲ̟ĩɴ
きたかいきせん,kʲi̥ta̠ka̠ikʲi̥sẽ̞ɴ
ききうで,kʲikʲiɯ̟ᵝde̞
いまひとつ,ima̠çito̞t͡sɨᵝ
こうがい,ko̞ːɡa̠i
しゅうてい,ɕɨᵝːte̞ː
こんにゃく,kõ̞ɲ̟ɲ̟a̠kɯ̟ᵝ
おにいちゃん,o̞ɲ̟iːt͡ɕã̠ɴ
しょうしゅうざい,ɕo̞ːɕɨᵝːza̠i
しぎんえん,ɕiɡʲĩɰ̃ẽ̞ɴ
ううん,m̩ː˦˨˦
あいする,a̠isɨᵝɾɯ̟ᵝ
あべまき,a̠be̞ma̠kʲi
こうげん,ko̞ːɡẽ̞ɴ
おもいやり,o̞mo̞ija̠ɾʲi
じって,d͡ʑit̚te̞
こつぶ,ko̞t͡sɨᵝbɯ̟ᵝ
あなうめ,a̠na̠ɯ̟ᵝme̞
しろくろ,ɕiɾo̞kɯ̟ᵝɾo̞
こぶし,ko̞bɯ̟ᵝɕi
さつ,sa̠t͡sɨᵝ
こうじょ,ko̞ːʑo̞
いまわ,ima̠ɰᵝa̠
し,ɕi
こぐん,ko̞ɡɯ̟̃ᵝɴ
ざま,d͡za̠ma̠
しどう,ɕido̞ː
さんじゅうにち,sã̠ɲ̟d͡ʑɨᵝːɲ̟it͡ɕi
さいかくにん,sa̠ika̠kɯ̟ᵝɲ̟ĩɴ
きょういくしゃ,kʲo̞ːikɯ̟ᵝɕa̠
ざいじゅう,d͡za̠iʑɨᵝː
きょうき,kʲo̞ːkʲi
えみ,e̞mʲi
さこく,sa̠ko̞kɯ̟ᵝ
がいや,ɡa̠ija̠
あんそくにち,ã̠ɰ̃so̞kɯ̟ᵝɲ̟it͡ɕi
こくしょ,ko̞kɯ̟ᵝɕo̞
あいせき,a̠ise̞kʲi
えいせい,e̞ːse̞ː
けんそう,kẽ̞ɰ̃so̞ː
さこつかきん,sa̠ko̞t͡sɨᵝka̠kʲĩɴ
くま,kɯ̟ᵝma̠
しようしゃ,ɕijo̞ːɕa̠
いっぱい,ip̚pa̠i
えんてん,ẽ̞ntẽ̞ɴ
しゃくりあげる,ɕa̠kɯ̟ᵝɾʲia̠ɡe̞ɾɯ̟ᵝ
ぐり,ɡɯ̟ᵝɾʲi
うみぼうず,ɯ̟ᵝmʲibo̞ːzɨᵝ
ががく,ɡa̠ɡa̠kɯ̟ᵝ
しゅちょうこく,ɕɨ̥ᵝt͡ɕo̞ːko̞kɯ̟ᵝ
ごく,ɡo̞kɯ̟ᵝ
こうせい,ko̞ːse̞ː
かでん,ka̠dẽ̞ɴ
じじょうつう,d͡ʑiʑo̞ːt͡sɨᵝː
いぜん,izẽ̞ɴ
かいり,ka̠iɾʲi
しゅうちゃくえき,ɕɨᵝːt͡ɕa̠kɯ̟ᵝe̞kʲi
じんかくか,d͡ʑĩŋka̠kɯ̟̊ᵝka̠
かまってちゃん,ka̠ma̠t̚te̞t͡ɕã̠ɴ
けんりょく,kẽ̞nɾʲo̞kɯ̟ᵝ
いか,ika̠
げんそく,ɡẽ̞ɰ̃so̞kɯ̟ᵝ
かろうし,ka̠ɾo̞ːɕi
うえつける,ɯ̟ᵝe̞t͡sɨᵝke̞ɾɯ̟ᵝ
きぐち,kʲiɡɯ̟ᵝt͡ɕi
いま,ima̠
くしけずる,kɯ̟̊ᵝɕike̞zɨᵝɾɯ̟ᵝ
しょうさ,ɕo̞ːsa̠
きしつ,kʲiɕit͡sɨᵝ
けいい,ke̞ːi
しんけい,ɕĩŋke̞ː
かしこまる,ka̠ɕiko̞ma̠ɾɯ̟ᵝ
おきあがりこぼし,o̞kʲia̠ɡa̠ɾʲiko̞bo̞ɕi
おとわれ,o̞to̞ɰᵝa̠ɾe̞
いさん,isã̠ɴ
かつ,ka̠t͡sɨᵝ
ざっこん,d͡za̠k̚kõ̞ɴ
かがい,ka̠ɡa̠i
しんしょう,ɕĩɰ̃ɕo̞ː
きょうぶ,kʲo̞ːbɯ̟ᵝ
いど,ido̞
かねつ,ka̠ne̞t͡sɨᵝ
こうしつ,ko̞ːɕit͡sɨᵝ
おうどう,o̞ːdo̞ː
しょぼい,ɕo̞bo̞i
しりょく,ɕiɾʲo̞kɯ̟ᵝ
しょうがく,ɕo̞ːɡa̠kɯ̟ᵝ
ごさん,ɡo̞sã̠ɴ
えい,e̞ː
げねつやく,ɡe̞ne̞t͡sɨᵝja̠kɯ̟ᵝ
ぎょうしょ,ɡʲo̞ːɕo̞
しょじょさく,ɕo̞ʑo̞sa̠kɯ̟ᵝ
あけび,a̠ke̞bʲi
えいえん,e̞ːẽ̞ɴ
きっさき,kʲisːa̠kʲi
かみたいおう,ka̠mʲita̠io̞ː
じょうえつ,d͡ʑo̞ːe̞t͡sɨᵝ
じゃくおんき,d͡ʑa̠kɯ̟ᵝõ̞ŋʲkʲi
ちゅうたい,t͡ɕɨᵝːta̠i
げんめつ,ɡẽ̞mːe̞t͡sɨᵝ
こけし,ko̞ke̞ɕi
こうめいせいだい,ko̞ːme̞ːse̞ːda̠i
うそ,ɯ̟ᵝso̞
さっちゅう,sa̠t̚t͡ɕɨᵝː
および,o̞jo̞bʲi
ぎょうが,ɡʲo̞ːɡa̠
さんじゅうしち,sã̠ɲ̟d͡ʑɨᵝːɕit͡ɕi
かんていりゅう,kã̠nte̞ːɾʲɨᵝː
おとずれる,o̞to̞zɨᵝɾe̞ɾɯ̟ᵝ
あかがみ,a̠ka̠ɡa̠mʲi
くまだ,kɯ̟ᵝma̠da̠
しょう,ɕo̞ː
ざいあ,d͡za̠ia̠
こきこうがく,ko̞kʲiko̞ːɡa̠kɯ̟ᵝ
くうちゅう,kɯ̟ᵝːt͡ɕɨᵝː
つよい,t͡sɨᵝjo̞i
かっこわるい,ka̠k̚ko̞ɰᵝa̠ɾɯ̟ᵝi
さつじんき,sa̠t͡sɨᵝʑĩŋʲkʲi
かんぱつ,kã̠mpa̠t͡sɨᵝ
えんちゅうしょう,ẽ̞ɲ̟t͡ɕɨᵝːɕo̞ː
とう,to̞ː
えんたく,ẽ̞nta̠kɯ̟ᵝ
しょうすい,ɕo̞ːsɨᵝi
じた,d͡ʑita̠
じゅ,d͡ʑɨᵝ
じまつげ,d͡ʑima̠t͡sɨᵝɡe̞
さばひい,sa̠ba̠çiː
しゅうしん,ɕɨᵝːɕĩɴ
