wirkmächtig,vɪʁkmɛçtɪç
neunundzwanzigmal,nɔɪ̯nʊntt͡svant͡sɪçmaːl
versiebenfacher,fɛɐ̯ziːbn̩faxɐ
älteste,ɛltəstə
lexikalisch,lɛksikaːlɪʃ
nachteil,naːxtai̯l
unerhört,ʊnʔɛrhøːrt
zeilen,tsaɪ̯ln̩
reihen,ʁaɪ̯n
bauarbeiter,baʊ̯ʔaʁbaɪ̯tɐ
pfeil,pfaɪ̯l
leserbriefs,leːzɐbʁiːfs
retinotop,ʁetinotoːp
panzerschiffes,pant͡sɐʃɪfəs
missionarin,mɪsi̯onaːrɪn
platzes,platsəs
scherbe,ʃɛʁbə
weiten,vaɪ̯tn̩
aufforsten,aʊ̯ffɔʁstən
opfern,ʔɔpfɐn
silizium,ziliːtsi̯ʊm
bettlägrig,bɛtlɛːɡʁɪç
verhalten,fɛɐ̯haltn̩
gebügelt,ɡəbyːɡl̩t
abbruch,apbʁʊχ
komplektisch,kɔmplɛktɪʃ
wägen,veːɡn̩
galicier,ɡaliːt͡si̯ɐ
arm,arm
taff,taf
bohei,bohaɪ̯
blechhütte,blɛçhʏtə
zwangsmedikationen,t͡svaŋsmedikatsi̯oːnən
chinin,kiniːn
sekundär,zɛkʊndɛːr
verscheuchers,fɛɐ̯ʃɔɪçɐs
schalenweichtieres,ʃaːlənvaɪ̯çtiːʁəs
entwertung,ɛntveːɐ̯tʊŋ
bauernhof,baʊ̯ɐnhoːf
unterjochen,ʊntɐjɔxən
neigt,naɪ̯kt
komatös,komatøːs
veräussern,fɛɐ̯ɔɪ̯sɐn
unaufmerksam,ʊnʔaʊ̯fmɛʁkzaːm
resignieren,reziɡniːrən
koog,koːk
geissblattgewächs,ɡaɪ̯sblatɡəvɛks
puffreis,pʊfʁaɪ̯s
pfanne,fanə
zwangsurlaub,t͡svaŋsuːɐ̯laʊ̯p
magensaft,maːɡənzaft
verlassenschaft,fɛɐ̯lasn̩ʃaft
verseuchen,fɛɐ̯zɔʏ̯çən
fluffig,flʊfɪç
vorgabenwirksam,foːɐ̯ɡaːbm̩vɪʁkzaːm
vulva,vʊlva
bewahrheiten,bəvaːɐ̯haɪ̯tn̩
kreisdurchmesser,kraɪ̯sdʊʁçmɛsɐ
sauerbratens,zaʊ̯ɐbʁaːtn̩s
vikar,vikaːɐ̯
restbetrag,ʁɛstbətʁaːk
heimmannschaft,haɪ̯mmanʃaft
ausfuhrschein,aʊ̯sfuːɐ̯ʃaɪ̯n
eigentor,aɪ̯ɡəntoːʁ
zyprer,tsyːpʁəʁ
umsichtigster,ʊmzɪçtɪçstɐ
kambodschanerin,kambɔdʒaːnɐʁɪn
kopfschüttelnd,kɔp͡fʃʏtl̩nt
staubig,ʃtaʊ̯bɪk
stabkirchen,ʃtaːpkɪʁçən
vertrinken,fərtrɪŋkən
hochkirchs,hoːxkɪʁçs
lakustrisch,lakʊstʁɪʃ
vormonaten,foːɐ̯moːnatən
trug,truːk
halbhochpunkt,halphoːxpʊŋkt
abgeneigt,apɡənaɪ̯kt
moseltales,moːzəltaːləs
frühlingsenden,fʁyːlɪŋsɛndn̩
währungsunion,vɛːʁʊŋsʔuni̯oːn
exponentiell,ɛksponɛntsjɛl
deskriptiv,deskʁɪptiːf
netz,nɛt͡s
armsessel,aʁmzɛsəl
beileides,baɪ̯laɪ̯dəs
ortstafel,ɔʁt͡staːfl̩
herzogin,hɛʁt͡soːɡɪn
schimmelkäse,ʃɪml̩kɛːzə
einbildungskraft,aɪ̯nbɪldʊŋskʁaft
normieren,nɔʁmiːʁən
theodizeen,teodit͡seːən
nachmalig,naːχmaːlɪk
hinfahrt,hɪnfaːɐ̯t
durchschuss,dʊʁçʃʊs
epoche,epɔχə
sammelsurium,zaml̩zuːʁiʊm
glücksbringer,ɡlʏksbʁɪŋɐ
ehrenvoll,eːʁənfɔl
schneehuhn,ʃneːhuːn
losmachen,loːsmaxn̩
namensträger,naːmənstʁɛːɡɐ
emporium,ɛmpoːʁiʊm
fadisieren,fadiziːɐ̯n
völlig,fœlɪk
sprachwandel,ʃpʁaːxvandəl
niederschreien,niːdɐʃʁaɪ̯ən
schank,ʃaŋk
hotdog,hɔtdɔk
monochrom,monokʁoːm
guts,ɡuːts
tropenfrucht,tʁoːpn̩fʁʊxt
geleitet,ɡəlaɪ̯tət
milliardär,mɪli̯aʁdeːɐ̯
ferienhäuser,feːʁiənhɔɪ̯zɐ
malisch,maːlɪʃ
gruppentheorie,ɡʁʊpənteoʁiː
wittfra,vitfʀaː
flasche,flaʃə
placken,plakən
putsch,pʊt͡ʃ
leibesfrucht,laɪ̯bəsfʁʊxt
baby,bɛɪ̯bi
anstand,anʃtant
antiviral,antiviʁaːl
magdeburger,maːkdəbʊrɡər
strumpfhosen,ʃtʁʊmp͡fhoːzn̩
peripetie,peʁipetiː
hüfthoch,hʏfthoːχ
lerche,lɛʁçə
kurzwarenläden,kʊʁt͡svaːʁənlɛːdən
babybäuchen,beːbibɔɪ̯çn̩
eisig,ʔaɪ̯zɪç
schaschliks,ʃaʃlɪks
kongolese,kɔŋɡoleːzə
neusprech,nɔɪ̯ʃpʁɛç
abmagern,ʔapmaːɡɐn
empfehlungsschreiben,ɛmp͡feːlʊŋsʃʁaɪ̯bn̩
lehmig,leːmɪk
verdreifacher,fɛɐ̯dʁaɪ̯faxɐ
zeitigste,t͡saɪ̯tɪçstə
bautzen,baʊt͡sn̩
pensionat,pɛnzi̯onaːt
unerreichbar,ʊnʔɛɐ̯ʁaɪ̯çbaːɐ̯
kolleg,kɔleːk
kämpe,kɛmpə
exploitieren,ɛksplo̯atiːʁən
heftig,hɛftɪk
chronologisch,kʁonoloːɡɪʃ
ausgekleidet,aʊ̯sɡəklaɪ̯dət
selbstverletzung,zɛlpstfɛɐ̯lɛt͡sʊŋ
panzerhaubitze,pant͡sɐhaʊ̯bɪt͡sə
lethargisch,letaʁɡɪʃ
anfachen,anfaxn̩
körperbauer,kœɐ̯pɐbaʊ̯ɐ
vergeben,fərɡeːbən
fremdling,fʁɛmtlɪŋ
hausschafen,haʊ̯sʃaːfn̩
elitär,eliteːɐ̯
selbander,zɛlpʔandɐ
folgen,fɔlɡən
idiotin,ʔidi̯oːtin
komponist,kɔmponɪst
gremium,ɡʁeːmi̯ʊm
blutwenig,bluːtveːnɪç
taschen,taʃən
hoffentlich,hɔfn̩tlɪç
deinem,daɪm
nullstellen,nʊlʃtɛlən
kaff,kaf
brüsk,bʁʏsk
kanoniker,kanoːnɪkɐ
schneiden,ʃnaɪ̯dən
bouteille,butɛljə
doktorvater,dɔktoːɐ̯faːtɐ
gallert,ɡalɛrt
geschwulst,ɡəʃvʊlst
elke,ɛlkə
schürzen,ʃʏʁt͡sən
mädel,meːdəl
muttersprachlich,mʊtɐʃpʁaːχlɪç
trägerlos,tʁɛːɡɐloːs
grünbuches,ɡʁyːnbuːxəs
gams,ɡams
logopäde,loɡopɛːdə
aufwiegler,aʊ̯fviːɡlɐ
perlustrieren,pɛʁlʊstʁiːʁən
konkurrenz,kɔnkʊʁɛnt͡s
pardel,paʁdəl
mangels,maŋəls
erdteil,ʔeːɐ̯ttaɪ̯l
papabel,papaːbl̩
suppen,zʊpm̩
warterei,vaʁtəʁaɪ̯
sendemast,zɛndəmast
flimmern,flɪmɐn
kälber,kɛlbɐ
surfen,sœʁfn̩
bete,beːtə
singstimme,zɪŋʃtɪmə
salzhaltig,zaltshaltɪç
zeugenschutzprogramm,t͡sɔɪ̯ɡn̩ʃʊt͡spʁoɡʁam
patenkinds,paːtn̩kɪnts
wacht,vaxt
schmerzengeld,ʃmɛɐ̯t͡sn̩ɡɛlt
vertränt,fɛɐ̯tʁɛːnt
dachüberstand,daxʔyːbɐʃtant
unwirsch,ʊnvɪʁʃ
greisin,ɡʁaɪ̯zɪn
bühnenstück,byːnənʃtʏk
reset,ʁisɛt
helvetisch,hɛlveːtɪʃ
koks,koːks
kanarisch,kanaːʁɪʃ
medienhistorisch,meːdi̯ənhɪstoːʁɪʃ
brauhaus,bʁauhaus
zurechnen,t͡suːʁɛçnən
bequem,bəkveːm
alterität,altəʁitɛːt
zueignung,t͡suːaɪ̯ɡnʊŋ
eiderente,aɪ̯dɐʔɛntə
schussverletzung,ʃʊsfɛɐ̯lɛt͡sʊŋ
gemüselöffel,ɡəmyːzəlœfl̩
kontraktion,kɔntʁaktsjoːn
rascheln,ʁaʃəln
toyota,tojoːta
diesseits,diːszaɪ̯ts
fleissig,flaɪ̯sɪk
syrer,zyːʁɐ
nudeln,nuːdəln
rockmusik,ʁɔkmuziːk
sockelleiste,sɔkl̩laɪ̯stə
zeugung,tsɔʏ̯ɡʊŋ
quengelig,kvɛŋəlɪç
driss,dʁɪs
bündnis,bʏntnɪs
kunkel,kʊŋkəl
quäntchen,kvɛntçən
verbürgen,fɛɐ̯bʏʁɡn̩
schleifen,ʃlaɪ̯fɱ̩
liegt,liːçt
schlemihl,ʃleːmiːl
tomatensaft,tomaːtn̩zaft
kraneberger,kʁaːnəbɛɐ̯ɡɐ
aussprechen,aʊ̯sʃprɛçən
torheiten,toːɐ̯haɪ̯tən
adabei,aːd̥ab̥aɪ̯
containern,kɔnteːnɐn
zwanzigeckig,t͡svant͡sɪçɛkɪç
abfahrer,apfaːʁɐ
vakzination,vakt͡sinat͡si̯oːn
systemisch,zʏstemɪʃ
regime,ʁeʒiːm
grausam,ɡʁaʊ̯zaːm
ausatmend,aʊ̯saːtmənt
ellenbogengesellschaft,ɛlənboːɡənɡəzɛlʃaft
bekanntheit,bəkanthaɪ̯t
verbohrtheit,fɛɐ̯boːɐ̯thaɪ̯t
sinnlosigkeit,zɪnloːzɪçkaɪ̯t
brand,bʁant
sinnvoll,zɪnfɔl
postfach,pɔstfaχ
schorfig,ʃɔʁfɪk
grünblau,ɡʁyːnblaʊ̯
eisendrähte,aɪ̯zn̩dʁɛːtə
griessbrei,ɡʁiːsbʁaɪ̯
mehlschwitze,meːlʃvɪtsə
nagut,naɡuːt
bös,bøːs
funken,fʊŋkən
vollmundigsten,fɔlmʊndɪçstn̩
hackfleisch,hakflaɪ̯ʃ
paradoxon,paʁadɔksɔn
serendipität,zeʀɛndipitɛːt
dealer,diːlɐ
grünbuch,ɡʁyːnbuːx
dun,duːn
vorstellungsende,foːɐ̯ʃtɛlʊŋsɛndə
schieflaufen,ʃiːflaʊ̯fn̩
cholera,koːleʁa
unverschuldet,ʊnfɛɐ̯ʃʊldə
pfründe,pfʁʏndə
herrentag,hɛʁəntaːk
urban,ʊʁbaːn
waldelb,valtɛlp
kantig,kantɪç
dreiundneunzig,dʁaɪ̯ʊntnɔɪ̯nt͡sɪç
borte,bɔʁtə
vermittlungsgebühr,fɛɐ̯mɪtlʊŋsɡəbyːɐ̯
gezähe,ɡət͡seːə
ankerplatz,ʔaŋkɐplats
altglas,altɡlaːs
myelogen,myeloɡeːn
lesefähigkeit,leːzəfɛːɪçka͜it
verschachtelung,fɛɐ̯ʃaxtəlʊŋ
schulmedizin,ʃuːlmedit͡siːn
gewitzigt,ɡəvɪt͡sɪkt
diskontinuität,dɪskɔntinuitɛːt
eisenbahnen,ʔaɪ̯zn̩baːnən
affichieren,afɪʃiːɐ̯n
kryophil,kʁyofiːl
sattel,zatl̩
sprengstofffund,ʃpʁɛŋʃtɔffʊnt
möbliert,møbliːʁt
fünfundfünfzigjähriger,fʏnfʊntfʏnft͡sɪçjɛːʁɪɡɐ
bischofshofen,bɪʃɔfshoːfn̩
abfallbehälters,apfalbəhɛltɐs
zornigstem,t͡sɔʁnɪkstəm
vorarlbergisch,foːɐ̯ʔaʁlbɛʁɡɪʃ
paroxysmus,paʁɔksʏsmʊs
analysis,anaːlyzɪs
gurgel,ɡʊrɡəl
klageweibs,klaːɡəvaɪ̯ps
dorfbewohners,dɔʁfbəvoːnɐs
masslos,maːsloːs
ding,dɪŋ
hattet,hatət
freizügig,fʁaɪ̯t͡syːɡɪç
unzüchtigster,ʊnt͡sʏçtɪçstɐ
wort,vɔrt
arttypischsten,aːɐ̯ttyːpɪʃstən
los,lɔs
wurstmesser,vʊʁstmɛsɐ
ausführbar,aʊ̯sfyːɐ̯baːɐ̯
nichttänzer,nɪçttɛnt͡sɐ
ladegerät,laːdəɡəʁɛːt
hochwürden,hoːxvʏʁdn̩
markerschütternd,maʁkɛɐ̯ʃʏtɐnt
raf,ʁaf
zeckennymphen,tsɛkənnʏmfən
beeidigen,bəʔaɪ̯dɪɡn̩
froschkönig,fʁɔʃkøːnɪç
gilbert,ʒɪlbɛːɐ̯
piccolo,pɪkolo
einspritzen,ʔaɪ̯nʃpʁɪtsn̩
saatkartoffeln,zaːtkaʁtɔfl̩n
stationsweite,ʃtat͡si̯oːnsvaɪ̯tə
abschüssig,apʃʏsɪk
poemisch,poeːmɪʃ
felix,feːlɪks
prachtstrasse,pʁaχtʃtʁaːsə
verschafferin,fɛɐ̯ʃafəʁɪn
team,tiːm
hintansetzen,hɪntʔanzɛt͡sən
auftragsmörderin,aʊ̯ftʁaksmœʁdɐʁɪn
knacklaut,knaklaʊ̯t
nah,naː
hinnehmbar,hɪnneːmbaːɐ̯
antiguaner,antiɡu̯aːnɐ
zweiunddreissigstel,t͡svaɪ̯ʊntdʁaɪ̯sɪçstəl
pimpf,pɪmpf
hetzern,hɛt͡sɐn
röntgen,ʁœntɡn̩
mimosenhaft,mimoːzn̩haft
allstündlich,alʃtʏntlɪç
gracht,ɡraxt
zyklop,tsykloːp
helikopter,helikɔptər
ich,ʔɪç
anthropomorphisierungen,antʁopomɔʁfiziːʁʊŋən
kapitalistisch,kapitalɪstɪʃ
unbeständig,ʊnbəʃtɛndɪk
nautisch,naʊ̯tɪʃ
summativ,zʊmatiːf
umschliesser,ʊmʃliːsɐ
holzgerüst,hɔlt͡sɡəʁʏst
evolutionär,evolutsɪ̯onɛːʁ
ribiselkuchen,ʁiːb̥ɪsl̩kuːxən
komplizenschaft,kɔmpliːt͡sn̩ʃaft
vierundzwanzigköpfiger,fɪɐ̯ʊnt͡svant͡sɪçkœpfɪɡɐ
schmock,ʃmɔk
bettelei,bɛtəlaɪ̯
greifen,ɡʁaɪ̯fən
edelstahlartig,eːdl̩ʃtaːlʔaːɐ̯tɪç
meiler,maɪ̯lɐ
pfennig,fɛnɪç
stöhnen,ʃtøːnən
willig,vɪlɪç
todessehnsucht,toːdəszeːnzʊxt
tafelaufsatz,taːfl̩aʊ̯fzat͡s
zotig,t͡soːtɪç
reinstecken,ʁaɪ̯nʃtɛkən
unpaarhufer,ʊnpaːɐ̯huːfɐ
offenherzig,ɔfn̩hɛʁtsɪç
milderung,mɪldəʁʊŋ
zunichte,t͡sunɪçtə
köpper,kœpɐ
sobotka,sobɔtka
grösse,ɡʁøːsə
kontrolllos,kɔntʁɔlloːs
lügenpresse,lyːɡn̩pʁɛsə
abtragung,aptʁaːɡʊŋ
spatzeck,ʃpät͡sɛk
anzüge,ʔantsyːɡə
hipster,hɪpstɐ
frack,fʁak
eingeborene,aɪ̯nɡəboːʁənə
unterschied,ʔʊntʰɐʃiːt
antiquität,antikviteːt
einundvierzigminütiger,aɪ̯nʊntfɪɐ̯t͡sɪçminyːtɪɡɐ
abzeichnen,ʔaptsaɪ̯çnən
stupsnase,ʃtʊpsnaːzə
abstellen,apʃtɛlən
schlecken,ʃlɛkən
geschoss,ɡəʃoːs
schemenhaft,ʃeːmən
nonplusultra,nɔnplʊsʔʊltʁa
überreden,yːbərreːdən
nachgiebig,naːχɡiːbɪk
kriegsschiff,kʁiːksʃɪf
zweiteilen,t͡svaɪ̯taɪ̯lən
gesegnet,ɡəzeːɡnət
insbesondere,ɪnsbəzɔndəʁə
eisbergs,ʔaɪ̯sbɛʁks
abwurf,apvʊʁf
kontakt,kɔntakt
hetzers,hɛt͡sɐs
schiefertafel,ʃiːfɐtaːfl̩
übergabe,yːbɐɡaːbə
wabenförmig,vaːbn̩fœʁmɪç
neuwagen,nɔʏ̯vaːɡən
charmant,ʃarmant
eierklar,aɪɐklaːɐ̯
onkologie,ɔŋkoloɡiː
editor,ɛdɪtɐ̯
elektrizität,elɛktʁitsitɛːt
schliefen,ʃliːfn̩
suchhunds,zuːxhʊnts
verein,fɛʁaɪ̯n
scheinreferendum,ʃaɪ̯nʁɛfəʁɛndʊm
begriffsklärungen,bəɡʁɪfsklɛːʁʊŋən
chile,t͡ʃiːlə
gar,ɡaːr
antauen,antaʊ̯n̩
verkehrstüchtig,vɛrkeːrstʏçtɪç
gebräue,ɡəbʁɔɪ̯ə
hemdknopf,hɛmtknɔpf
brioche,bʁiɔʃ
versenkers,fɛɐzɛnkɐs
atomkraft,atoːmkʁaft
frankierung,fʁaŋkiːʁʊŋ
alpenveilchen,ʔalpm̩faɪ̯lçn̩
unendlich,ʊnʔɛntlɪç
tross,tʁɔs
wasserkunst,vasɐkʊnst
hochglanzprospekts,hoːxɡlant͡spʁospɛkts
zirkumflex,tsɪʁkʊmflɛks
zwangsmedikation,t͡svaŋsmedikatsi̯oːn
teilpächterin,taɪ̯lpɛçtərɪn
insofern,ɪnzoːfɛʁn
inflationär,ɪnflat͡si̯onɛːɐ̯
stipulativ,ʃtipulatiːf
einwegflasche,aɪ̯nveːkfɔɪ̯ɐt͡sɔɪ̯k
einwegrasierer,aɪ̯nveːkʁaziːʁɐ
fahndung,faːndʊŋ
intermezzoartig,ɪntɐmɛt͡soʔaːɐ̯tɪç
hochintelligent,hoːχʔɪntɛliɡɛnt
verwechslungskomödie,fɛɐ̯vɛkslʊŋskomøːdi̯ə
flitterblättchen,flɪtɐblɛtçn̩
versengend,fɛɐ̯zɛŋənt
wohltäterin,voːltɛːtəʁɪn
schiffskompass,ʃɪfskɔmpas
unzählige,ʊntsɛːlɪɡə
pfropfen,pfrɔpfən
seelenwanderung,zeːlənvandəʁʊŋ
dichtung,dɪçtʊŋ
wohlmeinend,voːlmaɪ̯nənt
nämlich,neːmlɪç
mitwissersein,mɪtvɪsɐzaɪn
prostituierter,pʁɔstituiːɐ̯tɐ
riechen,ʁiːçn̩
stachelig,ʃtaxəlɪç
schwanenhalsmikrofon,ʃvaːnənhalsmikʁofoːn
zwergspitz,t͡svɛʁkʃpɪt͡s
indonesier,ɪndoneːziɐ
parkgebühr,paʁkɡəbyːɐ̯
strohblond,ʃtroːblɔnt
orientierung,oʁiɛntiːʁʊŋ
brunzen,b̥rʊnt͡sn̩
gepäck,ɡəpɛk
zweitrangigkeit,t͡svaɪ̯tʁaŋɪçkaɪt
schnellerer,ʃnɛləʁɐ
marinieren,maʁiniːʁən
hausanzuge,haʊ̯sʔant͡suːɡə
entsafter,ɛntzaftɐ
clausewitz,klaʊzəvɪts
zwangsurlaubes,t͡svaŋsuːɐ̯laʊ̯bəs
philologe,filoloːɡə
träne,trɛːnə
fürtuch,fyːɐ̯tuːx
verblüffen,fɛɐ̯blʏfn̩
depesche,depɛʃə
molybdänhaltig,molʏpdɛːnhaltɪç
übertragbarkeit,yːbɐtʁaːkbaːɐ̯kaɪ̯t
trunkenheit,tʁʊŋkənhaɪ̯t
öde,øːdə
nazareth,naːtsaʁɛt
cashewnuss,kɛʃjunʊs
verschlingen,fɛɐ̯ʃlɪŋən
brecheisen,bʁɛçʔaɪ̯zn̩
aufgehen,ʔaʊ̯fɡeːən
entlein,ɛntlaɪ̯n
untermauern,ʊntɐmaʊ̯ɐn
bonanzarädern,bonant͡saːʁɛːdɐn
merkmallos,mɛʁkmaːlloːs
insiderhandel,ɪnsaɪ̯dərhandəl
unternehmertums,ʊntɐneːmɐtuːms
karbatsche,karbaːt͡ʃə
eisskulptur,aɪ̯sskʊlptuːɐ̯
aalkorb,aːlkɔʁp
blosshäuptig,bloshɔʏ̯ptɪç
fussel,fʊzəl
gravitation,ɡʁavitat͡sɪ̯oːn
gibst,ɡiːpst
beinbruch,baɪ̯nbʁʊx
botenstoff,boːtn̩ʃtɔf
zuhören,tsuːhøːʁən
gasthof,ɡasthoːf
beunruhigend,bəʔʊnʁuːɪɡn̩t
toben,toːbn̩
unterdruck,ʊntɐdʁʊk
pomeranze,pɔməʁant͡sə
knallkopf,knalkɔpf
postoperativ,pɔstʔopəʁatiːf
durchseuchung,dʊʁçzɔɪ̯çʊŋ
brathähnchen,bʁaːthɛːnçən
versonnen,fɛɐ̯zɔnən
klimaschutz,kliːmaʃʊt͡s
ungnädigen,ʊnɡnɛːdɪɡn̩
brieffreundin,bʁiːfʁɔɪ̯ndɪn
scheisstypen,ʃaɪ̯styːpən
geldautomat,ɡɛltʔaʊ̯tomaːt
brimborium,bʁɪmboːʁiʊm
mesozoikum,mezotsoːikʊm
versichernd,fɛɐ̯zɪçɐnt
randalierer,ʁandaliːʁɐ
verseuchung,fɛɐ̯zɔɪ̯çʊŋ
neben,neːbm̩
märchenbuch,mɛɐ̯çn̩buːx
vergewaltigen,fɛʁɡəvaltiɡən
bekehrung,bəkeːʁʊŋ
irrung,ɪʁʊŋ
weinflasche,vaɪ̯nflaʃə
geschwür,ɡəʃvyːɐ̯
fächern,fɛçɐn
kuscheldecke,kʊʃəldɛkə
präpositional,pʁɛːpozit͡si̯onaːl
durchsetzen,dʊrçzɛtsən
ausmachen,ʔaʊ̯smaxn̩
stechwinde,ʃtɛçvɪndə
wendungen,vɛndʊŋən
ausverkauf,aʊ̯sfɛɐ̯kaʊ̯f
zusammenziehungszeichen,t͡suzamənt͡siːʊŋst͡saɪ̯çən
mittagspause,mɪtaːkspaʊ̯zə
nachmachen,naːxmaxən
seitherig,zaɪ̯theːʁɪç
sanitätstruppe,zanitɛːt͡stʁʊpə
kombinierbar,kɔmbiniːɐ̯baːɐ̯
piepmatz,piːpmats
behemoth,beːhemoːt
graphithaltig,ɡʁafiːthaltɪç
präser,pʁɛːzɐ
büchsenfagottes,bʏksn̩faɡɔtəs
entmutigen,ɛntmuːtɪɡən
selbstständiger,zɛlpstʃtɛndɪɡɐ
süssware,zyːsvaːʁə
zügig,t͡syːɡɪç
einfrieren,ʔaɪ̯nfʁiːʁən
sagte,zaːktə
fingerhüte,fɪŋɐhyːtə
algebra,alɡebʁaː
inexistent,ɪnɛksɪstɛnt
gebot,ɡəboːt
rosten,ʁɔstən
kacheln,kaxl̩n
kreuzzug,kʁɔʏ̯t͡st͡suːk
mosambikanerin,mozambikaːnɐʁɪn
sechsundzwanzigköpfig,zɛksʊnt͡svant͡sɪçkœpfɪç
bergwerk,bɛrkvɛrk
begräbnis,bəɡʁɛːpnɪs
