disponibilidade,diʃpunibilidadɨ
sabiapoca,sɐbjɐpɔkɐ
foderoso,fudɨɾozu
ganzar,ɡɐ̃zaɾ
frase,fɾazɨ
doutorzinho,dotoɾziɲu
coeficiente,kɔɛfisjẽtɨ
isis,izis
multiplicativo,multiplikɐtibu
armador,ɐɾmɐdoɾ
regueifa,ʁɨɡefɐ
pálida,palidɐ
secundário,sɨkũdaɾju
lamentação,lɐmẽtɐsɐ̃w̃
micrómetro,mikɾɔmɨtɾu
antitrombina,ɐ̃titɾõbinɐ
cidros,sidɾuʃ
eletivo,ilɛtibu
agonizar,ɐɡunizaɾ
pedra,pɛdɾɐ
manusca,mɐnuʃkɐ
matam,matɐ̃w̃
isaías,izɐiɐʃ
inicial,inisjal
falado,fɐladu
parafascismo,pɐɾɐfaʃsiʒmu
escandinava,iʃkɐ̃dinabɐ
herdeiro,ɛɾdeɾu
luva,lubɐ
noivo,nojvu
estriar,iʃtɾiaɾ
armazenagem,ɐɾmɐzɨnaʒɐ̃j̃
holandesa,ɔlɐ̃dezɐ
cimeira,simeɾɐ
indestrutível,ĩdɨʃtɾutibɛl
carboxílico,kɐɾbɔksiliku
zelo,zɛlu
venoso,bɨnozu
inflar,ĩflaɾ
expor,ejʃpoɾ
apavorar,ɐpɐvuɾaɾ
sacarímetro,sɐkɐɾimɨtɾu
latiu,lɐtiw
pôde,podɨ
teca,tɛkɐ
mortais,muɾtajʃ
boleiro,bɔlejɾu
seia,sɐjɐ
leila,lejlɐ
antiurbanização,ɐ̃tiuɾbɐnizɐsɐ̃w̃
faiança,fɐjɐ̃sɐ
vinagre,vinaɡɾɨ
norreno,nuʁenu
lorena,luɾenɐ
bochicho,buʃiʃu
cutucar,kutukaɾ
célticas,sɛltikɐʃ
encomenda,ẽkumẽdɐ
florência,fluɾẽsjɐ
vólvulo,bɔlbulu
polvilhar,polbiʎaɾ
quinquagésimo,kĩkwɐʒɛzimu
pesará,pɨzɐɾa
cegar,sɨɡaɾ
hortaliça,ɔɾtɐlisɐ
detetável,dɨtɛtabɛl
desdo,deʒdu
chuveiro,ʃuvɐjɾu
adentrar,ɐdẽtɾaɾ
pegasse,pɨɡasɨ
concha,kõʃɐ
moça,mosɐ
lençol,lẽsɔl
antifagocíticos,ɐ̃tifɐɡɔsitikuʃ
gratuitas,ɡɾɐtujtɐʃ
achaque,ɐt͡ʃakɨ
tendal,tẽdal
hospitalizar,ɔʃpitɐlizaɾ
quês,keʃ
antitecnologista,ɐ̃titɛknuluʒiʃtɐ
belga,bɛlɡɐ
sismómetro,siʒmɔmɨtɾu
bridar,bɾidaɾ
ganexa,ɡɐnɛʃɐ
desativar,dɨzativaɾ
longevidade,lõʒɨvidadɨ
hóspedes,ɔʃpɨdɨʃ
lagartixa,lɐɡɐɾtiʃɐ
simples,sĩplɨʃ
antidroga,ɐ̃tidɾɔɡɐ
lati,lɐti
diagnóstica,diɐɡnɔʃtikɐ
penalva,pɨnalbɐ
borda,bɔɾdɐ
pessoalmente,pɨswalmẽtɨ
gritozinho,ɡɾituziɲu
advocatura,ɐdvukɐtuɾɐ
tímida,timidɐ
dumping,dɐ̃pĩɡ
comemos,kumemuʃ
apreensivamente,ɐpɾjẽsibɐmẽtɨ
martinho,mɐɾtiɲu
antimitótico,ɐ̃timitɔtiku
solará,sulɐɾa
aerólitho,ɐɛɾɔlitu
aquecido,ɐkɛsidu
aceitável,ɐsɐjtavɛl
musa,muzɐ
patuleia,pɐtulejɐ
empreendedorismo,ẽpɾjẽdɨduɾiʒmu
aporeticamente,ɐpuɾɛtikɐmẽtɨ
ébano,ɛbɐnu
povoar,pubwaɾ
atendimento,ɐtẽdimẽtu
único,uniku
val,bal
semestralmente,sɨmɨʃtɾalmẽtɨ
censuras,sẽsuɾɐʃ
volverá,bɔlbɨɾa
aroma,ɐɾomɐ
salinar,sɐlinaɾ
inconsolável,ĩkõsulavɛl
audiência,awdjẽsjɐ
irresponsável,iʁɨʃpõsabɛl
subtraio,subtɾaju
fungível,fũʒivɛl
lhas,ʎɐʃ
endovenoso,ẽdɔvɨnozu
começara,kumɨsaɾɐ
interventivo,ĩtɨɾvẽtivu
antigenoma,ɐ̃tiʒɨnomɐ
belicosos,bɨlikɔzuʃ
fresco,fɾɛʃku
latiste,lɐtiʃtɨ
gata,ɡatɐ
rastejar,ʁɐʃtɨʒaɾ
canaviais,kɐnɐvjajʃ
polvilhar,polviʎaɾ
eco,ɛku
toronto,tuɾõtu
frol,fɾɔl
exsicar,eʃsikaɾ
tranco,tɾɐ̃ku
marrano,mɐʁɐnu
antijaponês,ɐ̃tiʒɐpuneʃ
desrespeito,dɨʒʁɨʃpɐjtu
carreira,kɐʁejɾɐ
reverência,ʁɨbɨɾẽsjɐ
odiável,ɔdjavɛl
geladinho,ʒɨlɐdiɲu
goteira,ɡuteɾɐ
plotador,plutɐdoɾ
rolha,ʁoʎɐ
perspetivar,pɨɾʃpɛtivaɾ
excessivo,ejʃɨsivu
lagartear,lɐɡɐɾtjaɾ
paciência,pɐsjẽsjɐ
registrável,ʁɨʒiʃtɾavɛl
antiprogresso,ɐ̃tipɾuɡɾɛsu
andebol,ɐ̃dɨbɔl
esmola,iʒmɔlɐ
conseguível,kõsɨɡivɛl
migo,miɡu
despedido,dɨʃpɨdidu
magrebe,maɡɾɛbɨ
gueixa,ɡeʃɐ
informações,ĩfuɾmɐsõj̃ʃ
remanescente,ʁɨmɐnɨʃsẽtɨ
vexame,bɛt͡ʃɐmɨ
maça,masɐ
adversativamente,ɐdbɨɾsɐtibɐmẽtɨ
desperceber,dɨʃpɨɾsɨbeɾ
ignácio,iɡnasju
enlace,ẽlasɨ
célia,sɛljɐ
viessem,vjɛsɐ̃j̃
kwanza,kwɐ̃zɐ
circuncentro,siɾkũsẽtɾu
gnu,ɡɨnu
atuária,ɐtwaɾjɐ
aceno,ɐsɛnu
fisiólogo,fizjɔluɡu
canabrás,kɐnɐbɾaʃ
desastres,dɨzaʃtɾɨʃ
ruga,ʁuɡɐ
navegável,nɐbɨɡabɛl
sinóptico,sinɔptiku
detém,dɨtɐ̃j̃
antiplasmodial,ɐ̃tiplɐʒmudjal
confidência,kõfidẽsjɐ
carbeto,kɐɾbetu
censurava,sẽsuɾavɐ
comêreis,kumeɾejʃ
penteado,pẽtjadu
fascismo,faʃsiʒmu
êxtase,ejʃtɐzɨ
elaborado,ilɐbuɾadu
hipócrita,ipɔkɾitɐ
ativador,ativɐdoɾ
atlético,ɐtlɛtiku
poltava,pɔltavɐ
atucanariam,ɐtukɐnɐɾiɐ̃w̃
pediam,pɨdiɐ̃w̃
basculho,bɐʃkuʎu
xavasca,ʃɐbaʃkɐ
superfície,supeɻfisje
grafólogas,ɡɾɐfɔluɡɐʃ
açafate,ɐsɐfatɨ
choveríeis,ʃuvɨɾiɐjʃ
bibliomaníaco,bibljɔmɐniɐku
acrescentou,ɐkɾɨʃsẽtow
sextar,seʃtaɾ
biótico,bjɔtiku
acentua,ɐsẽtuɐ
antinatureza,ɐ̃tinɐtuɾezɐ
influenciar,ĩflwẽsjaɾ
ruiu,ʁwiw
pintar,pĩtaɾ
seletivamente,sɨlɛtibɐmẽtɨ
amadeu,ɐmɐdew
achocolatasse,ɐʃukulɐtasɨ
homoafetivo,ɔmɔɐfɛtivu
pagando,pɐɡɐ̃du
conservadorismo,kõsɨɾbɐduɾiʒmu
actinomorfo,ɐktinɔmɔɾfu
texeira,tɨʃɐjɾɐ
arquitetónico,ɐɾkitɛtɔniku
gramaticalmente,ɡɾɐmɐtikalmẽtɨ
voltas,bɔltɐʃ
algum,alɡũ
maragateia,mɐɾɐɡɐtɐjɐ
motociclista,mɔtɔsikliʃtɐ
irracional,iʁɐsjunal
besteirol,bɨʃteɾɔl
bênção,bẽsɐ̃w̃
sustentável,suʃtẽtabɛl
verbal,bɨɾbal
gravímetros,ɡɾɐvimɨtɾuʃ
morrendo,muʁẽdu
benjamim,bẽʒɐmĩ
exterminada,ɐjʃtɨɾminadɐ
valsa,balsɐ
experiência,ɐjʃpɨɾjẽsjɐ
falamos,fɐlɐmuʃ
corcéis,kuɾsɛjʃ
tome,tɔmɨ
aventureiro,ɐvẽtuɾejɾu
herdeiro,eɾdejɾu
coelhinho,kwɨʎiɲu
totó,tɔtɔ
desvelar,dɨʒbɨlaɾ
antecâmara,ɐ̃tɨkɐmɐɾɐ
herdeiro,ɛɾdɐjɾu
deteriorar,dɨtɨɾjuɾaɾ
hiperboloide,ipɛɾbulɔjdɨ
emperrar,ẽpɨʁaɾ
endoutrinar,ẽdotɾinaɾ
fez,feʃ
fonema,funemɐ
cadeirona,kɐdeɾonɐ
aliviadouro,ɐlivjɐdowɾu
enchimento,ẽt͡ʃimẽtu
panar,pɐnaɾ
custar,kuʃtaɾ
mordóvia,muɾdɔbjɐ
multávamos,multabɐmuʃ
visitante,bizitɐ̃tɨ
indolor,ĩduloɾ
pitaia,pitajɐ
investigação,ĩbɨʃtiɡɐsɐ̃w̃
riscará,ʁiʃkɐɾa
infetuosidade,ĩfɛtwuzidadɨ
obreia,ɔbɾejɐ
antilegislativo,ɐ̃tilɨʒiʒlɐtivu
dinheirama,diɲɐjɾɐmɐ
tonalidade,tunɐlidadɨ
recomenda,ʁɨkumẽdɐ
monotremado,mɔnɔtɾɨmadu
reparar,ʁɨpɐɾaɾ
nascer,nɐseɾ
acelere,ɐsɨlɛɾɨ
trançará,tɾɐ̃sɐɾa
farto,faɾtu
trovador,tɾuvɐdoɾ
imprimir,ĩpɾimiɾ
sardo,saɾdu
etnomusicologia,ɛtnumuzikuluʒiɐ
tietê,tjɛte
teima,tɐjmɐ
ovelha,ɔvɐjʎɐ
equilíbrio,ekilibɾju
round,raw̃d͡ʒ
reprogramo,ʁɨpɾuɡɾɐmu
quebradeira,kɨbɾɐdeɾɐ
harpa,aɾpɐ
progressiva,pɾuɡɾɨsivɐ
essencialmente,isẽsjalmẽtɨ
ganho,ɡaɲu
lançando,lɐ̃sɐ̃du
empatem,ẽpatɐ̃j̃
amainar,ɐmajnaɾ
pinhão,piɲɐ̃w̃
altruisticamente,altɾwiʃtikɐmẽtɨ
látego,latɨɡu
provincial,pɾuvĩsjal
samaria,sɐmɐɾiɐ
live,lajvɨ
tenência,tɨnẽsjɐ
desaprovar,dɨzɐpɾubaɾ
amarelar,ɐmɐɾɨlaɾ
antibiograma,ɐ̃tibiɔɡɾɐmɐ
antissepticamente,ɐ̃tisɛptikɐmẽtɨ
cesareia,sɨzɐɾeɐ
califórnia,kɐlifɔɾnjɐ
equilibrar,ikilibɾaɾ
milanesa,milɐnezɐ
sexual,sɛkswal
raul,ʁɐul
haia,ajɐ
substancial,subʃtɐ̃sjal
doutorzinho,dowtoɾziɲu
baixa,bajʃɐ
apêndice,ɐpẽdisɨ
hóspede,ɔʃpɨdɨ
homófona,ɔmɔfunɐ
pigmento,piɡmẽtu
desajustada,dɨzɐʒuʃtadɐ
dali,dɐli
consumível,kõsumivɛl
maceteares,mɐsɨtjaɾɨʃ
desvairar,dɨʒbajɾaɾ
antipredatório,ɐ̃tipɾɨdɐtɔɾju
sanguinho,sɐ̃ɡiɲu
terabit,tɛɾabiti
acessoriamente,ɐsɨsɔɾjɐmẽtɨ
presentear,pɾɨzẽtjaɾ
apazigueis,ɐpɐziɡwejʃ
flagelo,flɐʒɛlu
euforia,ewfuɾiɐ
terias,tɨɾiɐʃ
golfinho,ɡɔlfiɲu
astronauta,aʃtɾɔnawtɐ
traz,tɾaʃ
vinil,vɨnil
atrativamente,ɐtɾatibɐmẽtɨ
mónica,mɔnikɐ
maranhense,mɐɾɐɲẽsɨ
capelães,kɐpɨlɐ̃j̃ʃ
espesso,iʃpesu
cor,koɾ
midas,midɐʃ
cercamos,sɨɾkɐmuʃ
abro,abɾu
pois,pojʃ
vingará,vĩɡɐɾa
anticonvulsivo,ɐ̃tikõvulsivu
saudavelmente,sɐudavɛlmẽtɨ
truco,tɾuku
bocejo,buseʒu
viésseis,vjɛsɐjʃ
ceara,sjaɾɐ
antilivros,ɐ̃tilivɾuʃ
mascarar,mɐʃkɐɾaɾ
onomástico,ɔnumaʃtiku
gâmbia,ɡɐ̃bjɐ
chiumba,ʃjũɱbɐ
barricada,bɐʁikadɐ
ciclope,siklɔpɨ
desdobramento,dɨʒdubɾɐmẽtu
lactodensímetro,laktɔdẽsimɨtɾu
hipovolémicos,ipɔvulɛmikuʃ
inegavelmente,inɨɡavɛlmẽtɨ
vogará,buɡɐɾa
divisados,dibizaduʃ
vermelho,bɨɾmeʎu
extraoficial,ɛjʃtɾɐɔfisjal
turíngia,tuɾĩʒjɐ
requisito,ʁɨkizitu
queima,kejmɐ
versáteis,vɨɾsatejʃ
epopeia,ipupeɐ
equívoco,ekivuku
cultivar,kultivaɾ
evangelizar,ibɐ̃ʒɨlizaɾ
moverá,muvɨɾa
vigor,viɡoɾ
limítrofe,limitɾufɨ
regente,ʁɨʒẽtɨ
gravitacionalmente,ɡɾɐvitɐsjunalmẽtɨ
corações,kɔɾɐsõj̃ʃ
major,mɐʒoɾ
bug,bɐɡɨ
claramente,klaɾɐmẽtɨ
ocidental,ɔsidẽtal
duodécimo,dwɔdɛsimu
capachinho,kɐpɐt͡ʃiɲu
vascaíno,bɐʃkɐinu
comover,kumubeɾ
violência,vjulẽsjɐ
inopinado,inupinadu
ferrenha,fɨʁɐjɲɐ
injúria,ĩʒuɾjɐ
descalabro,dɨʃkɐlabɾu
sonolentíssimo,sunulẽtisimu
amanhar,ɐmɐɲaɾ
enxó,ẽʃɔ
metronómica,mɨtɾunɔmikɐ
trotará,tɾutɐɾa
nasço,naʃsu
cominação,kuminɐsɐ̃w̃
normativo,nɔɾmɐtibu
carregadora,kɐʁɨɡɐdoɾɐ
refazem,ʁɨfazɐ̃j̃
destrutividade,dɨʃtɾutibidadɨ
indecente,ĩdɨsẽtɨ
anticompetitividade,ɐ̃tikõpɨtitibidadɨ
coração,kuɾɐsɐ̃w̃
antitrabalhadores,ɐ̃titɾɐbɐʎɐdoɾɨʃ
propor,pɾupoɾ
é,ɛ
brucista,bɾusiʃtɐ
minará,minɐɾa
vilão,bilɐ̃w̃
antilegal,ɐ̃tilɨɡal
declaração,dɨklɐɾɐsɐ̃w̃
adenotonsilectomia,ɐdɛnɔtõsilɛktumiɐ
mexericar,mɨʃɨɾikaɾ
lealmente,ljalmẽtɨ
descuidadamente,dɨʃkujdadɐmẽtɨ
elevado,ilɨbadu
amigdalite,ɐmiɡdɐlitɨ
chova,ʃovɐ
desconstruir,dɨʃkõʃtɾuiɾ
antimídia,ɐ̃timidjɐ
loa,loɐ
absceder,ɐbʃɨdeɾ
cambalhota,kɐ̃bɐʎɔtɐ
berguilha,bɨɾɡiʎɐ
cronicamente,kɾɔnikɐmẽtɨ
recomendar,ʁɨkumẽdaɾ
entregar,ẽtɾɨɡaɾ
goiabeira,ɡojɐbejɾɐ
leia,lɐjɐ
fiará,fjɐɾa
guineense,ɡinjẽsɨ
quadro,kwadɾu
tauoca,tawɔkɐ
apúlia,apuljɐ
camelo,kɐmelu
deputar,dɨputaɾ
influência,ĩfluẽsjɐ
pápula,papulɐ
peixinho,peʃiɲu
abissínio,ɐbisinju
ununóctio,ununɔktju
varrer,vɐʁeɾ
enganar,ẽɡɐnaɾ
antipoeira,ɐ̃tipwejɾɐ
margarida,mɐɾɡɐɾidɐ
pauis,pɐujʃ
vanderlei,vɐ̃dɛɾle
vaze,bazɨ
penalidade,pɨnɐlidadɨ
antientrópico,ɐ̃tiẽtɾɔpiku
severidade,sɨvɨɾidadɨ
tropa,tɾɔpɐ
conhecível,kuɲɨsivɛl
aquiescer,ɐkjɛʃeɾ
administrador,ɐdmniʃtɾɐdoɾ
contracetivo,kõtɾɐsɛtibu
tornar,tuɹnaɹ
monótono,munɔtunu
instintivos,ĩʃtĩtivuʃ
alhambra,ɐʎɐ̃bɾɐ
jibuti,ʒibuti
microarquitetura,mikɾɔɐɾkitɛtuɾɐ
etnolinguística,ɛtnɔlĩɡwiʃtikɐ
algures,alɡuɾɨʃ
iva,ibɐ
vascaínos,bɐʃkɐinuʃ
aerossol,ɐɛɾɔsɔl
competidora,kõpɨtidoɾɐ
dividiria,dividiɾiɐ
louça,lowsɐ
pássaro,pasɐɾu
hamburger,ɐ̃buɾɡɛɾ
antirrugas,ɐ̃tiʁuɡɐʃ
cucos,kukuʃ
auscultar,awʃkultaɾ
brodo,bɾɔdu
fêvera,febɨɾɐ
brigantino,bɾiɡɐ̃tinu
maragateamos,mɐɾɐɡɐtjɐmuʃ
giratório,ʒiɾɐtɔɾju
duunvirato,duũviɾatu
incerto,ĩsɛɾtu
dedurar,dɨduɾaɾ
átropos,atɾupuʃ
recalque,ʁɨkalkɨ
colcheia,kolʃɐjɐ
microbiólogo,mikɾɔbjɔluɡu
ego,ɛɡu
azuleijo,ɐzuleʒu
abobrinha,ɐbɔbɾiɲɐ
digerir,diʒɨɾiɾ
escanho,iʃkɐɲu
subdivisão,subdivizɐ̃w̃
filas,filɐʃ
engraxadora,ẽɡɾaʃɐdoɾɐ
estival,iʃtival
campista,kɐ̃piʃtɐ
atucanareis,ɐtukɐnɐɾejʃ
letónia,lɨtɔnjɐ
janeirento,ʒɐnejɾẽtu
lareira,lɐɾeɾɐ
antropomorfista,ɐ̃tɾɔpɔmuɾfiʃtɐ
cavaleria,kɐbɐlɨɾiɐ
latira,lɐtiɾɐ
origâmi,ɔɾiɡɐmi
amarelo,ɐmɐɾɛlu
astral,ɐʃtɾal
esaú,izɐu
inutilmente,inutilmẽtɨ
antiarrítmico,ɐ̃tiɐʁitmiku
penedo,pɨnedu
espirómetro,iʃpiɾɔmɨtɾu
soçobrar,susubɾaɾ
civis,siviʃ
repreensível,ʁɨpɾiẽsibɛl
gesso,ʒesu
estribo,iʃtɾibu
triângulo,tɾiɐ̃ɡulu
javali,ʒɐbɐli
achega,ɐʃeɡɐ
eme,ɛmɨ
zeus,zewʃ
trabalhado,tɾɐbɐʎadu
antibiofilme,ɐ̃tibiɔfilmɨ
voante,vwɐ̃tɨ
factoide,fɐktɔjdɨ
recusando,ʁɨkuzɐ̃du
campesina,kɐ̃pɨzinɐ
respeitadora,ʁɨʃpetɐdoɾɐ
solapa,sulapɐ
catinguei,kɐtĩɡe
arcaicas,ɐɾkajkɐʃ
colniza,kɔlnizɐ
lacração,lɐkɾɐsɐ̃w̃
inspetora,ĩʃpɛtoɾɐ
carnaval,kɐɾnɐval
humilhação,umiʎɐsɐ̃w̃
doutrina,dotɾinɐ
açucena,ɐsusenɐ
meio,meu
antiteatro,ɐ̃titjatɾu
sexologia,sɛksuluʒiɐ
ousar,ozaɾ
ipanema,ipɐnemɐ
multáramos,multaɾɐmuʃ
convidada,kõbidadɐ
fragata,fɾɐɡatɐ
viúvo,vjuvu
países,pɐizɨʃ
ómega,ɔmɨɡɐ
bulcão,bulkɐ̃w̃
migué,miɡɛ
veda,bɛdɐ
aritmancia,ɐɾitmɐ̃siɐ
voltando,vɔltɐ̃du
criminológico,kɾiminulɔʒiku
pire,piɾɨ
virias,viɾiɐʃ
autónomas,awtɔnumɐʃ
oculista,ɔkuliʃtɐ
