coch,koːχ
cynghrair,kəŋr̥ai̯r
talwn,taːlʊn
trwsio,trʊsjɔ
thybaco,θəbakɔ
lysiau,lɪsjɛ
beibl,bei̯bl
tryfer,trəvɛr
llwydfelyn,ɬʊi̯dveːlɪn
llesteiriannau,ɬɛsdei̯rjanai̯
cymdogaeth,kəmdoːɡai̯θ
nghysgod,ŋ̊əsɡɔd
phortiwgaleg,fɔrtɪu̯ɡaːlɛɡ
nharianau,n̥arjanɛ
chinio,χɪnɔ
ddrama,ðraːma
cyfarwydd,kəvaːrʊi̯ð
lliwgar,ɬɪu̯ɡar
uchelwr,ɪχeːlʊr
u,iːbɛdɔl
llawfeddyg,ɬau̯vɛðɪɡ
deunaw,dei̯nau̯
chwyrn,ʍɪrn
rhwyfo,r̥ʊi̯vɔ
traethodau,trei̯θɔdɛ
gyrraedd,ɡərað
putain,pɪtai̯n
huan,hian
adargraffiadau,adarɡrafjaːdɛ
aber,aːbɛr
droi,drɔi̯
lleianaeth,ɬei̯aːnɛθ
athrodi,aθrɔdi
prynon,prənɔn
brenin,breːnɪn
nhitw,n̥ɪtu
diodydd,diɔdɪð
carem,kaːrɛm
ceubal,kei̯bal
lesddeiliaid,leːsðei̯ljɛd
dala,dala
gynradd,ɡənrað
weilch,wei̯lχ
nilledyn,nɪɬeːdɪn
penfelen,penveːlɛn
cyfarwyddwyr,kəvarʊi̯ðwɪr
tydw,tədu
ngŵyr,ŋʊi̯r
pibau,piːbɛ
bwriadol,bʊrjadɔl
leicio,lei̯kjɔ
aller,aɬɛr
medren,mɛdrɛn
rhegion,r̥ɛɡjɔn
ngwinoedd,ŋwɪnɔi̯ð
salw,salu
mlas,mlaːs
hoed,hoːd
nadroedd,nadrɔi̯ð
lydanbigau,lədambiːɡɛ
phrynu,frəni
mad,maːd
diwyr,diʊi̯r
drwyddedau,drʊi̯ðɛdai̯
affwysedd,afʊi̯sɛð
bur,biːr
dianc,diːaŋk
biniau,bɪnjai̯
gwybodaeth,ɡwəbɔdai̯θ
cer,kɛr
conwydd,kɔnwɪð
char,χar
nghroeso,ŋ̊rɔi̯sɔ
cydseiniol,kɪdsei̯jɔl
anafais,anaːvai̯s
mehefin,mɛhɛvɪn
mlwyddyn,mlʊi̯ðɪn
lasgoch,lasɡɔχ
dysprosiwm,dɪsbrɔsjʊm
theatr,θeːatar
anghyfforddus,aŋhəfɔrðɪs
thudalen,θɪdalɛn
derbynfa,dɛrbənva
hendrefa,hɛndreːva
phecyn,fɛkɪn
gynnyn,ɡənɪn
nharianau,n̥arjaːnai̯
bord,bɔrd
wyneb,ʊi̯nɛb
cyfodi,kəvɔdi
peniadau,pɛnjadai̯
habatai,habatai̯
cyfweliad,kəvwɛljad
ddelach,ðɛlaχ
cecraeth,kɛkrai̯θ
perchennog,pɛrχɛnɔɡ
penfelyn,pɛnveːlɪn
silindr,sɪlɪndr
caeredin,kai̯rɛdɪn
hafodydd,havɔdɪð
isteitl,iːsdei̯tl
rho,r̥oː
timoedd,tiːmɔi̯ð
cogau,kɔɡɛ
grist,ɡrɪst
eirwen,ei̯rwɛn
dirmygus,dɪrməɡɪs
arolygiadau,arɔləɡjaːdai̯
mwyeilch,mui̯ei̯lχ
cwympo,kwɪmpɔ
meddai,mɛðai̯
darllena,darɬeːna
llall,ɬaːɬ
echrydu,ɛχrədi
ffrwydrolyn,frʊi̯droːlɪn
ceredigion,kɛrɛdɪɡjɔn
torrem,tɔrɛm
gorfodog,ɡɔrvɔdɔɡ
trefydd,treːvɪð
dosbarthiadau,dɔsbarθjaːdai̯
hafgysgu,havɡəsɡi
britheg,briθɛɡ
nghanlyniadau,ŋ̊anlənjaːdɛ
hon,hɔn
unllygeidiog,iːnɬəɡei̯djɔɡ
copïwyr,kɔpiːwɪr
goror,ɡoːrɔr
addasrwydd,aðasrʊi̯ð
ân,aːn
dycpwyd,dəkpʊi̯d
cymer,kəmɛr
baglu,baɡli
finnau,vɪnai̯
ffindir,əfɪndɪr
duw,dɪu̯
barcio,barkjɔ
ffa,faː
benywod,bɛnəu̯ɔd
canadaidd,kanaːdɛð
dwyrain,dʊi̯rain
briciau,brikjɛ
neiniau,nei̯njɛ
hollbwysig,hɔɬbʊi̯sɪɡ
ngwybodaeth,ŋʊi̯boːdai̯θ
nghwch,ŋ̊ʊχ
arwerthiannau,arwɛrθjanai̯
asiedydd,asjɛdɪð
ymgorffori,əmɡɔrfoːri
mhris,m̥riːs
ticio,tɪkɔ
ngherddoriaeth,ŋ̊ɛrðɔrjɛθ
allanol,aɬanɔl
unem,ɪnɛm
chwyrnaf,χwərnav
ŵyll,ʊi̯ɬ
ddigwyddodd,ðɪɡwiːðɔð
darmstadtiwm,darmʃdatjʊm
gyson,ɡəsɔn
sebras,zebraz
hogyn,hɔɡɪn
gorchaw,ɡɔrχau̯
anghyfiawn,aŋ̊həvjau̯n
nest,neːsd
iselderau,ɪsɛldɛrai̯
lanaf,lana
ngherddi,ŋ̊ɛrði
poptai,pɔptai̯
unigolyn,ɪnɪɡɔlɪn
cwpanaid,kʊpanɛd
cyrhaeddwch,kərhai̯ðʊχ
noswaith,nɔswɛθ
nghambodia,ŋ̊ambɔdja
rywbeth,rʊbɛθ
milcant,milkant
promethiwm,prɔmɛθjʊm
gwth,ɡuːθ
nghamdreiglo,ŋ̊amdrei̯ɡlɔ
gain,ɡai̯n
heirin,hei̯rɪn
habadau,habaːdai̯
comiwnyddiaeth,kɔmɪu̯nəðjɛθ
iran,ɪran
paentiad,pei̯ntjad
hydoddydd,hədɔðɪð
adfywiadau,advɪu̯jadai̯
fether,vɛθɛr
gadael,ɡadai̯l
arwyddion,arʊi̯ðjɔn
gododd,ɡoːdɔð
unig,ɪnɪɡ
treigladau,treiɡlaːdai̯
camddealltwriaeth,kamðɛaɬdʊrjai̯θ
tostio,tɔsdjɔ
aeledau,ei̯lɛdai̯
daliadau,daljadai̯
gyfoethocaf,ɡəvɔi̯θɔka
sodor,sɔdɔr
stryd,sdriːd
mae,mai̯
anghytundebau,aŋhətɪndeːbai̯
roeddet,rɔi̯ðɛt
egyr,ɛɡɪr
pabydd,paːbɪð
tystlythyr,təsdləθɪr
sashimi,saʃɪmi
geneth,ɡɛnɛθ
dyma,dəma
eisoes,ei̯ʃɔi̯s
gampfa,ɡampva
cytûn,kətiːn
gini,ɡɪni
arhoswch,arhɔsʊχ
morgrugyn,mɔrɡriːɡɪn
gweinyddiaethau,ɡwei̯nəðjei̯θɛ
cyferbyniad,kəvɛrbənjad
nghnwd,ŋ̊nuːd
bengwin,bɛŋɡwɪn
anghlod,aŋhlɔd
degau,deːɡai̯
camau,kamɛ
chwiorydd,ʍioːrɪð
offeryn,ɔfeːrɪn
metel,mɛtɛl
aredaf,arɛdav
tyfu,təvi
eiliadau,ei̯ljadɛ
mynd,mɪn
phengwin,fɛŋɡwɪn
llywyddion,ɬəu̯əðjɔn
ffedog,fɛdɔɡ
deimlad,dei̯mlad
seintiau,sei̯ntjai̯
teclyn,tɛklɪn
sgynnoch,sɡənɔχ
cyfarwys,kəvaːrʊi̯s
heddiw,hɛðɪu̯
fleiddiau,vlei̯ðjɛ
anghanfyddadwy,aŋhanvəðaːdʊi̯
farfog,varvɔɡ
piwïaid,pɪu̯iːai̯d
lyfrau,ləvrai̯
adfyd,advɪd
arwerthiannau,arwɛrθjanɛ
bendigedig,bɛndɪɡɛdɪɡ
nes,nɛs
twrbanau,tʊrbanɛ
anghenus,aŋheːnɪs
oen,ɔi̯n
gyrgoed,ɡərɡɔi̯d
prifardd,priːvarð
haelwyd,hei̯lʊi̯d
afonol,avoːnɔl
nefoedd,nɛvɔi̯ð
thewi,θɛu̯i
hysgadan,həsɡaːdan
gwyddbwyll,ɡwɪðbʊi̯ɬ
dew,dɛu̯
cynuta,kənɪta
tales,taːlɛs
llythrennol,ɬəθrɛnɔl
adio,adjɔ
rygbi,rəɡbi
llaid,ɬai̯d
eisiau,iːʃɛ
templed,tɛmplɛd
ngwerinwr,ŋwɛriːnʊr
echryd,ɛχrɪd
gwrdd,ɡʊrð
prysglwyni,prəsɡlʊi̯ni
pipi,pɪpi
esgobion,ɛsɡɔbjɔn
goddef,ɡɔðɛ
sychu,səχi
tyngu,təŋi
cam,kam
adegau,adɛɡai̯
crymu,krəmi
arno,arnɔ
gorlifo,ɡɔrliːvɔ
wybodaeth,ʊi̯bɔdai̯θ
galw,ɡaːlu
ôl,oːl
rheiddiadur,r̥ei̯ðjaːdɪr
carafannau,karavanɛ
hin,hiːn
afonol,avɔnɔl
moron,mɔrɔn
eurwen,ei̯rwɛn
fwg,vuːɡ
telais,tɛlai̯s
enwogion,ɛnwɔɡjɔn
cafas,kavas
adfeiliedig,advei̯ljeːdɪɡ
wenoliaid,wɛnɔljai̯d
leision,lei̯ʃɔn
trefedigaethau,trɛvɛdɪɡei̯θɛ
fodur,vɔdɪr
daliadaethau,daljadei̯θɛ
bronnau,brɔnai̯
weddïo,wɛðiɔ
dugoch,dɪɡɔχ
nhrwyddedau,n̥rʊi̯ðeːdɛ
foron,vɔrɔn
tydy,tədi
dales,daːlɛs
fwyd,vʊi̯d
dymuno,dəmiːnɔ
roedd,roːð
ddeng,ðɛŋ
llwy,ɬʊi̯
pìn,pɪn
alban,əralban
pedr,pɛdr
anghytgordiau,aŋhətɡɔrdjɛ
ddafydd,ðaːvɪð
sawsiau,sau̯sjai̯
nhadau,n̥adɛ
tanagrod,tanaɡrɔd
cinio,kɪnjɔ
hyblyn,həbɬɪn
egwyl,eːɡʊi̯l
plwyf,plʊi̯v
gododd,ɡɔdɔð
glasgoch,ɡlasɡɔχ
pheidio,feidjɔ
genhinen,ɡɛnhiːnɛn
nei,nei̯
eirlysiau,ei̯rləsjɛ
ngorffennaf,ŋɔrfɛnav
slofacia,slɔvakja
plwyf,plʊi̯
noeth,nɔi̯θ
deunydd,dei̯nɪð
achres,aχrɛs
blentynnaidd,blɛntənai̯ð
gwenyn,ɡwɛnɪn
adwaenynt,adwei̯nɪnt
diwrnod,dwərnɔd
awydd,au̯ɪð
dolïau,dɔliɛ
garem,ɡaːrɛm
plentynnaidd,plɛntənɛð
gwestiwn,ɡwɛsdjʊn
gwaed,ɡwaːd
paned,paːnɛd
wystl,ʊi̯sdɪl
glöyn,ɡlɔɪn
cenna,kɛna
eneth,ɛnɛθ
brawychiadau,brau̯əχjadɛ
cofia,kɔvja
urdd,ɪrð
seithawd,sei̯θau̯d
hidlyddion,hɪdləðjɔn
fleiddiau,vlei̯ðjai̯
holi,hoːli
ngwybod,ŋʊbɔd
priodi,prjoːdi
darllenaist,darɬɛnai̯sd
thrwydded,θrʊi̯ðɛd
blodau,bloːdɛ
fynwes,vənwɛs
dyry,dəri
phyliau,fəljai̯
gelai,ɡeːlai̯
affliw,aflɪu̯
rhewlifoedd,r̥ɛu̯lɪvɔi̯ð
platfform,platfɔrm
aros,arɔs
dug,diːɡ
ystafell,sdaːvɛɬ
coron,kɔrɔn
bore,bɔrɛ
habatiroedd,habatiːrɔi̯ð
cansai,kansɛ
anawsterau,anau̯sdeːrɛ
chaledu,χalɛdi
ddisgwyl,ðɪsɡʊi̯l
chwech,χweːχ
hydoddyn,hədoːðɪn
anifail,anɪvai̯l
bysedd,bɪsɛ
saer,sai̯r
deirw,dei̯ru
athletau,aθlɛtɛ
hiliaeth,hɪljai̯θ
bwytaist,bɪtɛsd
harfbais,harvbai̯s
betroliwm,bɛtrɔljʊm
daflu,davli
tradwy,tradʊi̯
melltithio,mɛɬdɪθjɔ
unigryw,ɪnɪɡrɪu̯
dolffin,dɔlfɪn
goginioch,ɡɔɡɪnjɔχ
ciwcymbr,kɪu̯kəmbr
weinidog,wei̯nɪdɔɡ
streiciau,sdrei̯kjɛ
gwelais,ɡweːlɛs
tharian,θarjan
phopty,fɔpti
chwaer,waːr
dicter,dɪktɛr
cytgord,kətɡɔrd
gachai,ɡaːχai̯
dwedodd,dweːdɔð
gymedrolwr,ɡəmɛdrɔlʊr
adaryddion,adarəðjɔn
chwyth,hwiːθ
aceniadau,akɛnjaːdai̯
gwylogod,ɡʊi̯loːɡɔd
delo,deːlɔ
unedau,ɪnɛdɛ
cyfrannu,kəvrani
ieuenctid,jei̯ɛŋktɪd
llwyfandir,ɬʊi̯vandɪr
gedy,ɡeːdi
picls,pɪklz
got,ɡɔt
ysu,əsi
torchau,tɔrχɛ
gwrando,ɡwrandɔ
eleri,ɛlɛri
gludio,ɡlɪdjɔ
melys,mɛlɪs
tafarn,taːvarn
mochyn,moːχɪn
gwyll,ɡwɪɬ
iddewon,ɪðɛu̯ɔn
rhedwch,r̥eːdʊχ
chaleted,χalɛtɛd
phrifddinas,frɪvðɪnas
môn,moːn
ciwcymbrau,kɪu̯kəmbrai̯
ddelo,ðeːlɔ
mabwysiadu,mabʊi̯ʃaːdi
lawen,lau̯ɛn
croeso,krɔi̯sɔ
terfysgwyr,tɛrvəsɡwɪr
nhreisiwr,n̥rei̯sjʊr
plant,plant
ugain,iːɡai̯n
heli,heːli
phriodas,frjoːdas
cyll,kiːɬ
allforyn,aɬvoːrɪn
wybodaeth,wəbɔdai̯θ
llesol,ɬɛsɔl
mwnwgl,mʊnʊɡʊl
dewi,dɛu̯i
catholig,kaθoːlɪɡ
phaciodd,fakjɔð
gyfarfod,ɡəvarvɔd
gynnon,ɡənɔn
phigau,fɪɡai̯
harddach,harðaχ
ffos,foːs
cynt,kɪnt
manyleb,manəlɛb
chwerw,χweːru
wddwg,ʊðʊɡ
benywaidd,bɛnɪu̯ɛð
nghestyll,ŋ̊ɛsdɪɬ
eirin,ei̯rɪn
weladwy,wɛlaːdʊi̯
talaf,taːla
adnod,adnɔd
ffyn,fɪn
chwi,χwiː
amdano,amdaːnɔ
taranau,taraːnɛ
ustus,ɪsdɪs
nos,noːs
ddydd,ðiːð
mhwmpen,m̥ʊmpɛn
tewi,tɛu̯i
telynau,tɛlənai̯
anobaith,anoːbaiθ
harall,haːraɬ
ddarllenaist,ðarɬeːnai̯sd
cyn,kɪn
bryd,briːd
allai,aɬɛ
llongwr,ɬɔŋʊr
byddar,bəðar
cemeg,kɛmɛɡ
melyster,mɛləsdɛr
gerddoriaeth,ɡɛrðɔrjai̯θ
plymio,pləmjɔ
hugain,hɪɡai̯n
tegell,tɛɡɛɬ
galar,ɡalar
blingo,blɪŋɔ
act,akt
iddew,iːðɛu̯
ngherdded,ŋ̊ɛrðɛd
ngwybodaeth,ŋwɪbɔdɛθ
archseren,arχseːrɛn
symudais,səmɪdai̯s
cenedlaethau,kɛnɛdlei̯θai̯
ciwba,kɪu̯ba
gwaed,ɡwai̯d
arfodau,arvoːdai̯
sumbol,sɪmbɔl
wedd,weːð
ofn,ɔvɔn
boeth,bɔi̯θ
cynaeafu,knei̯avi
sefyllfa,sɛvəɬva
gylfinir,ɡəlviːnɪr
mynedadwy,mənɛdaːdʊi̯
osian,ɔʃan
bargeinio,barɡei̯njɔ
ddiweddar,ðɪu̯ɛðar
mhac,m̥ak
athrodwr,aθrɔdʊr
ebyrth,eːbɪrθ
amlygu,amləɡi
sefydlogi,sɛvədloːɡi
phrynoch,frənɔχ
philaon,fɪlaːɔn
chithau,χiːθai̯
helmedau,hɛlmeːdai̯
gani,ɡani
dywyll,dəʊi̯ɬ
bydded,bəðdɛd
unrhyw,ɪnrɪu̯
soddi,sɔði
rhagrith,r̥aɡrɪθ
athrod,aθrɔd
lwyn,lʊi̯n
siafio,ʃavɔ
nalen,naːlɛn
hwyaid,hʊi̯ɛd
pigau,pɪɡai̯
aberthau,abɛrθɛ
iwd,juːd
clwyd,klʊi̯d
talant,talant
adlamau,adlamai̯
barcud,barkɪd
abatiroedd,abatiːrɔi̯ð
tiwba,tɪu̯ba
fronlas,vrɔnlas
trymhau,trəmhai̯
digid,diːɡɪd
ngelyn,ŋɛlɪn
canai,kaːnɛ
gwyddelod,ɡwɪðɛlɔd
gythreuliaid,ɡəθrei̯ljai̯d
weriniaeth,wɛrɪnjai̯θ
töwr,toːʊr
triongl,triːɔŋl
adeiladweithiau,adei̯ladwei̯θjai̯
rhagoriaethau,r̥aɡɔrjei̯θai̯
meiddio,meiðjɔ
masen,masɛn
cyrsiau,kərʃɛ
perllan,pɛrɬan
pelydrau,pɛlədrɛ
lloriau,ɬɔrjai̯
chu,χiː
nghardinaliaid,ŋ̊ardɪnaljai̯d
ystlum,əsdlɪm
bannau,banai̯
welydd,wɛlɪð
neithiwr,nei̯θʊr
wddw,uːðu
mign,mɪɡɪn
tro,troː
nghlustdlws,ŋ̊lɪsdlʊs
tewyn,tɛu̯ɪn
chusan,χɪsan
thlodion,θlɔdjɔn
graddio,ɡraðjɔ
godon,ɡɔdɔn
cyllid,kəɬɪd
nisgyn,nɪʃɡɪn
dolur,dɔlɪr
afanen,avaːnɛn
chyrraedd,χərai̯ð
nghanu,ŋ̊ani
torlan,tɔrlan
mhig,m̥iːɡ
sbageti,sbaɡɛti
traed,trai̯d
fietnameg,vjɛtnamɛɡ
folt,vɔlt
crafu,kraːvi
glased,ɡlasɛd
llinyn,ɬɪnɪn
mwst,mʊsd
llw,ɬuː
archangel,arχaŋɛl
sgïo,sɡiɔ
adolygwyr,adɔləɡwɪr
leicio,lɪkɔ
mhei,m̥ei
cochen,koːχɛn
ymrysonydd,əmrəsoːnɪð
canadiaid,kanadjai̯d
becws,bɛkʊs
parthau,parθɛ
cerwch,keːrʊχ
hasiwm,hasjʊm
golosg,ɡɔlɔsɡ
merthyru,mɛrθərɪ
hwythau,hʊi̯θai̯
fydd,viːð
chodaist,χoːdɛsd
llwydo,ɬʊi̯dɔ
meithrinfeydd,mei̯θrɪnvei̯ð
desen,dɛsɛn
galar,ɡaːlar
goeg,ɡɔi̯ɡ
dorrai,dɔrɛ
cadarnhaol,kadarnhaːɔl
