görülmeyen,ɡœɾylmejen
seyahatimde,sejahatimde
yaptıracaktı,japtɯɾad͡ʒaktɯ
sürdürmeyi,syɾdyɾmeji
yapabilirsiniz,japabiliɾsiniz
ahenk,ahenk
yakalıyor,jakalɯjoɾ
tutumlu,tutumlu
şartta,ʃaɾtta
çizgisini,t͡ʃizɡisini
şarkıları,ʃaɾkɯlaɾɯ
sulasın,sulasɯn
kâtibi,kâtibi
kaynağının,kajnaɰɯnɯn
kırılacak,kɯɾɯlad͡ʒak
pekiştiren,pekiʃtiɾen
bilmez,bilmez
gaflettir,ɡaflettiɾ
yerleşik,jeɾleʃik
olacağını,olad͡ʒaɰɯnɯ
etkilenseniz,etkilenseniz
girişimini,ɡiɾiʃimini
oydu,ojdu
saldırıyor,saldɯɾɯjoɾ
duygular,dujɡulaɾ
kitabına,kitabɯna
tatsızlık,tatsɯzlɯk
karşılaşmıştı,kaɾʃɯlaʃmɯʃtɯ
takılırdı,takɯlɯɾdɯ
yine,jine
fonunun,fonunun
burçlularda,buɾt͡ʃlulaɾda
geleni,ɡeleni
sın,sɯn
çekilen,t͡ʃekilen
ciritli,d͡ʒiɾitli
eksiğiyle,eksiɰijle
niteleyen,nitelejen
yüzümün,jyzymyn
gruptan,ɡɾuptan
nazaran,nazaɾan
alabiliyorsunuz,alabilijoɾsunuz
bakmanızı,bakmanɯzɯ
hissediyor,hissedijoɾ
kelepçeli,kelept͡ʃeli
girildiğinde,ɡiɾildiɰinde
çalışmamdan,t͡ʃalɯʃmamdan
konudan,konudan
ittifak,ittifak
uçar,ut͡ʃaɾ
zannettiği,zannettiɰi
imkanının,imkanɯnɯn
ettin,ettin
merdiveni,meɾdiveni
prensesi,pɾensesi
üzeredir,yzeɾediɾ
içerdiği,it͡ʃeɾdiɰi
vazgeçmedi,vazɡet͡ʃmedi
liderine,lideɾine
yükseklerde,jyksekleɾde
bireyin,biɾejin
elden,elden
tür,tyɾ
yazıyı,jazɯjɯ
eleştirdi,eleʃtiɾdi
hazırlanıp,hazɯɾlanɯp
aparatı,apaɾatɯ
defterimi,defteɾimi
çekmiş,t͡ʃekmiʃ
macerasını,mad͡ʒeɾasɯnɯ
dayatılmış,dajatɯlmɯʃ
inen,inen
diyebiliyor,dijebilijoɾ
yum,jum
dolaşmaya,dolaʃmaja
yırtacak,jɯɾtad͡ʒak
düşmanımız,dyʃmanɯmɯz
sabrımız,sabɾɯmɯz
kaybetmiyorsunuz,kajbetmijoɾsunuz
kampüste,kampyste
birsürü,biɾsyɾy
düşmanlarımız,dyʃmanlaɾɯmɯz
barınmaz,baɾɯnmaz
hazırlıklarımız,hazɯɾlɯklaɾɯmɯz
bağlı,baɰlɯ
azaltılabilecek,azaltɯlabiled͡ʒek
idareciye,idaɾed͡ʒije
lise,lise
saklıyor,saklɯjoɾ
alalım,alalɯm
gelirdi,ɡeliɾdi
bekâr,bekâɾ
gezdirdikleri,ɡezdiɾdikleɾi
işin,iʃin
alırsınız,alɯɾsɯnɯz
renklerin,ɾenkleɾin
sütü,syty
verirler,veɾiɾleɾ
içersinde,it͡ʃeɾsinde
dönmüş,dœnmyʃ
pazarın,pazaɾɯn
rekorunu,ɾekoɾunu
öğreniyor,œɰɾenijoɾ
yitirmesinden,jitiɾmesinden
çocuğu,t͡ʃod͡ʒuɰu
musibeti,musibeti
mesai,mesai
halkaların,halkalaɾɯn
boşaltma,boʃaltma
semtlerinde,semtleɾinde
kaçırılmamış,kat͡ʃɯɾɯlmamɯʃ
başlamayacağı,baʃlamajad͡ʒaɰɯ
uçaklarının,ut͡ʃaklaɾɯnɯn
kazanmak,kazanmak
kareli,kaɾeli
yapraklar,japɾaklaɾ
elverişli,elveɾiʃli
birbirimize,biɾbiɾimize
arkadaştı,aɾkadaʃtɯ
kokulu,kokulu
çalışılmaktadır,t͡ʃalɯʃɯlmaktadɯɾ
yüzüm,jyzym
zekat,zekat
dağıtıyorsun,daɰɯtɯjoɾsun
giderseniz,ɡideɾseniz
rejimin,ɾeʒimin
tatlıyı,tatlɯjɯ
kalpak,kalpak
gülmüyor,ɡylmyjoɾ
açıyoruz,at͡ʃɯjoɾuz
etkisini,etkisini
düzlüğe,dyzlyɰe
belgesel,belɡesel
kesti,kesti
gitmenin,ɡitmenin
değiştirerek,deɰiʃtiɾeɾek
dezenfeksiyonunda,dezenfeksijonunda
girmekte,ɡiɾmekte
ormanların,oɾmanlaɾɯn
değmemiş,deɰmemiʃ
üzeri,yzeɾi
oyunculuğu,ojund͡ʒuluɰu
yeleli,jeleli
önceden,œnd͡ʒeden
içeriden,it͡ʃeɾiden
okumuşlardır,okumuʃlaɾdɯɾ
yasama,jasama
oldurup,olduɾup
şefkatli,ʃefkatli
çıkmayacaktır,t͡ʃɯkmajad͡ʒaktɯɾ
olmaktan,olmaktan
yapabilmek,japabilmek
müftülük,myftylyk
köylerinden,kœjleɾinden
ajanstan,aʒanstan
topraklarındaki,topɾaklaɾɯndaki
hovarda,hovaɾda
kanadın,kanadɯn
düşündüğü,dyʃyndyɰy
günlere,ɡynleɾe
ulaşmayacak,ulaʃmajad͡ʒak
eniştenin,eniʃtenin
ölçülürler,œlt͡ʃylyɾleɾ
alarma,alaɾma
hikâye,hikâje
kıymetimi,kɯjmetimi
cama,d͡ʒama
büyüyordu,byjyjoɾdu
oyuncak,ojund͡ʒak
karışımdan,kaɾɯʃɯmdan
yorumu,joɾumu
yavaşlayınca,javaʃlajɯnd͡ʒa
tanıyıp,tanɯjɯp
halletti,halletti
yerleşimcinin,jeɾleʃimd͡ʒinin
çeşitliliği,t͡ʃeʃitliliɰi
uçaklarla,ut͡ʃaklaɾla
ilgiliydik,ilɡilijdik
ihanet,ihanet
şartına,ʃaɾtɯna
iznini,iznini
baktığımda,baktɯɰɯmda
sinek,sinek
atalarına,atalaɾɯna
üzereydi,yzeɾejdi
örterek,œɾteɾek
gelişmeler,ɡeliʃmeleɾ
korusun,koɾusun
direk,diɾek
ihlali,ihlali
imana,imana
sözlerin,sœzleɾin
kaymak,kajmak
çıkmasıyla,t͡ʃɯkmasɯjla
zorunlu,zoɾunlu
galibi,ɡalibi
uçurumdan,ut͡ʃuɾumdan
sitelere,siteleɾe
seçmelerde,set͡ʃmeleɾde
süvarilerin,syvaɾileɾin
verip,veɾip
vardığı,vaɾdɯɰɯ
duraklar,duɾaklaɾ
yapın,japɯn
ortamı,oɾtamɯ
taarruz,taaɾɾuz
altlarında,altlaɾɯnda
bede,bede
yapabileceklerine,japabiled͡ʒekleɾine
tamamlarken,tamamlaɾken
değmiş,deɰmiʃ
beynini,bejnini
verdikten,veɾdikten
dişi,diʃi
tekneler,tekneleɾ
hatalı,hatalɯ
hayatınız,hajatɯnɯz
ağacını,aɰad͡ʒɯnɯ
şehirlerde,ʃehiɾleɾde
yaşlar,jaʃlaɾ
benzersiz,benzeɾsiz
soğuğu,soɰuɰu
kardeşiyle,kaɾdeʃijle
metodu,metodu
yaşatan,jaʃatan
yepyeni,jepjeni
engellemek,enɡellemek
arayışına,aɾajɯʃɯna
sebeplerini,sebepleɾini
tıkabasa,tɯkabasa
dokunduğumuz,dokunduɰumuz
işlerinin,iʃleɾinin
önemsiz,œnemsiz
beklentisini,beklentisini
yiyeceği,jijed͡ʒeɰi
hırlıyor,hɯɾlɯjoɾ
gene,ɡene
acılı,ad͡ʒɯlɯ
araştırma,aɾaʃtɯɾma
düğmeye,dyɰmeje
milyarlıktı,miljaɾlɯktɯ
tabiatla,tabiatla
başlanmış,baʃlanmɯʃ
desenli,desenli
vaziyetteler,vazijetteleɾ
ayırdım,ajɯɾdɯm
yanık,janɯk
zekice,zekid͡ʒe
gördüğü,ɡœɾdyɰy
skalası,skalasɯ
teklifine,teklifine
güzelliğinden,ɡyzelliɰinden
giderse,ɡideɾse
hazırladık,hazɯɾladɯk
yeterlilikleriyle,jeteɾlilikleɾijle
arama,aɾama
yargılanmışlar,jaɾɡɯlanmɯʃlaɾ
gönüllerini,ɡœnylleɾini
yanıtını,janɯtɯnɯ
ağrıtıcı,aɰɾɯtɯd͡ʒɯ
yedisi,jedisi
konuşabiliriz,konuʃabiliɾiz
takıntılarım,takɯntɯlaɾɯm
eğitimler,eɰitimleɾ
parçalayıp,paɾt͡ʃalajɯp
yorgunluk,joɾɡunluk
güçlerini,ɡyt͡ʃleɾini
kurulacak,kuɾulad͡ʒak
kemancıyı,kemand͡ʒɯjɯ
titremiyorsa,titɾemijoɾsa
ordusunda,oɾdusunda
klorlama,kloɾlama
sürdürebilmek,syɾdyɾebilmek
imkânsız,imkânsɯz
şüphe,ʃyphe
özellikli,œzellikli
lavaboya,lavaboja
hukuki,hukuki
mutfağı,mutfaɰɯ
hazinesinden,hazinesinden
oturuyor,otuɾujoɾ
egemen,eɡemen
yanındayım,janɯndajɯm
bilimin,bilimin
kullanarak,kullanaɾak
oynayamayacağımı,ojnajamajad͡ʒaɰɯmɯ
kapatıldığı,kapatɯldɯɰɯ
gerekmekte,ɡeɾekmekte
bakınırdım,bakɯnɯɾdɯm
dergilerde,deɾɡileɾde
telsizi,telsizi
yürümüştü,jyɾymyʃty
tenekeyi,tenekeji
dinamizmini,dinamizmini
plaklarını,plaklaɾɯnɯ
kolaycılığına,kolajd͡ʒɯlɯɰɯna
kurmak,kuɾmak
anlatmış,anlatmɯʃ
jeneratörüydü,ʒeneɾatœɾyjdy
yolunu,jolunu
atfediliyor,atfedilijoɾ
titizlikle,titizlikle
çarpıtan,t͡ʃaɾpɯtan
durmayı,duɾmajɯ
prova,pɾova
kaliteliydi,kalitelijdi
devlet,devlet
işleminin,iʃleminin
ulaşıyordu,ulaʃɯjoɾdu
belgesinden,belɡesinden
mesajlarımızın,mesaʒlaɾɯmɯzɯn
yola,jola
başlamıştır,baʃlamɯʃtɯɾ
santralinde,santɾalinde
varmaz,vaɾmaz
uyuyor,ujujoɾ
sokamayız,sokamajɯz
değnekten,deɰnekten
yazılıydı,jazɯlɯjdɯ
salonu,salonu
dertlerin,deɾtleɾin
tanımlanmış,tanɯmlanmɯʃ
düştü,dyʃty
bozuluyor,bozulujoɾ
oldular,oldulaɾ
meramını,meɾamɯnɯ
enerjinizle,eneɾʒinizle
böylesine,bœjlesine
düzenbazlar,dyzenbazlaɾ
şükür,ʃykyɾ
olduysa,oldujsa
çıkarak,t͡ʃɯkaɾak
dışişleri,dɯʃiʃleɾi
koko,koko
doğrultuda,doɰɾultuda
tanıyamayacağı,tanɯjamajad͡ʒaɰɯ
raporunda,ɾapoɾunda
dolandırıcılık,dolandɯɾɯd͡ʒɯlɯk
kıkır,kɯkɯɾ
evlerinde,evleɾinde
coğrafyaya,d͡ʒoɰɾafjaja
söylemektedir,sœjlemektediɾ
uyardılar,ujaɾdɯlaɾ
elektronik,elektɾonik
sağduyulu,saɰdujulu
yuvarlak,juvaɾlak
seçerler,set͡ʃeɾleɾ
şimdiki,ʃimdiki
tarihçesi,taɾiht͡ʃesi
halkın,halkɯn
koptuğu,koptuɰu
mağaraya,maɰaɾaja
hizasına,hizasɯna
yaratınca,jaɾatɯnd͡ʒa
flama,flama
canıma,d͡ʒanɯma
sıkıştırıp,sɯkɯʃtɯɾɯp
dönüştürdüğü,dœnyʃtyɾdyɰy
ağladı,aɰladɯ
tempo,tempo
eğer,eɰeɾ
söylemiyor,sœjlemijoɾ
belki,belki
iletişim,iletiʃim
acıma,ad͡ʒɯma
bölümünden,bœlymynden
arttı,aɾttɯ
saklambaç,saklambat͡ʃ
destanına,destanɯna
matarasıyla,mataɾasɯjla
seçicidirler,set͡ʃid͡ʒidiɾleɾ
salçalı,salt͡ʃalɯ
enerjik,eneɾʒik
izlenilmeğe,izlenilmeɰe
dağılıyor,daɰɯlɯjoɾ
çiçek,t͡ʃit͡ʃek
kurtulamaz,kuɾtulamaz
üzüldüğümü,yzyldyɰymy
radikal,ɾadikal
yapışın,japɯʃɯn
hocası,hod͡ʒasɯ
olmaktadır,olmaktadɯɾ
tanımladılar,tanɯmladɯlaɾ
yaşamaktadır,jaʃamaktadɯɾ
gezilere,ɡezileɾe
canından,d͡ʒanɯndan
yönlerden,jœnleɾden
özellikleri,œzellikleɾi
bakıyorlar,bakɯjoɾlaɾ
ilkokulu,ilkokulu
bulacak,bulad͡ʒak
arkadaşlarınızı,aɾkadaʃlaɾɯnɯzɯ
egemenlik,eɡemenlik
vermeleridir,veɾmeleɾidiɾ
ritüellerinde,ɾityelleɾinde
asıp,asɯp
eğlendirdi,eɰlendiɾdi
gökkuşağım,ɡœkkuʃaɰɯm
konuşursanız,konuʃuɾsanɯz
bakımlı,bakɯmlɯ
borina,boɾina
bekleriz,bekleɾiz
iyileşmesini,ijileʃmesini
sefere,sefeɾe
tutturulmuş,tuttuɾulmuʃ
zirvesinin,ziɾvesinin
ayındaki,ajɯndaki
irtifada,iɾtifada
belirleme,beliɾleme
baraj,baɾaʒ
üstlendiği,ystlendiɰi
düzenine,dyzenine
acemilik,ad͡ʒemilik
duvarlarda,duvaɾlaɾda
hesabı,hesabɯ
sağlayabilmiş,saɰlajabilmiʃ
yüzyıldan,jyzjɯldan
tutunmaya,tutunmaja
dolaşırmış,dolaʃɯɾmɯʃ
ekipmanı,ekipmanɯ
düşkündü,dyʃkyndy
duyulur,dujuluɾ
görüşlerinin,ɡœɾyʃleɾinin
kızımsın,kɯzɯmsɯn
yabancılaşma,jaband͡ʒɯlaʃma
sevdiğimiz,sevdiɰimiz
ızgaraya,ɯzɡaɾaja
sağlamak,saɰlamak
devinimlerle,devinimleɾle
yakışıklı,jakɯʃɯklɯ
et,et
evrenselliğin,evɾenselliɰin
komutanına,komutanɯna
olacağına,olad͡ʒaɰɯna
sayıldığının,sajɯldɯɰɯnɯn
esiyordu,esijoɾdu
dedemden,dedemden
asil,asil
teslimiyet,teslimijet
doğmadan,doɰmadan
diz,diz
dönsün,dœnsyn
beklenmedik,beklenmedik
üşüşmüş,yʃyʃmyʃ
batmadan,batmadan
ipucu,ipud͡ʒu
bembeyaz,bembejaz
umutlarımızı,umutlaɾɯmɯzɯ
duyarken,dujaɾken
gözlenmektedir,ɡœzlenmektediɾ
yeleği,jeleɰi
zamanlar,zamanlaɾ
beklide,beklide
otlarını,otlaɾɯnɯ
imkanım,imkanɯm
yüzler,jyzleɾ
pasaport,pasapoɾt
yazarlarından,jazaɾlaɾɯndan
merkezlerini,meɾkezleɾini
çalış,t͡ʃalɯʃ
yeryüzünü,jeɾjyzyny
terletici,teɾletid͡ʒi
dudaklarıma,dudaklaɾɯma
öyleyse,œjlejse
kader,kadeɾ
borçluyuz,boɾt͡ʃlujuz
hiçbiri,hit͡ʃbiɾi
evler,evleɾ
sahneden,sahneden
gidebilir,ɡidebiliɾ
kapitalistler,kapitalistleɾ
içimi,it͡ʃimi
yazıyordu,jazɯjoɾdu
muayeninin,muajeninin
üzülmüştü,yzylmyʃty
dedirtemezsiniz,dediɾtemezsiniz
içer,it͡ʃeɾ
oturmuş,otuɾmuʃ
arabalarıyla,aɾabalaɾɯjla
duyulmuyor,dujulmujoɾ
kolumu,kolumu
hududunda,hududunda
annelerin,anneleɾin
zorlanırdım,zoɾlanɯɾdɯm
yavrulamıştı,javɾulamɯʃtɯ
operasının,opeɾasɯnɯn
gazetesi,ɡazetesi
girişimlerine,ɡiɾiʃimleɾine
geçtik,ɡet͡ʃtik
yünleri,jynleɾi
yolunuzun,jolunuzun
avantajını,avantaʒɯnɯ
lüks,lyks
çekiyor,t͡ʃekijoɾ
dibinde,dibinde
müezzinin,myezzinin
yığın,jɯɰɯn
şu,ʃu
gözünden,ɡœzynden
hıristiyan,hɯɾistijan
işlenecek,iʃlened͡ʒek
göze,ɡœze
tik,tik
etkilerinin,etkileɾinin
bankanın,bankanɯn
görüşmelerine,ɡœɾyʃmeleɾine
yoğunlaştır,joɰunlaʃtɯɾ
dağbaşı,daɰbaʃɯ
çekilme,t͡ʃekilme
mesajlar,mesaʒlaɾ
hayata,hajata
yenilenmesinde,jenilenmesinde
öğretilmelidir,œɰɾetilmelidiɾ
yıkım,jɯkɯm
doldurur,dolduɾuɾ
ü,y
bize,bize
ulusu,ulusu
kabullenmemelerindendir,kabullenmemeleɾindendiɾ
basit,basit
sevgisiyle,sevɡisijle
burca,buɾd͡ʒa
anlamadığını,anlamadɯɰɯnɯ
kalemde,kalemde
hekimlerden,hekimleɾden
fikirler,fikiɾleɾ
dakikasında,dakikasɯnda
kariyerli,kaɾijeɾli
doğrusunu,doɰɾusunu
günümüzü,ɡynymyzy
gölgeler,ɡœlɡeleɾ
evlendiğini,evlendiɰini
bonus,bonus
sığınmışlar,sɯɰɯnmɯʃlaɾ
barış,baɾɯʃ
meydan,mejdan
kitabında,kitabɯnda
değillerdi,deɰilleɾdi
yerleşecek,jeɾleʃed͡ʒek
girmek,ɡiɾmek
çılgınların,t͡ʃɯlɡɯnlaɾɯn
kulağımdan,kulaɰɯmdan
hesaplaştığını,hesaplaʃtɯɰɯnɯ
tim,tim
eliyle,elijle
basıncı,basɯnd͡ʒɯ
sevmezler,sevmezleɾ
ama,ama
şişen,ʃiʃen
unvanını,unvanɯnɯ
rüyalardır,ɾyjalaɾdɯɾ
badanalı,badanalɯ
deposunda,deposunda
kullanılıyorsa,kullanɯlɯjoɾsa
besinin,besinin
bahçesine,baht͡ʃesine
içtik,it͡ʃtik
biletin,biletin
öğretemeyiz,œɰɾetemejiz
toprağını,topɾaɰɯnɯ
parçasının,paɾt͡ʃasɯnɯn
içine,it͡ʃine
ağacından,aɰad͡ʒɯndan
ölmüş,œlmyʃ
sporlar,spoɾlaɾ
anlaşıp,anlaʃɯp
yerin,jeɾin
önem,œnem
denli,denli
verdiğini,veɾdiɰini
onda,onda
yıldızlarıyla,jɯldɯzlaɾɯjla
arındırılmış,aɾɯndɯɾɯlmɯʃ
sayaçlarının,sajat͡ʃlaɾɯnɯn
amican,amid͡ʒan
törenine,tœɾenine
titreterek,titɾeteɾek
gerilim,ɡeɾilim
kavun,kavun
bomboş,bomboʃ
yattım,jattɯm
zevkli,zevkli
konuştum,konuʃtum
sunacak,sunad͡ʒak
korumalar,koɾumalaɾ
inmediklerini,inmedikleɾini
düşünmüyorum,dyʃynmyjoɾum
zorlanır,zoɾlanɯɾ
barikatlar,baɾikatlaɾ
ergenlik,eɾɡenlik
kuzini,kuzini
kurduğu,kuɾduɰu
birbirlerinin,biɾbiɾleɾinin
kazanınca,kazanɯnd͡ʒa
belgeli,belɡeli
sormuyor,soɾmujoɾ
görüntü,ɡœɾynty
oyunları,ojunlaɾɯ
organı,oɾɡanɯ
aylarca,ajlaɾd͡ʒa
sinirsel,siniɾsel
vedalaşmak,vedalaʃmak
dakikadan,dakikadan
trafiğindeyken,tɾafiɰindejken
sevmeyi,sevmeji
üstüne,ystyne
kesilmesi,kesilmesi
araçta,aɾat͡ʃta
takibe,takibe
açıklıyor,at͡ʃɯklɯjoɾ
sistemlerden,sistemleɾden
kazanacaksınız,kazanad͡ʒaksɯnɯz
akrabalarından,akɾabalaɾɯndan
yürütmesi,jyɾytmesi
galeri,ɡaleɾi
asmamıştır,asmamɯʃtɯɾ
çağda,t͡ʃaɰda
kafasını,kafasɯnɯ
iliklerinde,ilikleɾinde
kalçaları,kalt͡ʃalaɾɯ
bırakmasın,bɯɾakmasɯn
egemendi,eɡemendi
sayıyor,sajɯjoɾ
sürüm,syɾym
şenlik,ʃenlik
karnına,kaɾnɯna
yemekten,jemekten
istendi,istendi
alışmışlardı,alɯʃmɯʃlaɾdɯ
doğuruyor,doɰuɾujoɾ
kriz,kɾiz
şekline,ʃekline
vatandaşı,vatandaʃɯ
belirdiği,beliɾdiɰi
gençlik,ɡent͡ʃlik
dayanıksız,dajanɯksɯz
kurallar,kuɾallaɾ
buluşmanızda,buluʃmanɯzda
geçerler,ɡet͡ʃeɾleɾ
düşünceleri,dyʃynd͡ʒeleɾi
hepsi,hepsi
sivri,sivɾi
ışıklı,ɯʃɯklɯ
eşliğinde,eʃliɰinde
vakitti,vakitti
üzerime,yzeɾime
yorumlar,joɾumlaɾ
paraların,paɾalaɾɯn
devletlere,devletleɾe
yağ,jaɰ
kullandıklarında,kullandɯklaɾɯnda
babalarının,babalaɾɯnɯn
jetoncu,ʒetond͡ʒu
destek,destek
feraha,feɾaha
bozulmamalıdır,bozulmamalɯdɯɾ
yazılarının,jazɯlaɾɯnɯn
korunma,koɾunma
ulaşmıştır,ulaʃmɯʃtɯɾ
kalmadım,kalmadɯm
âleminde,âleminde
sonuçlarında,sonut͡ʃlaɾɯnda
öğrenebilirler,œɰɾenebiliɾleɾ
bırakmayıp,bɯɾakmajɯp
sevinmesi,sevinmesi
pudra,pudɾa
bulabilir,bulabiliɾ
soğutunca,soɰutund͡ʒa
gördüğümde,ɡœɾdyɰymde
tutamazlar,tutamazlaɾ
gündeminde,ɡyndeminde
belirtmiş,beliɾtmiʃ
ihlal,ihlal
ocağı,od͡ʒaɰɯ
sahibinin,sahibinin
sağlamlaşacak,saɰlamlaʃad͡ʒak
sona,sona
boğuşur,boɰuʃuɾ
muaf,muaf
öncesine,œnd͡ʒesine
atılabileceğini,atɯlabiled͡ʒeɰini
heybetli,hejbetli
yamaçlardaki,jamat͡ʃlaɾdaki
saltanatını,saltanatɯnɯ
kullanılmaktadır,kullanɯlmaktadɯɾ
ötesine,œtesine
işe,iʃe
kesen,kesen
görüntülenmeleri,ɡœɾyntylenmeleɾi
büyükannem,byjykannem
şekli,ʃekli
üstü,ysty
müebbete,myebbete
içmekten,it͡ʃmekten
ayrılmış,ajɾɯlmɯʃ
oynadıysa,ojnadɯjsa
vakur,vakuɾ
anlamını,anlamɯnɯ
yarattığınızdan,jaɾattɯɰɯnɯzdan
görümün,ɡœɾymyn
yazısıdır,jazɯsɯdɯɾ
ulaşamayabilirsiniz,ulaʃamajabiliɾsiniz
saptanmış,saptanmɯʃ
emiyor,emijoɾ
genişlemeler,ɡeniʃlemeleɾ
bırakıp,bɯɾakɯp
asla,asla
elbisesinden,elbisesinden
durduğunu,duɾduɰunu
protestoyu,pɾotestoju
şekeri,ʃekeɾi
tavrıyla,tavɾɯjla
yazısında,jazɯsɯnda
eşyaları,eʃjalaɾɯ
pazarında,pazaɾɯnda
çıkmazsa,t͡ʃɯkmazsa
tel,tel
ml,ml
tokmakla,tokmakla
buluyorum,bulujoɾum
tepsisine,tepsisine
çiğnendiğini,t͡ʃiɰnendiɰini
bilmişlerdir,bilmiʃleɾdiɾ
düzeltmeler,dyzeltmeleɾ
seçiliyordu,set͡ʃilijoɾdu
dayanağının,dajanaɰɯnɯn
cirosu,d͡ʒiɾosu
kaliteye,kaliteje
şartlı,ʃaɾtlɯ
verdik,veɾdik
petiri,petiɾi
göstericinin,ɡœsteɾid͡ʒinin
ayırttık,ajɯɾttɯk
sayıyordum,sajɯjoɾdum
rengârenktir,ɾenɡâɾenktiɾ
