interpretares,intərpɾətaɾəs
mato,mato
independentisme,independentizme
or,ɔɾ
miró,miɾo
orador,oɾədo
baixamar,bəʃəma
discrepant,diskɾəpant
terminologia,tərminuluʒiə
supletori,supletɔɾi
egipte,əʒiptə
entrellaçar,əntɾəʎəsa
completava,komplətavə
cinismes,sinizmes
venal,bənal
plomatge,plumad͡ʒə
tintorera,tintoɾeɾə
vociferades,vosifeɾades
diagonal,diəɡonal
expositives,əkspuzitibəs
disseminat,diseminat
sucades,sukades
macarró,makaro
acotades,əkotadəs
regenerada,rəʒənəɾadə
balener,baleneɾ
enamorades,ənəmoɾadəs
cinglo,sinɡlu
conviccions,kumbiksions
copejats,koped͡ʒats
sempitern,səmpitɛrn
antera,anteɾa
vergonyós,veɾɡoɲos
aviarem,əviəɾəm
pixaví,piʃəvi
fortor,furto
avies,əviəs
badallades,bədəʎadəs
genitiu,d͡ʒenitiw
veritable,veɾitable
cantautor,kəntəwto
polonés,pulunes
llarguerut,ʎərɡəɾut
negaves,nəɡabəs
vomitar,vomita
anaves,ənabəs
forjats,foɾʒats
professat,pɾufəsat
ajudo,ad͡ʒudo
ultramarí,ultɾamaɾi
codificacions,kodifikəsions
romesco,rumɛsku
estranyada,estɾaɲada
diplomat,diplumat
descartat,deskaɾtat
salada,salada
fiques,fikəs
esdeveniment,əzdəvəniment
colecistectomies,koləsistəktumiəs
oblidadissos,oblidadisos
magisteri,məʒistɛɾi
festiva,fəstivə
colesteatomes,koləsteətoməs
ressortits,rəsuɾtits
balma,balmə
encarnat,ənkərnat
rentades,rentades
despotisme,dəsputizmə
governarem,ɡubərnəɾɛm
evasiva,əbəzibə
desenterrades,dezenterades
alimentaris,əliməntaɾis
salades,səladəs
escorat,eskoɾat
colorímetres,koluɾimətɾəs
bengala,bənɡalə
comuniqués,komunikes
piuar,piwa
herbera,əɾbeɾə
bocarrudes,bukərudəs
hospitalitzat,ospitəlid͡zat
barrinada,bərinadə
desenfundar,dəzəmfunda
explosió,eksplozio
retornades,rəturnadəs
embutxacada,əmbut͡ʃəkadə
declinades,dəklinadəs
segregació,səɡɾəɡəsio
urna,urnə
madrid,madɾit
connotats,kunnutats
concessió,konsəsio
petricor,pətɾiko
abonada,abonada
conrear,konrea
escandinaus,eskandinaws
niuet,niwət
escabiós,əskəbios
tustada,tustadə
recordar,rəkurda
negaves,neɡaves
xalats,ʃəlats
carolí,kaɾoli
rememorades,rəməmuɾadəs
tomatera,tuməteɾə
agosarat,əɡuzəɾat
anamnesi,ənəmnɛzi
copejava,koped͡ʒava
irregular,irəɡula
nimfea,nimfɛə
demorar,dəmoɾa
untet,untet
alimentada,alimentada
hipofaringe,ipofaɾiɲd͡ʒe
encarnar,ənkəɾna
transnístria,tɾanznistɾia
farts,farts
oratjós,uɾəd͡ʒos
instructives,instɾuktives
acordada,əkurdadə
hindú,indu
successives,suksəsivəs
blai,blaj
corprenedor,kɔɾpɾənədo
exfoliats,əksfuliats
niobi,niɔbi
carnal,kərnal
papiament,papiament
espaventades,əspəvəntadəs
regalimada,rəɡəlimadə
piquem,pikɛm
nariu,nəɾiw
comandarem,koməndəɾəm
hospital,uspital
catolicismes,katolisizmes
enfrontar,emfɾontaɾ
excavar,əkskəba
soler,sole
errant,erant
filetejar,filətəʒa
pujada,pud͡ʒada
aproximades,əpɾoksimadəs
gratular,ɡɾatulaɾ
ampliar,əmplia
llengua,ʎenɡwa
saladina,saladina
tallades,taʎades
negaves,nəɡavəs
bugadera,buɡadeɾa
oradors,oɾadoɾs
americanitzar,əməɾikənid͡za
encabides,ənkəbidəs
junyent,d͡ʒuɲent
emmurallades,əmmuɾəʎadəs
engolides,enɡolides
pedestal,pedestal
sobrevolat,sobɾevolat
coralet,koɾələt
caixa,kajʃa
alternar,əltəɾna
fiades,fiades
forniquem,foɾnikəm
assossegar,əsusəɡa
estirabot,estiɾabot
alimentaris,alimentaɾis
dispositives,dispuzitibəs
fornits,foɾnits
círcol,siɾkol
recolzada,rəkolzadə
vampíric,bəmpiɾik
tetera,teteɾa
consideracions,konsidəɾəsions
dolors,dulos
protagonitzar,pɾotaɡonizaɾ
biga,biɡə
rebregats,rebɾeɡats
visitar,bizita
processades,pɾosəsadəs
banals,bənals
genial,ʒənial
antull,əntuʎ
incapacitar,inkəpəsita
galotxa,ɡəlɔt͡ʃə
potable,putablə
residit,rəzidit
marne,maɾne
influenciades,imfluensiades
xafogor,ʃəfoɡo
onça,onsa
embussada,embusada
esmicolada,əzmikoladə
bussos,busos
senegaleses,seneɡalezes
considera,konsideɾa
obsessives,opsəsivəs
murs,muɾs
carnudes,kərnudəs
esmunyit,əzmuɲit
comprensió,kumpɾənsio
ascensió,asensio
votares,butaɾəs
ormeig,oɾmet͡ʃ
exclusiva,ekskluziva
plasma,plazma
persignat,pərsiɡnat
macedonians,məsədunians
musicologia,muzikolod͡ʒia
vibratori,vibɾatɔɾi
abraham,əbɾəam
dividirem,dividiɾem
guardonar,ɡwəɾdona
plastificada,plastifikada
llatinitzat,ʎətinid͡zat
reprotxe,repɾɔt͡ʃe
peixos,pejʃos
escampat,əskəmpat
llostre,ʎostɾe
salvació,salvasio
lideratge,lideɾad͡ʒe
atrofiades,ətɾufiadəs
boxat,boksat
internades,intərnadəs
raucar,rawkaɾ
esponjar,espoɲd͡ʒaɾ
remolí,rəmuli
fumuts,fumuts
atorgar,ətoɾɡa
balcanitzat,balkanizat
perigús,pəɾiɡus
reportat,rəpurtat
exercit,əɡzəɾsit
cadernera,kadeɾneɾa
savina,səvinə
tellerina,təʎəɾinə
dessota,dəsotə
esquitxat,əskit͡ʃat
voladura,voladuɾa
vincle,vinkle
situats,situats
cadascun,kədəskun
extret,ekstɾet
nevós,nevos
subhastats,supastats
atent,ətent
encantades,ənkəntadəs
miríada,miɾiədə
hipofaringe,ipufəɾiɲʒə
margaridot,maɾɡaɾidɔt
entronitzats,əntɾonid͡zats
enmig,emmit͡ʃ
proverbi,pɾubɛrbi
renunciat,renunsiat
sagrat,səɡɾat
faja,faʒə
arriet,əriɛt
separables,səpəɾabləs
programar,pɾoɡɾamaɾ
desfigurat,desfiɡuɾat
oint,uint
escapades,eskapades
egoista,əɡuistə
esquitxó,əskit͡ʃo
amenitzar,əmənid͡za
temperar,təmpəɾa
xinxeta,ʃiɲʃɛtə
respiratori,respiɾatɔɾi
tralla,tɾaʎa
anglicans,ənɡlikans
viatger,viəd͡ʒe
patrullades,pətɾuʎadəs
fresc,fɾɛsk
vigor,viɡo
regat,reɡat
tendó,tendo
megafonia,məɡəfuniə
reorganitzada,reoɾɡanizada
broqueta,bɾokətə
valorat,valoɾat
formiga,foɾmiɡa
collonut,koʎunut
traçuda,tɾasuda
butaques,butakes
costera,kusteɾə
exclusió,ekskluzio
espaventada,espaventada
braçat,bɾasat
estigmatitzada,estiɡmatizada
rebuig,rebut͡ʃ
escampat,eskampat
esdevingudes,əzdəvinɡudəs
subregió,subɾəʒio
abonyegar,əboɲəɡa
cintes,sintəs
cordons,kurdons
cibulet,sibulət
atlant,ədlant
nafra,nafɾa
treballat,tɾebaʎat
innovar,innovaɾ
discriminades,diskɾiminadəs
suí,sui
morera,muɾeɾə
negligit,neɡlid͡ʒit
escrutats,eskɾutats
monarca,monaɾka
mamarem,mamaɾem
mataria,mətəɾiə
almirallessa,almiɾaʎesa
invectiva,imvəktivə
bonances,bunansəs
sendera,sendeɾa
cingle,sinɡle
afirmes,əfirməs
adorava,adoɾava
escut,eskut
universalitzades,unibərsəlid͡zadəs
insurgents,insuɾʒens
ígnies,iɡnies
animant,ənimant
canyeller,kaɲeʎeɾ
punt,pun
ciutadania,siwtadania
emboscar,əmbuska
vigilar,vid͡ʒilaɾ
atlanta,allanta
blava,blavə
lletó,ʎəto
estimant,əstimant
extermines,əkstərminəs
cisalla,sizaʎə
porradell,porədɛʎ
agregant,əɡɾəɡan
filtració,filtɾəsio
cúbits,kubits
menysvalorada,məɲʃbəluɾadə
desapareguts,dəzəpəɾəɡuts
galant,ɡəlant
cortesanes,koɾtəzanəs
centralitats,səntɾəlitats
follades,foʎadəs
desarreglats,dezareɡlats
taperera,təpəɾeɾə
recíproca,rəsipɾokə
arboradura,aɾboɾaduɾa
condicions,kondisions
confirmada,komfiɾmada
atrocitats,ətɾositats
remeiada,rəməjadə
perpetuant,pərpətuan
néta,neta
punxó,puɲʃo
estacionalitat,əstəsiunəlitat
desinflats,dəzimflats
mamut,mamut
detono,detɔno
desodorades,dezodoɾades
martiritzats,məɾtiɾid͡zats
tremuja,tɾəmuʒə
sobrepassares,subɾəpəsaɾəs
retenir,reteniɾ
tirella,tiɾeʎa
concorregudes,konkorəɡudəs
adquirits,ətkiɾits
troposfera,tɾoposfeɾə
embussat,embusat
tindria,tindɾia
alada,alada
regentats,rəʒəntats
adornats,adoɾnats
polaritat,poləɾitat
llavors,ʎəvos
perjudicats,pərʒudikats
oradores,uɾədoɾəs
perillo,peɾiʎo
motociclista,motosiklistə
adorades,əduɾadəs
llessamí,ʎesami
orelluts,uɾəʎuts
carterista,kərtəɾistə
molestada,molestada
txagatai,t͡ʃəɡətaj
concursant,konkuɾsant
ocupats,okupats
abdominal,əbduminal
harmonitzada,aɾmonizada
bisectriu,bisektɾiw
ressaltat,resaltat
embutxacar,əmbut͡ʃəka
branca,bɾanka
venerava,veneɾava
enquestats,enkestats
erroni,erɔni
exasperar,eɡzaspeɾaɾ
consideraria,kunsidəɾəɾiə
contares,kuntaɾəs
departida,dəpəɾtidə
olot,olot
vidriol,bidɾiɔl
marc,mark
conformat,komfoɾmat
exterminada,əkstəɾminadə
centrades,sentɾades
divinitzada,divinid͡zadə
cladística,kladistika
escombrats,eskombɾats
corresponsal,korəsponsal
lledó,ʎədo
arribats,aribats
detecció,deteksio
etiquetat,ətikətat
ingerides,iɲd͡ʒeɾides
ridorta,ridɔɾta
escopetada,əskupətadə
dantesc,dantesk
encunyada,enkuɲada
posidó,puzido
naturalització,nətuɾəlid͡zəsio
nyerro,ɲɛro
concentració,konsəntɾəsio
afectiva,afektiva
condicionada,kondisionada
altar,əlta
degotada,dəɡotadə
llivells,ʎiveʎs
compensar,kompənsa
filiar,filia
establerts,əstəblɛɾts
nevades,nəvadəs
guitarra,ɡitarə
esqual,eskwal
agitats,əʒitats
curtmetratge,kuɾmmətɾad͡ʒə
especificació,əspəsifikəsio
nahua,nawa
algutzir,əlɡud͡zi
ovalat,ovalat
contactava,kuntəktabə
fluixejar,fluʃəʒa
kuwait,kuvajt
escombradora,əskumbɾədoɾə
estigui,əstiɡi
sotragueig,sotɾəɡət͡ʃ
votaria,votəɾiə
tu,tu
deixis,dɛjʃis
nasalitzats,nəzəlid͡zats
idolatrat,idolətɾat
universalitzada,univəɾsəlid͡zadə
vestigi,vəstiʒi
setmanari,semmanaɾi
esponjar,əspoɲʒa
erecte,eɾekte
tumor,tumoɾ
exportava,ekspoɾtava
pintaria,pintaɾia
anarquia,ənəɾkiə
diagnosticada,diəɡnostikadə
minut,minut
centella,senteʎa
inoblidable,inublidablə
directiva,diɾektiva
assaborides,əsəbuɾidəs
explicació,eksplikasio
cabanera,kabaneɾa
usufructuari,uzufɾuktuaɾi
cordades,koɾdadəs
nicis,nisis
salze,salzə
adherit,ateɾit
pesolera,pəzoleɾə
avalats,əbəlats
taiwanesos,təjwənɛzus
obeir,ubəi
oportunitat,opoɾtunitat
anís,anis
cogomassa,koɡomasa
preparació,pɾəpəɾəsio
probable,pɾubablə
aspa,aspa
oval,oval
limbe,limbə
refutades,refutades
consuetud,konsuətut
niciesa,nisiəzə
invulnerable,imvulnəɾablə
cultivar,kultivaɾ
bocamolls,bukəmɔʎs
tamborer,təmboɾe
governa,ɡovɛɾnə
urbans,urbans
percala,peɾkala
dotació,dutəsio
pastilles,pəstiʎəs
persistides,pəɾsistidəs
reunificació,rəunifikəsio
esmorzar,ezmoɾzaɾ
vilipendiar,bilipəndia
elles,eʎes
poguts,puɡuts
bambolina,bəmbulinə
pesada,pezada
jugades,d͡ʒuɡades
subversiu,subbərsiw
cognitives,kuɡnitibəs
deliris,deliɾis
branquillons,bɾankiʎons
alarmes,əlaɾməs
borda,bɔɾdə
abreviades,əbɾəviadəs
adormida,adoɾmida
articulada,əɾtikuladə
criances,kɾianses
emportat,əmpurtat
xop,t͡ʃop
negrosa,neɡɾoza
eurocomunisme,əwɾokomunizmə
boxa,boksə
barreja,bared͡ʒa
urçol,ursɔl
ballats,baʎats
commocionar,kommosiona
reposada,rəpuzadə
rotació,rotasio
precises,pɾesizes
bombardejar,bombaɾded͡ʒaɾ
missa,misa
compulsives,kumpulsibəs
insinuats,insinuats
deixats,dəʃats
imparell,impəɾɛʎ
ensorrats,ensorats
culpar,kulpa
mortificats,moɾtifikats
vastes,vastes
corografia,koɾoɡɾafia
preferida,pɾəfəɾidə
polpeta,polpeta
enfocada,əmfukadə
balança,bəlansə
ovalada,ubəladə
bocamolles,bukəmɔʎəs
faldilla,fəldiʎə
fanalet,fanalet
contactarem,kontaktaɾem
escampada,əskəmpadə
falzilla,fəlziʎə
acostumats,əkustumats
compensem,kompensem
adopcions,ədupsions
costoja,kustoʒə
bestialitat,bəstiəlitat
endívia,əndibiə
opositor,opozito
sobreviscuts,sobɾeviskuts
lamentades,lamentades
rememorades,rəməmoɾadəs
grandiosos,ɡɾəndiozos
atemptat,ətəmtat
penjat,peɲd͡ʒat
enganxat,enɡaɲt͡ʃat
renovació,renovasio
ramal,rəmal
xerec,t͡ʃeɾɛk
gebre,d͡ʒebɾe
alentint,ələntint
internar,intəɾna
reafirmar,reəfiɾma
germinal,ʒərminal
ferreteria,fereteɾia
bac,bak
boia,bɔjə
gatzerí,ɡad͡zeɾi
contarem,kontəɾəm
abrasius,əbɾəziws
dantescs,dantesks
democratitzador,demokɾatizadoɾ
porradell,poradɛʎ
gruta,ɡɾuta
difondre,difondɾə
perforat,pəɾfoɾat
escombra,eskombɾa
acotxador,akot͡ʃadoɾ
socarrada,sukəradə
quadrat,kwədɾat
malicioses,məlisiozəs
opressiu,upɾəsiw
manipulació,mənipuləsio
rodanxa,rudaɲʃə
aclamar,aklamaɾ
pencats,pənkats
lesionat,ləziunat
fideuada,fidəwadə
escaure,əskawɾə
denotant,dənutan
rescatades,rəskətadəs
enzimologia,ənzimuluʒiə
tendir,tendiɾ
indiques,indikəs
genitius,ʒənitiws
deixatar,dejʃataɾ
abonats,əbonats
ambulants,əmbulans
forçaria,fursəɾiə
escarit,eskaɾit
abeurades,əbəwɾadəs
quaderna,kwədɛrnə
clapada,kləpadə
positivament,pozitivament
pedrada,pedɾada
congoixa,konɡojʃa
mugir,mud͡ʒiɾ
decor,dekoɾ
urbanística,uɾbənistikə
antipartícula,əntipərtikulə
carcaix,kaɾkajʃ
comprensió,kompɾənsio
pensament,pənsəment
separis,sepaɾis
nafrats,nəfɾats
llarga,ʎaɾɡə
advocar,abvokaɾ
reservada,rəzəɾvadə
opiata,upiatə
call,kaʎ
peptídic,pəptidik
socarrimar,sukərima
interuniversitari,inteɾuniveɾsitaɾi
palatí,pələti
enterbolit,enteɾbolit
compulsió,kumpulsio
objecte,ubʒɛktə
arrebossant,arebosant
copenhaguen,kupənaɡən
pseudovector,psewdovektoɾ
atrapar,atɾapaɾ
tassó,taso
circulades,siɾkuladəs
accedida,əksədidə
fer,fe
ventruts,bəntɾuts
senzillesa,senziʎeza
aniset,ənizət
hospitalari,ospitalaɾi
roberta,robɛɾtə
enrogallades,ənroɡəʎadəs
pencada,pənkadə
compareguts,kumpəɾəɡuts
assignats,asiɡnats
tricotaré,tɾikotaɾe
voluntat,voluntat
aconseguit,əkonsəɡit
tributari,tɾibutaɾi
mamaris,məmaɾis
llançadors,ʎənsədos
verbalitzades,veɾbalizades
robada,robada
cristí,kɾisti
tara,taɾa
restaurats,restawɾats
actuava,aktuava
ampa,ampə
guiada,ɡiada
lubrificada,lubɾifikadə
cristians,kɾistians
fenar,fenaɾ
escarnir,eskaɾniɾ
frustra,fɾustɾə
reflexionat,refleksionat
taulada,təwladə
consolidacions,kunsulidəsions
ensitjament,ənsid͡ʒəment
pastanaga,pəstənaɡə
serrar,seraɾ
hercegovina,eɾseɡovina
cabeçada,kabesada
esnifat,əznifat
autosuggestions,əwtusud͡ʒəstions
reposar,repozaɾ
fermentat,fərməntat
ferrós,fəros
moscovita,moskuvitə
psicopatia,psikopətiə
desordenades,dezoɾdenades
balcanitzada,balkanizada
negatiu,nəɡətiw
gastrotomia,ɡəstɾotumiə
xenilla,ʃəniʎə
quaderna,kwadɛɾna
llaguna,ʎəɡunə
atupar,ətupa
salzes,salzəs
nues,nues
adiats,adiats
muntanyosos,muntaɲozos
bacils,bəsils
apalatxes,əpəlat͡ʃəs
cubicat,kubikat
pastar,pəsta
ratxa,rat͡ʃa
pestanya,pestaɲa
enrocador,ənrukədo
crua,kɾuə
enhorabona,ənoɾəbɔnə
comportats,kompoɾtats
regat,rəɡat
gorjablanc,ɡɔɾd͡ʒablaŋk
danyats,daɲats
apreciades,apɾesiades
xerrades,ʃəradəs
urbanitzats,urbənid͡zats
consolació,kunsuləsio
marató,maɾato
barrera,bəreɾə
aeronau,aeɾonaw
replegar,rəpləɡa
obscenes,upsɛnəs
explicades,əksplikadəs
educativa,ədukətibə
demolides,dəmulidəs
mates,matəs
mescladissa,məsklədisə
aparcat,əpəɾkat
divinitzar,dibinid͡za
sorteig,surtɛt͡ʃ
penyorar,pəɲuɾa
acariciava,akaɾisiava
boxades,boksadəs
precordial,pɾəkurdial
tallacircuit,taʎasiɾkuit
tron,tɾɔn
vermell,vəɾməʎ
xatejat,ʃətəʒat
descarnat,deskaɾnat
afilat,əfilat
comptat,kumtat
toquem,tukɛm
celebritat,sələbɾitat
fotral,futɾal
defenestrada,defenestɾada
del,del
bitlles,biʎəs
cagamuja,kaɡəmuʒə
aviació,əviəsio
colpejats,kulpəʒats
esterilitzar,esteɾilizaɾ
discutit,diskutit
humiliades,umiliades
improvisar,impɾovizaɾ
novícia,nubisiə
suspensori,suspənsɔɾi
abaixats,abajʃats
desanimar,dəzənima
llescar,ʎeskaɾ
adscrits,ətskɾits
discernir,disərni
desmentits,dezmentits
contat,kontat
condecorats,kondəkoɾats
borsista,buɾsistə
citrí,sitɾi
missa,misə
descontentarem,deskontentaɾem
vagin,vaʒin
harmonitzat,əɾmonid͡zat
kenyana,keɲana
descartats,deskaɾtats
centre,sentɾe
acostarem,əkostəɾəm
recuperades,rəkupəɾadəs
requerir,rəkəɾi
embridat,əmbɾidat
intercessió,intərsəsio
cornaló,kurnəlo
saborós,səboɾos
conto,konto
qualificats,kwalifikats
amenitats,əmənitats
arpó,ərpo
derrocades,dərukadəs
poetessa,poetəsə
reflector,reflektoɾ
conversades,kumbərsadəs
morruts,muruts
curses,kuɾsəs
morrió,murio
mano,manu
esmolat,əzmulat
omanita,omənitə
reaccionar,reəksiuna
esglaiada,əzɡləjadə
possessió,posəsio
motoritzada,mutuɾid͡zadə
aerofar,əeɾufa
aquí,əki
assolida,asolida
cerebral,seɾebɾal
dispersada,dispeɾsada
mitigat,mitiɡat
finesos,finəzos
algú,alɡu
rememorar,rememoɾaɾ
cauterització,kawteɾizasio
tafaner,tafaneɾ
frenat,fɾənat
descontentats,deskontentats
arrelades,arelades
assistia,əsistiə
arqueologia,aɾkeolod͡ʒia
atenyent,ətəɲent
complicada,komplikadə
remeiades,rəməjadəs
tornadís,toɾnadis
repulsa,repulsa
repoblats,repoblats
derrota,dərɔtə
mendicant,mendikant
pantalla,pantaʎa
adir,adiɾ
romaní,romani
pedres,pedɾes
convertit,kumbərtit
anglicanisme,anɡlikanizme
prolongats,pɾolonɡats
úter,uteɾ
